,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X600048.CH.EQUITY,0,0,0,0,0,0.0827927120032751,0,0,0,0,0,0.188742880273577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101399820562806,0,0.118139384403339,0,0,0,0,0,0,0.504022623853592,0.0619411951112168,0,0,0,-0.0432985846051047,0,0.162962569976903,0,0,0.226555655864551,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744066878761515,0,0,0,0.129562163092207,0.155966995981627,0.107226974666304,-0.0693734920899093,0,0,0,0.0482262069071751,0,0,0,0.214981210962269,0.0169004623261292,0.222768240382922,0.0903917841834989,0,0.0944093137100951
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416327225787338,0,0,0,0,-0.307155617223163,0,0,0,0,-0.507077079300849,0,0.677634688259573,0,0,0,0,0,0,0,0.0988915381680739,0.136395213180005,0,0,0,0,0,0.207594124796932,0.0806642803406993,0,0,0.154267882642602,0,-0.0821263344210767
X12.HK.EQUITY,0,0,0,0.18243252780269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139433201589631,-0.122138704967273,0,0,0,-0.188731962370001,0,0,0,0,0,0,-0.0463447586193999,0,0,0,0.00738464031796304,0,0.0996729311637865,0,0,-0.0258522805909387,0,0,0,0.418543941413993,0,0,0,0,0,-0.0940161333663731,0.0224226080968832
X16.HK.EQUITY,0,0,0,0,0.112976217419326,0,-0.0764972295072107,0,-0.0604626998583831,0,0,0,0,0,0.171263571229422,0,-0.0479050990709029,0,0,0,0,-0.0690037507939214,-0.0205681399704793,0,0,0,0,0,0,0,-0.0963002768306322,0,0,0,0,0,0,0,0,0,0.267677498140383,-0.402265045157677,0,0.155435924906523,0.27283755466557,0,0,0,0.260372538010161,0.308387492206309,0
X2007.HK.EQUITY,-0.0428153245055265,0,0,0,0,0,0,0,0,0,-0.764022971863096,0,0,0,0.109985257503238,0,0,0,0,0,0,0,-0.0833080109243466,0,0,0,-0.109393739149734,0,0,0,0,0.34478596040454,0,0,0,0,0,0,-0.0719227940342845,0,0.291218389361004,0.152461006256339,0,0,0,0,0,0.407425483820903,0.291574109926564,-0.157672299275761,0.0284973752362599
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.300429719597224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181522895382083,0,0,0.297113258583711,0.0685208743228539,0,0,0,3.46944695195361e-18,0,0,0,0,0.0594924123515468,0,0.205363822059684,0.16181290560778,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139810658483127,0,0.0288919535639117,0,0,0,0,-0.41736698760968,0,0,0,0,-6.93889390390723e-18,0,0,-0.0195669171461931,0.250448073650443,0,0,0,0,0,0,0.0292953611626919,0,0,0,0,0.0138719110352716,0,0,0.193271460673874,0.518118178508069,-1.0842021724855e-19,0,0,0.0219687373405659
X823.HK.EQUITY,0,0,0,0.0481269975405238,0,0.41888259182311,0,0,0,0.0941995027852778,0,0,0,0,0,0,0,0,-0.143481876372458,-0.00872946593999901,0,0,0,0,-0.105582381281083,0,0,0,0,-0.149185880440955,0.122635441874782,0,0,0,-0.173928312267464,0,0,0,0.148879033697296,0,0,0.0869485664263342,0,0,0.161712271082594,0.195829563583836,0,0.0394763525828711,-0.287310124987375,0,0
macro_return_add,-0.0776293641886083,0,0,0,0,-0.180429118100011,-0.553449035068706,0,0.239885225521544,0,0,-0.0049781225796576,0,0,0,0,0.357849611623491,0,0,-0.259038125169475,0,0,0,0,0,0,0,0.357651348440214,0,0,0,0,0,0,0,0,0,0,-0.103690902707382,0,0,0.0931031471804683,0.47957220965134,0,0.150306099624992,0,0,0,-0.0142256815757008,-0.0941753387974334,0
