,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0134299130540792,0,0,0,0,0,0,0,0.253956939269052,0,0,0,0,0,0,0,0,0.161660783526198,0,0,0,0,0.0824247270062601,0,0,0.080846633991242,0,0,0,0,0.115546085295578,0,0.271003263983697,0,0,-1.73472347597681e-18,0,-0.0589595280291648,0,0,0.253689181948246,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192680058012744,-0.138323026663858,0,0,0.0406140022489423,0,0,0,0,0,0.0537243858389806,0,0,0,0.200710100506868,0,0.0815230632809046,-0.0186742743039824,0,0.329965503749316,0,0,0,0.0941714851669612,0,0,0,0,0.060436112151834,0
X1299.HK.EQUITY,1.38777878078145e-17,0,0,0,0,0,0.083469191287469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17760182613824,0,0.413456134792992,-0.13689434289378,0,0,0.0828448248881462,0,0.186848602419702,0,0,0,0,-0.131567247103324,0,0,0,0,0,0,-0.0622910562933446,0,0,0,0,0,0,0,-0.263690944595093
X2881.TT.EQUITY,0,0,0,0,0,0,-0.127909141773835,0,0,0.0465529461365407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283270423588171,0,0,0,0.0038371545632008,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.200249175979374,0.293387825532568,0.20509467049721,0,0.0724955682302086,0
X2882.TT.EQUITY,0,0,0,-0.0534579483958283,0,0,0,0,0,0.0222953502906015,0,0,0,0,0,-0.123114203181032,0,0,0,0,0,0,0.090717313021442,0,0,0,0,0.0189752910875615,0,0,0,0.38826783197126,0,0,0,0,0,0,0,0,0,0,0.0142022826129583,0,0.37461526016017,0,0.0980703496317508,0.179097435327299,0,0,-0.0363172909141405
X2883.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397241812131909,0,0,0,0,0.366572760062292,0.0816160387308691,0.0607351980603686,0.192086702486365,0,0.0241181407615613,-0.0376961162996492,0,-0.0909796694384058,0,0,0,0,0,-0.0536796716676187,0,0.193974252446035,0.000194499934215733,0,0,0,0,0
X2888.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0851847062282197,0,-0.160312987311018,0,0,0.0519267937687804,0,0,0,0.118662919172431,0,0,0,0,0,0,0,0,0.0366578220221957,0.478105308789738,0,0,0,0.182976487841135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0.0962693246299216,0,0,0,0,0,0.0348108714954405,0,0,0,0,-0.169127858317263,0,0,0.0545267270587979,0,0,0,0,0.0346995081335126,0,0,0.243353630544127,0,-0.154714726382712,0,0,0,0.0334919715500668,0,0,0,0,0,0,0,0,0,0.119336609175787,0.0546975019065992,0.168657254969838,0,0,0,0,0,0,0,0.0917651679662577,0
X267.HK.EQUITY,0,0.242113639433996,0,0,0,0,0,0,0,0,0,0,0,0,0.395926107195123,-0.212089152249225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.185283031648522,0,0.252889130876784,0,0,0.0153701182367568,0,0,0,0.026628696092749,0,0.0419345837380862
macro_return_add,0,0,-0.177598797389627,-0.00793017781375277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123600660443715,0.123558242509503,0,0,0,0,0,0,0,0.047824266718771,0,0,0.050832178495548,0,0.0503599412969712,0,0,0,0,0,0,0,0,0,0.103388444642972,0.109134780954116,0
