,MKRturn,CN3M,CN310SLOPE,TED,CreSP,RealEstateDiff
MKRturn,1,0.0178755933347158,-0.0065308758486884,0.00144777758496418,0.0290410327952208,0.0907786147758591
CN3M,0.0178755933347158,1,-0.0555432598434288,-0.25844317179468,-0.0275809618912782,-0.0419001544246351
CN310SLOPE,-0.0065308758486884,-0.0555432598434288,1,0.354906703913703,0.0288143306289754,0.0027970738831242
TED,0.00144777758496418,-0.25844317179468,0.354906703913703,1,0.303376086086182,0.0147867784627694
CreSP,0.0290410327952208,-0.0275809618912782,0.0288143306289754,0.303376086086182,1,0.0123015573520424
RealEstateDiff,0.0907786147758591,-0.0419001544246351,0.0027970738831242,0.0147867784627694,0.0123015573520424,1
