,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.267571363503393,0,0,0,0.160682322171108,0.352445417891363,0,0.316847200958504,0,0,0,0,-0.0603311689930949,0,0,0,0,0,0,0,0,0,0,-0.0184749893110046,0,0.0261668013685538,0,0,0,0,0,0,0,0.0286930960838899,0,0,0.062110011880751,0,0,0,0,0.0290073576282822,0,0,0,0,0,0,-0.110780655888294,-0.190905645101091,0.155922385962574
X002142.CH.EQUITY,0,0,0,0,0,0.178250519479596,0.117114857600248,0,0.0437869521651616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174233521897611,0,0,0,0,0,0,0,0.0431570486725981,-0.0478289574072899,-0.0274002464576681,0,0.217926882317334,0,0.0115951207083356,0,0,0,-0.0593208445435741,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.107803418622753,0,0.0604654762464736,0,0,0,0,0.502498010358535,0,0,0,0,0.0197004334389953,0.0348793607872176,0,0,0,0.0139055298113902,0,0,0,0.0386586966771858,0.0102331642887951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272733647473426,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0.00523688984583267,0.0261661410663297,0,0,0,0,0,0.327612889469734,0,0,0,0,0,0,0,0.0757997495703562,0.0693644527447653,0,0.16056580212218,0,0,0,0,0,0,0,0,0,0.0905646173038215,0.0679637404343909,0.0359387744788877,0,0,0,0,0,0,0,0,0.0911403907044835,0,0,0,0.0901210668005929,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,2.77555756156289e-17,0,0,0,0,0,0,0.277412615932167,0,0,0.271877008683753,0,0.0367488674796238,0,0,0.163267743775411,0,0,0,0.004498623189852,0,-0.164425177563074,0,0,0,0,0,0.102061805143238,0,0,0,0,0.389299050785595,0,-0.351853155618792,0,0,0,0,0,0.108668015500951,0,0,0.0846975709665347,0.00376953334024171,0,0,0,-0.134612194013969,0
X600036.CH.EQUITY,0.155363274343113,0,0,0,0,0,0,0,0,0.37099262056372,0,0,0,0,0.135026524207733,0,0.172913665722033,0.0806363896278921,-0.0637775946434948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204580606869861,0,0,0,0,0
X600926.CH.EQUITY,0.328869642016699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135282228706127,0,0,0,0,0,0,0.15443666447997,0,0,0,0,0,0,0,0,0,0,0.0906347061883304,0,0,0,0.0525836900713921,0.144516988298448,0,0,0,0,-0.0541506379706557,0
X601009.CH.EQUITY,0,0,3.46944695195361e-18,0.166906243992916,0,0,0,0,0,0,0.204245808921492,0.204747915265483,0,0,0.167099230098575,0,0,0,0,0,0,0,0.101985212840958,0,0,0,0,0,0.0689782534745362,0,0,0,0,-0.123142935727389,0,0,0,-0.143508442708509,-8.67361737988404e-19,0.0574849467548874,0,0.10699531178894,0.133413238680587,0,0,0.0538502217385629,0,0,0,0,-0.0348474809203808,0
X601166.CH.EQUITY,0.191693485600658,0.0513332423157881,0,0,0,0,0,0,0,0,0,0,0,0,0.373566163119157,0.128625541595809,0,0,0.0435978232860573,0,0.00841933931745901,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324012982870848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0565619853595878,-0.0670329920643588
X601169.CH.EQUITY,0,0,0,0,0.693082392347884,0.311633842347106,0,0,0.0162104747686014,0,0,0,0,0,0,0.128813163081858,0,0,0,0,0.0434391545295357,0,0,0,-0.00537133316789978,0,0,0,0,0,0,0,0,0,0,0,0,-0.023028164916966,0,0,0,0.104357218058744,0,0,0,0,0,-0.146155856241021,0,0,0,0
X601229.CH.EQUITY,0,0,0.0389964631546227,0,0,0,0,0.372349361118855,0.0389179251527255,0.0133691621712845,0,0,0,0,0,0,0,0.0487525686200926,0,0,0,0.130597121899629,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596555857472653,0,-0.00920232048452544,0,0,-0.124703068797693,0,0,0,0,-0.0766699118251968,-0.0679105236024221,0,0,0,0,-0.0536715430938663
