,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601336.CH.EQUITY,0,8.67361737988404e-19,-0.11449319627557,0,0,0,0,0,-0.0248271261406927,0.207387725318393,0,0,-0.169042648925221,0.0311836004944489,0,-0.101958874639809,0,0,0,0,0,0.0943360539651327,0,0.0629138601361308,0,0,0,0.0324886098843745,0,0,0,0.0297621457699093,0,0,0,0,0,0,0,0.391829418747852,0.159115619060019,0,0.210769803969607,0.0450633125113131,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,-0.0227016627147101,0,0,0,0,0,0.0585762643998115,0,0,0,0,0,0,-0.1840307657168,0,0,0,0.0690400766316098,0,0,0,0,0,-0.0613450482730925,-0.0575448446264101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579769033940799,0,0,0,0.304141675811036,0,0,0,0,0.0168802377673466,0.301368189796538,-0.0559640272041979,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.0279548115895315,0,0.0194820537019389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160438562438924,0,0,0,0,-0.131417321525805,0.0543114902700616,0,0,0,0,0,0,0.275892821646695,0,0,0.107895033405169,0.198508517798974,0.276853349106906,0,0,0,0,0,0,0,-0.173266010167429,0
X1299.HK.EQUITY,0,0,0.251561615942691,0,0,0,0,0,0.121572248038543,0,0,0,0,0,0,-0.0775970474634923,-0.329456547467356,0,0.123650787559018,-0.0327415725798824,0.0830756959500316,0,0,0,0,0.193762120374377,0,0.234399621255282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169644290742637,0,0,0,0.0929312769801732,0,0,0,0,-0.0326597629278763,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0108426401479425,0,0,0,0,0.0284944550910838,0,-0.015370356066385,0,0,0,0,0,0,0,0,0,-0.0358954643568595,0,0,0.042811192600948,0.0934916335960611,0,0,0.102484269886808,0,0,0,-0.0350502507413297,0,0,0,0.0349039288408373,0,0,0.0408028591756193,0,0.27209032075376,0.286162015488042,0.0242409605135439,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,-0.0116725019078088,0,0,0,-0.017422590281062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128108613656431,-3.46944695195361e-18,0,0,0.224074927930697,0,0,0,0,0,0,0,0,0,0,0,0.320567448065073,0,0,0.272653075713933,0,0,0
X2883.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0332807308108593,0,0,0,0.01983059221143,0,0,0,0,0,0,0,0,0,0,0,-0.0450806134087715,0.0116438930824647,0.0662728877773854,0,0,0,0.110436263425409,0,0,0,0,0.193186847040752,0,0,0,0,0,0,0,0.446673252497585,0,0.193833599353935,0,0,0
X2888.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0136102790143373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165991033723944,0,-2.16840434497101e-19,0.164417507055388,0,0.0755171081135483,0,0,0,0,0,0,0,0,0,0,0,0,0.199290620828844,0.25052794601336,0,0,0,0
X267.HK.EQUITY,-0.0796133999425382,0,0,0,0,0,0,0,0,0,0.0137354005157505,0,0,0.224116640919172,0,0,0,0,0,0,0,0,0,0,0,0.109517885714209,0,0.263987297311786,0,0,0.228538886653298,0.132960956830113,0,0,0,0,0,0,0.0323771933361716,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0
TED,-0.142883789540895,0,0,0.0500376857789707,0,0,0,0,-0.037737630763285,0,0,0,0.196074521921283,0,0.489135333093041,0,0,0.0840526776147161,0,0,0,-0.238303030325279,-0.207165673698,0,0,0,0.138998904413847,0,0,0,0,0,0,0,0,0,0,0,-0.385618402773493,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-0.0750485893111157
RealEstateDiff,0.0350080083791509,0,0.0824836495861541,0,0,0,0,0,0,0.0469231628846157,0.0574268279066005,0.0564155182278821,0,0.0590940586283941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102652225948566,0,0,0,0,0.244808001764216,0,0,0,0,0,0,0,0,0,0,0,0.0318492573268026,-0.243435113734006,0
