,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2890.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.182819279149556,0,0,0,0,0,0,0.025319878672879,0,0,0.0824956707064567,0,0,0,0,0,0.123160676950324,0,0,0,0,0,0,0,0.105616530161212,0,0,0,0,0,0,0,0,0,0.0330095692615506,0,0.221485767980365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.0713689802416606,0,0,0,0,0.0572406547392392,0,0,0.328599443726815,0.0222732555088266,0.333566096832702,0.113415956093502,-0.0474950539828203,0,0,0,0,0,0,0,0,0,0,0,-0.135413840938721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0561857668343252,0,0,-0.00280385340395779,0,0,0,0,0,0.134866407623348
X600000.CH.EQUITY,0,0,0,0,0,0.0943716496880256,-0.00640962417948287,0,0.0928391684193498,0,-0.0372750969999876,0.045196343715223,0,-0.141695637995561,0,0,0.392803170130387,0,0,0,0.434278274373256,-0.0907934963643331,0.066094595990743,0,0,0,0,0,0,0,0,0,0,-0.00131740659374968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0217206632204214,0,0,0.0142460883187589
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.0770404521670481,0.158453911115851,0,0.455049047183275,0.064627650973181,0,0.222387663698547,0,0,0,0,0,0,0,0,-0.011436174546977,0.0704944016129311,0.0668805377231192,-0.0699696679875958,-0.134828262909682,0,0,0,0,0,0,0,0,0,0.0830040914823698,0.139007732517876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,-0.5452067108353,0.345774302883284,0,0,0,0,0,-0.882544585029065,0.470286549081179,0.175389886851376,0,-0.0784670772503261,0,0,0,0,0.381891988977892,0,0,0,0,0,0,-0.220765721716107,0,0,0,0,0,0,0,0,0.254586112309816,-0.058484067985162,0,0,0,0,0,0,0,0,0,0.35348986024337,0
X600036.CH.EQUITY,0.0905132387049896,0.0240586969476616,0,0.0932536490364244,0,0,0,0,0,0.174422534699522,0,-0.0548026003919208,0,-0.128843216577902,0,0,0,0.0167274415414826,0.246552945980703,0,0,0,0,0.129959297234132,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.23423739979575,0.212622777470101,0,0,0,0,0,0,0,0.0243410495923362
X600919.CH.EQUITY,0.076645605771753,0,0,-2.16840434497101e-19,-0.235138038382885,0,0,0,0.228318353838243,0.226020453376258,0,0.0257779863118553,0,0,0,0,0,0.012606418288373,0,0,0,0,0.169957629429341,0,0.161890057827239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.177170955263822,0,0.107132222736993,0,0,0,0,0,0,0,0,0.180352872236927,-0.00257204919216227
X600926.CH.EQUITY,0,0,0.123973289508606,0,0,0,0,0,-0.178175100597181,0,0,0,0,0,0,0,0,0.638334894342309,0,-0.0749714290457525,0,0,0,0,0.0429405161795198,0,0,0,-0.113329426835869,0,0,0,0,0,0,0,0,0,-0.0786105862844812,-0.147681149700406,0,0,0,0,0.110516647664281,0,0,0,-0.0955844040223885,0,0,0.171133674157527
X601009.CH.EQUITY,0.0488973622166671,0.212225107892681,0,0,0,0,0,0,0,0,0,0.210510714722145,-0.0903324386243566,0,0,0,0,0,0,0.0756362331581037,0.389707434718442,0.147800402815824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0679450286542432,-0.0194940262324316,0,0
X601166.CH.EQUITY,0.200655095332953,0,0.0995054092058905,0,0,0.276762017385911,0,0,0,0,0.107460527397907,0.178669727589414,0,0,0,0,0.174191515129451,0,0,0,0,0.23493314164013,0,0,0,0,0,0,0,0,-0.0819118760759571,0,0,0,0,0,0,0,0,0,0,0,0,0.0697191580736767,0,0,-0.0299036129142733,0,0,0,0,-0.0810907983495283
X601169.CH.EQUITY,0,0.0820806771542378,0,0.0526902343682807,0,0.0665717992586155,0.134730421447711,0,0,0,0,0,0,0,0.306121208737116,0,0,0,0,0,0.33383159009425,0.0228407270202611,0,0,0,0,0,0,0,0,0.25653763661915,0,0,0.00681503394148583,0.00865945515139855,0,0,0,0,0,0,0.130009275259377,0,0,0.20716943151549,0,0,0,0,0,0,-0.151008014753279
