,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.193261487346535,0,0.109754615939877,0.0447919361366577,0,0,0.049564710466757,0,0,0,0,0,0,0,0,0.0975854398684724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869809380131461,0,0,0,0,0,0.018643823461372,0.165058807004989,0,0,0.0340815425910909,0.0893961296627911,0,0,0,0,0,0
X002142.CH.EQUITY,0.165570149291379,0,0,0,0,0,0,0.10697484662932,0,0,0,0,0,0,0,0,0.0436622182137068,0,0,0,0,0,0,0,-0.117693141569651,0,0.0967294007321373,0,0,0,0,0.162642496376492,0,0,1.38777878078145e-17,0,0,0,0,0,0.169170379337016,0.120758106653266,0,0.079156729937314,0.087623240061268,0,0,0,0,0
X600000.CH.EQUITY,0,0.0317784031379914,0,0,0,0.0983619812627029,0,0,0.249761713675982,0,0.187800010814191,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0525375808180331,0,0.241702411640938,0,0,0,-0.0337886175009446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158348554447722,0,0,0,0,0
X600015.CH.EQUITY,0,0,-0.219717365267407,0,0,0.158912979452269,0,0,0,0,0,0,0,0,0.501046582981373,0,0,0.490569814838584,0,0,0,0.0714021915930404,0,-0.184231853469668,0,0.0311151660342901,0,0,0,0,0,0,0,0.00166574185633555,0,0.0111491375033574,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,-0.0364292614499257,0.1771374847244
X600016.CH.EQUITY,0.0238658661262849,0.014964259067449,0.0152545751983412,0.160413840566502,0,0,0,0,0.0202731573544647,0,0.176810039688167,0.250284031505557,0.167754168402702,0,0.119238815451146,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969820231040813
X600036.CH.EQUITY,0.449167458430102,0,0,0.220554668324952,0,0,0,0,0,0,0,0,0.00456173778280439,0,0.130492318859143,0,0,0,0,-0.132730090735855,0,0,0,0.0164174442633701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0763471223368939,0,0.0442021495056793,0.105643985475917,0,0,0,0,0.107925204750382,0,-0.100974686363246,0.140156388794294
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.490627924877978,0,0,0,0,0,0,0.111969493049634,0,0,0,0,0,0,0,0.0761530440854901,0,0,0,0,0,0,0,0,0,0.198988712678779,-0.0242346245344861,0.312070201989417,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0510450420836364,-0.0215938695325874
X601009.CH.EQUITY,0.203225443776396,0,0,0,0,0.0658137801345739,0.269435101898476,0,0.275834606130902,0,0,0,0,0,0,0,0,0,0,0.14428564630921,0,0,0,-0.0816568926380986,0,0,0,0,0,0,0,0,0,-0.0407101685646983,0,0,0,0,0,0,0,0,0,0,-0.0320029821191002,0,0,0.140718932227482,0,0.193190235239772
X601166.CH.EQUITY,0,0,0.265110252579124,0,0,0.0893724694590551,0,0.155164441921394,0,0,0,0.124522707617395,0.244613576452106,0,-1.73472347597681e-18,0.136293882444491,0,0,0,0,0,-0.09284618537927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0344540270877175,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.169138219391596,0,0.166749015197167,0,0,0,0,0.283412760430621,0.211420443313026,0.130905211842451,0,0,0,0,0,0,0,0,-0.056617817792617,0.0388536632389154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369960612996153,8.67361737988404e-19,0,0.0358920554734325,0,0,0
X601229.CH.EQUITY,0,0,0.295393780743165,0.442483187651996,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.0195531214358443,0,0,0,0.080895828394707,0,0,0,0,0,0.0947476342429676,0,0,0,0,0,0,0,0,0,0,0,0,0.0842656395800765,0,0,0.097308255435872,0,0,0,0,0,0,0,0,-0.0249965152232026,0
X601288.CH.EQUITY,0.307053799558183,0,0,0.06051675136153,0,0,0,0,0,0,0,0,0,0,0.346477542738303,0.08576367814769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104604046648304,0,0,0,0,0,0,0,0,0,0,-0.0164544068488253,-0.0303907248273675
X601328.CH.EQUITY,0,0,0.362871504155144,0.176475334433753,0.0492807698379319,0.0102304878648597,0,0,0,0.0361650517286371,0.027172684640773,0,0,0.169228434598129,0,0.298041053235756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352873308829715,0,0,-0.0529634483847228,0
X601398.CH.EQUITY,0,0,0,0.0680302653437648,0,0.0476198075519051,0,1.73472347597681e-18,0.126780723524424,0,0,0,0,0,0,0.464569947545529,0,0,0.141993597332228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830684110488076,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0.0160337719243758,0,0,0.499353117184931,0.215559571169784,0,-0.0938494565962588,0,0,0,0.188681857880618,0.147927797309549,0,0,0.0455096835349685,0,0,-0.0621489376935566,0,0,-0.0607485216116612,0,0.00458164075421089,0,0,0,0,0,0,0,0,0,-0.0318693367473479,0,0,0,0,0,-0.0495237219610713,0,0,0,0,0,0,0,0,0,-0.0928783386813409
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.0292824323011315,0.151816727539938,0,0,0.517603208461895,0.0612067010484543,0.029013619407035,0.102769182993294,0,0.0676934623525431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132079342402435,0,0,0,0
X601988.CH.EQUITY,0.191513938070412,-1.38777878078145e-17,0,0.123256162398721,0,0,2.16840434497101e-19,0,0,0,0,0,0.0814245521748734,0,0,0,0,0,0,0,0.266245290587824,0.114325872470899,0,0,0.288388228711276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249224871573172,-0.109055664135882,0,-0.0248613330733083,0,0
X601998.CH.EQUITY,0,0,0,0.105147970244392,0,0,0,0,0,0,0,0,0.54709126966627,0.110071162327126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780816603121774,0,0,0,0,0.118516153051812,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0.229026038028276,0,0,0,0,0,0,-0.308991475631208,0,0,0,0,0,0.0685235079212187,0.130585191726978,0,-0.139073645893333,0,0,0.0804529686990092,0,0,0,0,0,0,0,0.00415211770968152,0,0,0,0,0.00102745417991185,0.277207236011535,0,0,0.3528493792238,0,0,0,0,0.497749898378152,0.23661027414723,0
