,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.439717584128838,0,0,0,0.0219617821459409,0,0.224693311282229,0,0.283312680147846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0175202948313498,0,0.016631961504815,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.103251002914005,0,0,0,0,0,0,0,-0.107272409544001,-0.209145285825211,0.256637569839992
X002142.CH.EQUITY,0,0,0,0,0,0.14413731068239,0,0.130348848930505,0,0.0649562583780697,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00277137969915712,0,0,0,0,0,0,0.171755260700728,0,0,0,0,0,0,0.0688503711200212,-0.0459613522563664,0,0,0.194664633383547,0,0,0,0,0,-0.0725685150927552,0,-0.0225371407730547
X600000.CH.EQUITY,0,0,0,-1.0842021724855e-19,0,0.101791168681656,0,0,1.73472347597681e-18,0,0.0233859226687171,0.0373403201383845,0,0.29988267487949,0,0,0,0,0.149825518061683,0,0,0,0,0,0,0,0,0.0270762452579673,0,0,0,0,0,0,0,0,0,0,0,0.0192509285118438,0,0.196271307307027,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0.00991450256689003,0,0,0,0,0,0,0.273011336431351,0,0,0,0.0848119555096711,0,0,0,0.0480330425614134,0.124979316720798,0,0.193530542001348,0,0,0,0,0,0,0,0,0,0.0649618697805508,0.0688892477493366,0.0475681875363783,0,0,0,0,0,0,0,0.169178496614638,0,0,0.016691596052668,0.0425530884597025,0,0,0,0,-0.100087977991773,0,0.0243654115198556,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.279915090797077,0,0,0,0.472950038482852,0,0,0.121713813792183,0,0.110457407821426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175826847030682,0,-0.420650954571185,0,0,0,0,0,0,0,0.099948985417829,0,0,0,0,-0.142960675123223,0
X600036.CH.EQUITY,0.189206769334016,0,0,0,0,0,0,0.0547960924767723,0,0,0.384659689699056,0,0,0,0,0.0923442559339772,0,0.110905647829537,0.121116416786221,-0.0958620811719157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249403910871125,0,0,0,0,0,0,0.211694387582845,0,0,0,0,-0.0227933837647825
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0.344471078630057,0,0,0,0,0.0826273147776784,0,0,0.120073230770569,0,0,0,0,0,0.136103711534349,0,0,0,0,0,0,0,0,0,0,0,0,0.624973740095397,0,-0.362571047640773,-0.00876927707485679,0,0,0,0.0297474413411935,0.25918507516953,0,0,0,0,0,-0.138227796769266,-0.0862478051020492,0
X600926.CH.EQUITY,0.324041672000488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023080782116137,0,-0.108611537154598,0,0,0,-0.0135612083662157,0,0,0.0951653125549021,0,0,0,0,0,0,0,0,0,0.139378122845203,0,0,0,0.0469447612442288,0.252527874025867,0,0,0,0,-0.076320860553149,0
X601009.CH.EQUITY,0,0,0,0.361019330745305,0,0,0,0,0,0,0,0.259877988126803,0.0423818590412505,0,0,0.0723956941331002,0,0,0,0,0.0295497851571443,0,0,0.00107303311884248,0.0131097541868364,0.0609555108411301,0,0,0.0188427426140391,0,0,0,0,0,0,0,0,0,0,0,0,0.105401059935895,0,0,0,0,0,0.0669902201719748,0,0,0,0
X601166.CH.EQUITY,0.190440062419336,0.101952751737092,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378908690329462,0.103949898173899,0,0,0.0124407242072391,0,0.0283785039217535,0,0,0,0,0,0,0,0,0,0.00906175128372995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100189205433285
