,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601398.CH.EQUITY,0,0,0.0931467989716636,0,0,0,0,0.0648270083216188,0,0,0,0.0124027125930004,0.42348433777762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924698180346967,0.176789235015318,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0.199143563155052,0,0,0,0,0,0.144264148370902,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.391302431123588,0,0,0.0950019372390117,0,0,0,0,-0.0390463970519491,-0.105850308092543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334571437786742,0,-0.0484935307114849,0,0,0,0,0,0.179316970660597
X601939.CH.EQUITY,0.0691455751096334,0,0,0,0,0,0,0,0,0,0.480540306603528,0.154678657734058,0,0.30748656042611,0,0,0.102437071394003,0.176500772485418,0,0,0,0,-0.0932796790565291,0,0,0,0,0,0,0,0,0,0,-0.00739207494314252,0,0,0,0,0,-0.0373772257529846,0,0,-0.0220866564649192,0,0,0,0,0,0,0,0.0283460654373194,0
X601988.CH.EQUITY,0,0,0,0,0.0212800949033028,0,0,0,6.93889390390723e-18,0,0,0.0569241089037414,0.0422392149897969,0.196573326895861,0,0.366992541241476,0,0,0,0,0,0,0,0,0,0.106439658663589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178926182268197,0,0.0684774144074241,0.0759071381625994,0.0557051170382647,0,0,0,0.0876665656821535,0,0
X601998.CH.EQUITY,0,0,0,0.256734154540329,0.252781107603107,0,0,0.0400875438549587,0,0,0,0,0.058634726425476,0,0.0476397786687995,0.0668592586357015,0,0,0,0.0860692334568214,0,0,0,0.0784484136111689,0,-0.0153530898535326,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0546615984181951,0,0,0,0.0395781053750131,0,0,0,0,0,0,0.00304669493559617,0
X601658.CH.Equity,0,0,0,0,0.0834572249632083,0,0,0.0540666176342272,0,0,0,0,0,0,0,0,0,0,0,0.717452570847004,0,0,0,0,-0.0253097190963193,0,0,0,-0.148872890625026,0,0,0,0,0,0,0,0.100327832497814,0,0,0,0,0,0,-0.0425603856378638,0,0,0,-0.0199434800253493,0,0,-0.902050075436496,0.125746459192445
X601916.CH.Equity,0,0,0,0,0,-0.122011518148438,-0.0304202145364624,0,0,0,0,-0.0277465457851612,0,-0.202936232438409,0,0,0.564350445545341,0.221463609906898,0,0,0.179847277739789,0,0,0,0,0,-0.283296630651741,0,0,0.256989560180825,0,0,0,0,0,-4.33680868994202e-19,0,0,-0.267475285368008,0,0,0,0,0,0,0,0,0.105630412353367,0,0,0,0
X601077.CH.Equity,0.0311848216414096,0,0,0,0,0,0,0,-0.0923721248154207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18405973428933,0,0.0072875648925467,0,0,0.238012188900122,0,-0.0308235591424097,0,0,0,0,0,0,0,0,0.0293306714714898,0,0,0,0,-0.299624626235797,0,0,0.0750099570980086,0.106078204718373,0.183383415807711,0.0197202362150984
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.119625216045328,0,0,0,-0.0375502247744714,0,0,0,0,0,0,0,0.597152188372908,0.054631063336894,0,0,0.129193876361467,0,0,0,0,0,0,0,0,0,0,0.311789744080526,0,0,0.131898104157497,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.0606424944340336
X2388.HK.EQUITY,-0.0339938891044586,-0.101727838765675,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,-0.0536033337207516,0.149968138875943,0,0,0,0.356606567629905,0,0.337332539778681,0.0697232010101357,0,0.112521853482689,0,0.00472142271693244,0,0,0,0,0,0,0,0.0237264713488577,0,0,0,0.0399359625844493,0,0,0,0,0,0.136736822214218,0,0.0782496531493453,0,-4.33680868994202e-19,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.221362041146646,0,0,0,0.00348468700981658,0.188030356381888,0,0,0,0,0.418561994998749,0.401347208976039,0,0,-0.0287724089924291,0,0,0,0,-0.111721798105226,0,0,0,0,0,0,0.0409713048777114,0,0,0,0,0,0,0,0,-0.337245773134025,0.218313722388629,0,0,0,0
X2884.TT.EQUITY,0,0,0,0,0,0,0,0.0211895346073712,0,0,0,0.0690724847944705,0,0,0,0,0,0,0,0,0,-0.109180340628425,0,0,0,0.318016546352835,0.3043015319917,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0340544892994051,0,0,0,0,0,0,0,0,0,0.0488374828774715,0.0686122461621612,0,0.0449449075923277,-0.0401063831431905,0.259241177416614,0.181574733874057
X2886.TT.EQUITY,0,0,0,0,0,0,-0.350778442937787,0,-0.122063316815792,0,0,0,0,0.432910403203384,0,0,0,0,0,0.0336118022250292,0,0,0,0,0,0,0.228047872387793,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0949961643977784,0,0,0.111821084469629,0,0,0,0,0.0491395413317841,0,0,0,0.109513172487483,0,-0.0268117103177778
X2891.TT.EQUITY,0,0.135440413277132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286653159087077,0,0,0,0,0.0370347771422051,0,0.0704827525938634,0,0.0965173731499261,0.572971549813973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484417792512521,0,-0.0426279447707912,0,0,0,0,0,0,0,0,0,0.295364120387274,0.21285513802793,0,0,0.0882283265348674,0.311882760885528,0.0620088198220346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0664731286517819,0
X000776.CH.EQUITY,0,0,0,0,0,0,0.314266584684047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349037720549171,0,0,0.0216276656383494,0.159529445304245,0.0622544710536235,0,0,0.0443816904565859,-6.93889390390723e-18,0,0.0666302716690419,0.0127027021245255,0.0141480286115704,0,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0.0670327486761075,0,0,0,0,4.33680868994202e-19,-0.0243760218646233,0,0,0,0,-0.0368927308283793,0,0,0,0,0,0,-0.172043835735974,0,0.0450790608215681,0,0,0,-3.46944695195361e-18,0,0,0.252135645452129,0,0,0,0,0,0.208504493571678,0,0.0704502165101127,0.253182201021517,0.0133935859394559,0,0,0,0,0,0,0,-0.0378151615563653,0,-0.0205250091466403,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0.0315067134031504,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.0788307497668879,0,0,0,0,0,0,0,0.177267481540923,0,0,0,0.359795798667859,0.306063962354306,0,0,0,0,0,-0.0297075324362419,0,0,0,0.092129580674784,0,0,0,-0.0679780842024484,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707570312732199,0,0,0,-8.67361737988404e-19,0.165369261211332,0,0,0.270105735523162,0.0770025067311932,0,0,0,0,0,0,0,0,0,0,0.0194275819057157,0,0,0
X600837.CH.EQUITY,0,-0.010550953736253,0,0,0,0,0,-0.088993767595605,0,0,0,0,0,0,0,0,0.0823960524239894,0,0,-0.0677478366307674,0,0,0,0,0,0,-0.147395368065479,0.226733586474179,0.429550873364515,0,0.154005886828528,0,0,0,0,0,0.295497243292381,0,0,0,0,-0.0116800200230574,0,0,0,0,0,0,0,0,0,-0.0187488449704028
X600958.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0202024012481378,0,-0.0789048466571057,0,0,0,0,0,0,0,0,0.0281163778440785,0,0,0,0,0,0,0,0.0306813997950802,0.183633965949626,0,0.0932896577710164,0,0,0,0.194408119820386,0,0.184887270809889,0.0231848861852752,0.101744381027181,0,0,0,0,0.194775759683576,0,0,0,0,0,0,0,0
