,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X601169.CH.EQUITY,0,-0.0726282804270583,0,0.0841858285478152,0.205923258267001,0,0.070950023655096,0,0,0.088231421304257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591517667317383,0,0,0,0,0,0,0,0,0,0,0,-0.100239098224805,0,0.308609130883291,0,0,0,0,-0.0876127097998015,0,0,-0.371681814342393,0,0,0.222260667403264
X601229.CH.EQUITY,0.0925311028280758,0,0,0,0,0,0,0,0,0.0125650685849207,-0.0354268457205546,0,0,-0.212862917571487,0.758114595451251,0,0,0,0,0.0624650971362188,0,0,-0.0409040409840776,0,0,0.013433742449886,0,0,0,0,0,-0.0416376612491153,0.00966669544037688,0,0,0.324849887077572,0,0,0.239624684326486,0,0,0,0,0.0222186602716364,0,0,0,0,0,0.260605595989161,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.0482890548513404,0,0,0,0,0,0,0,0,0,0,0,0,0.156528463358747,0,0,0,0,0.0323348464688823,0.137737201361613,0,0,0,0,0,0,0,0,0.137266201594851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893536409430972,0,0
X601328.CH.EQUITY,0,0,0,0,0.287707738020833,0.0580983059650902,0,0,0,0,0,0,0,0,0,0.0644771611378099,0,0.0101678150739585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0759514400383816,0,0,0,0.97966551544316,0.155646379350057,0,0,0,0,0,0,0,0.0076835047781213,0,0,0,0,0.0124840557898784,-0.326308381850323,-0.141131932392938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169686698751787,0,0,0,0,0,0.0620697635569901,0,0.044800657790439
X601577.CH.EQUITY,0,0,0,0,0,0,0,0.559940179518461,0.2693227975911,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0651368943634362,0,0,0,0,-0.0874582835775277,0,0,0,0,0,0,-0.161081524043018,0,0,0,0.0917100815344176,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.127098301063159,-0.0804570010181386,0
X601818.CH.EQUITY,0.0323717834219455,0,1.08322641281051,0,0,0,0,0,0,0,0.00260920934902904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473443603084866,0,0,0,-0.00742851834058352,0,0,0,0,0,0,0.0671174908015771,0,0,0,0,0,0,-0.139167541445546,0,0,0,-0.00319027763169231,0,0,0.109438176171032,0
X601838.CH.EQUITY,0,0,0,0.0613917554315718,-0.0801145422378653,0,0.224241596480633,0.180259110180663,0.0103105249425047,0,0,0.041008851547507,0,0,0,0,0,0,0.381707577907164,0,0,0.0548995703398309,0,0,0,0,0,0,0,0,0,-0.089134386050398,0,0.0918003498605056,0,0,0,0,0.0230268690154213,0,0,0,0.146066591501622,0,0.0516293474697331,0,0,0,-0.0103828802693989,0,-0.154591606268165,0
X601939.CH.EQUITY,0,0,0,0.0603332872253738,0,0,0,0,0,0,0,0,0,0,0,0,0.0173171162174403,0.170192017117773,0,0,0,0,0,0,0.00509365094934189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562941516550601,0,0,0,-0.179903489900324,-0.0178249916259873,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.14691825360524,0,0.0368365819698174,0,0,0,0,0,0.099810971249418,0,0,0,0,0,0,0,0,0.178661866496574,0,0,0,0.0993405515618966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172961957788822,0,0.488257793357001,0,0,0,0,0,0.21265578072868,-0.222024277902936,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30889375922005,0,0,0,0,0.0189486002406858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104471324598869,0,0,0,0,0,0.261294931769836,0,0,0,-0.0861502441147711,0,0,0,0.228686225933682,-0.0142903290008613,-0.0715697582214189,0
X601658.CH.Equity,0,0.0109607550413985,0,0,0,0.174625494103729,0,0,0.0942874039961902,0.394844032733152,0,0,0.019553846142095,0,0,0,0,0.00190736855206561,0,0,0,0,0,0,0.0870101499165189,-0.09736468526737,0,0,0,0.0855223783473177,0,0,-0.151325681786449,0,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.183405569769085,0,-0.556253640671591,0,0,0,0,0.0828659896769887,0,0
X601916.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0951934706396419,0,0,0,-0.0177578467561942,0,0,0,0,0,0.261125881363493,0,0,0,0.0669773456879977,-0.000348570337628177,0,0,0,1.02967613709693,0,-0.0722419147682659,0,0,0,0,0,0,0.241816057749055,0,0
X601077.CH.Equity,0,0,0,0,0.0717618360817728,0.081838778636156,0,0,0,0.102166484691976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126221295713198,0,0,0,0,0,0,0,0,0.0551325575532972,0,0,0,0,0.0592978653825936,0,0,0,-0.0802159267668749,0,0,0.0684734825002735,0,0,0,0
