,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.206702160560744,0,0,0,0,0,0,0,0,0,0.196303324070975,0,0,0,0,0,0.151669566611456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43807825081554,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.303464192664761,0,0,0,0,0,0,0,0,0,0,0,-0.0596784332571616,0,0,0,0,0,0.364772439839054,0,0,0,0,0,-0.0592791366282726,0,0,0,0,0,0,0,0,0,0,0,0,0.0838430478765829,0,0,0,0,0,0,0,0.348326905586527,0,0,-0.0121010293085232,0.0864733812316857,0,0
X600000.CH.EQUITY,0,0,0,0,0.105486071147279,0,0,0,0,8.67361737988404e-19,0.173212057876552,0,0.280720133765842,0,0,0,0,0.187517627818682,0,0.13892169615986,0,0,0,0,0,0,0,0,0.0767873823326613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0.132645887903199,0,0,0,0,0,0,0,0.0891969344425697,0.372005227640714,0,0,0.0477979499547087,0,0,0.104600571079174,0,0,0,0,0,0.207386746716631,-0.0685184560389911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218365714265719,0,0,0,0,0,0,0,0,0,0,0.141313755657226
X600016.CH.EQUITY,0,0,0.0353884199817503,0.00930704169709033,0,0,0,0,0,0.192241132393401,0.137390788023802,0.00648933168496638,0.216256640466472,0,0.028527495221091,0.122595275146225,0.206022430301499,0.0373524542938694,0,0.0144518897273614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0160290034669425,0,0,0,0,0,0,0.136601638507939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269471303241924,0,0,0,0,0,0,0,0,0.00777271661742245,0,0,0,0.15319117968989,0,0,0,0.216876347572538,0,0,0.121231647611749,0,0,0,0,0
X600919.CH.EQUITY,0,0,-6.93889390390723e-18,0,0.0537588387511339,0,0,0.202428107670611,0,0.0474113458943407,0,0,6.93889390390723e-18,0,0,0,0.0349929473227732,0.17409896400454,0.0675479942367484,0.0900124859453273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188360722862163,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.223547372405269,0.0152506684023969,0.0100195309828779,0,0.0752792463263683,0,0.103395296122987,0,0,0,0.108233360722951,0,0,0,0,0,0,0.0951116131619724,0,0.270474392898515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310208146339984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0897525976031512,0,0,0.0935656855215383,0.0635345340296808,0.264531348930757,0,0,0,0.0541678031478205,0,0,0.0793879557252771,0,0.175262147272852,0.0940212398887113,0,0,0,0,0,0,0,0,0.0169494081708511,0,0.0293555908015493,0,0,0,0,0,0,0,0,0,0.0364578905846248,0,0,0.0101119478963464,0,0,0,-8.67361737988404e-19,0,0.0105875560887196,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.0581480041851405,0.135180076581953,0,0,0.187459832127427,0,0,0,0,0,0.0603326547469303,0,0,0,0,0,0.0310051515072904,0.482895672312797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0
