,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.0902664675885829,-4.33680868994202e-19,0,0,0.312569966727917,0,0,0,0.050128593120553,0,0,0,0,0,0,0.0981526149833415,0,0,0,0,0,0.17736341273302,0,0,0,0,0,0,0,-0.126348195624402,0,0,0,0,0,0,0,0.0211509318908042,0.218712810213729,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.122996579064235,0,0,0,0,0.125640473915267,0,0,0.201708518516563,0,0,0,0,0,0,0,0.32180297924127,0,0,0,0,0.0098338954856946,0,0,0,0,0,-0.313354078576736,0,0,0.183721520275932,0,0,0,0,0,0,0,0,0,-0.105294554980055,0,0,0.165925263415566,0.127853509700725,0,0,0,0,0.0389400129769257,0,0
X600000.CH.EQUITY,0.109974210911303,0,0,0.245228451679292,0,0,0,0,0,0.0785726127772811,0,0,0,0,0,0,0,0.15305781279248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0819584329282594,0.0537570485353128,0.0533018606400346,0,0,0,0,0,0.0684626986907338,0,0,0,0,0,0,0
X600015.CH.EQUITY,0.088369103772326,0,0,0,0,0,0,0.0295584322226418,0.146178770441556,0,0,0,0,0,0,0,0,0,0,0.029761253159444,0,0,0,0,0.398078223327712,0,0,0,0.0892554388635418,0,0,0,0,-0.0693215743937681,0,0,0,0.0093029454587731,0,0.0576101478248254,0.135436546722344,0,0,0,0,0,0,0,-0.161230227190933,0,0,-0.0230903133567767
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.0764756839325718,-0.399575532972353,0,0,0,0,0,0,0,0.0520945946598302,0,0,0,0,0,0,0.362393249196136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156616617529464,0.199989864593141,0,0,0.150953496731366,0,0,0,0,-0.0421914016591924,0.300680073728309,0,-0.0249936351369975
X600036.CH.EQUITY,0.149773320931706,0.093958262568798,0,0.112373761495208,0,0,0,0,0.195248717764398,0,0.0255177068535316,0,0.242666291741188,0,0,0,0,0,0,0,0,0,0.0383570077885249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0.0801144630923318,0,0,0,0,0.101441582993777,0.127781157334834,0,0.00723085407766352,0,0,0,0,0,0,0.143368509326374,0,0,0.297149930987621,0,0,0,0,0,0.0334752130729543,0,0,0,0,-0.251957011126696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0354495147195033,0,0,0,0,0
X600926.CH.EQUITY,0.100626866957981,0,0.0367953807979019,0,0,0,0,0,0.120213501308162,0.108617360073541,0,0,0,0,0,0.0358319218005309,0,0.283561235833205,0,0,0,0,0,0,0,0,0,0.0132176802762154,0,0,0,-0.110979872896691,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.177777789327748,0,0,0,0,0,0.0457256673180413
X601009.CH.EQUITY,0,0.0753996566391993,0,0.226931928798075,0,0,0,0.355508972290852,0,0,0,0,0,0,0,0,0,0.0465663127593427,0,0,0,0,0,0,0,0,0,0.0829702740207701,0,0,0,-0.099749599328359,0,0,0,0,0,0,0.0581232370873056,0,0.0691289552430008,0,0,0.0161973175220099,0,0,0,0,0,0,-0.00624964592065174,0
X601166.CH.EQUITY,0.551399218195722,0.0712045914139244,0,0,0.0977763862789731,0.205655762673119,0,0.139428535084933,0,0,0,0,0.0690672415999627,0,0,0,0,0,0,0,0,-0.0994387373420478,0,0,-0.182496929872549,0,0,0,0,0,0,-0.104345679267721,0,0,0,0.0367413841553039,0,0,0,0,0,0,0,0,0,0,0.0529841359950387,0,0,0,0,0
