,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.222632375613822,0,0,0,6.93889390390723e-18,0,0,0.103086574777379,0,0,-0.0994730679188612,0,0,0,0.226022042326747,0,0,0,0,0,0,0,0,-0.0982712689917297,0,0,0,0,0,0,0,0,0,0,0.361887103809912,0.18360543399614,0,-0.208766623454713,0,0,0,0,0,0.0804978287091138,0,0,0,0,0,0.0337359344113921,-0.131065624882532
X002142.CH.EQUITY,0.315884465461493,0,-0.0217477125164746,-0.219735281673826,0,0.15039376419844,0,0.201790374649515,0,0,0,0,0,0,0,0,0,0,0,0,0.060105319500829,0,0,0,0,0,0.0413966968133435,-0.107901053560958,0,0,0,0.10629631884938,0,0,0,-0.22527392816009,-0.0865565391964045,0,0,0,0.103235444145522,0.172790683711057,0,0.268527442206154,0,0,0,0,-0.0547872618170095,0,-0.0899611262599091,-0.0165426100365515
X600000.CH.EQUITY,0,0,0,0,0.0486483448369345,0.103207635221964,0,0,0,0,0,0,0.412259840053351,0,0.183039262756884,0,0.0164688435527618,0,0,0,0.104018730834676,0,0,0.038517575232909,0,0,0.249607379778078,0,0,0,0,0,0,0,0,0.00579734833453064,0,0,0,0,0,0,0,0,-0.0249958252174295,0,-0.0578148156360654,0,0,0,0,0.06665663481405
X600015.CH.EQUITY,0,0,0,0,0.0306094602704039,0,0,0,0,0.0805328145042745,0.0384482502877074,0,0,0,0.0315478338557852,0.176679348733734,0,0.027904708558239,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.00526740363417259,0.0118452698894525,0,0,0,0,0,0.303605593615091,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.135012561738711,0,0.372199248724081,0,0,0,0.0240948044764737,0,0.00477731066436893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320787212262549,0,0.109942076881691,0,0,0,0.120633414018962,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.201366997669545,0.0944428296092281,0.143001630078758,0,0,0,0,0,0.0925433286860382,0,0,0,0,0,0,0,0,0,0,0,0,0.0709809295828398,0,0,-0.126600369017186,0,0,0,0,0,0,0,0.175477792397839,0.0411859171724539,0,0,0,0,0,0,0,0,0,0,0.0163077027599802,0,0.19541645138079,0,0.0230907204664943,0,0.0207192262889786,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0.0728937924999518,0.169698194688506,0,0,0,0,0,0.257226794172138,0,0,0,0,0,0,0.0173754741241632,0,0,0,0,0,0,0.142762783285988,0,0,0,0,0,0,-0.0585164459472735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.198338454055024,0,0,0.24941104737771,0,0,0,0,0,0,0.0611091445477077,0.207817085252452,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735376757304586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12835883738901,0,0,0,-0.067984738604788
X601166.CH.EQUITY,0,0,0,0.125525378526307,0,0.355450296273388,0,0.133650702860907,0,1.73472347597681e-18,0,0,0,0.015814355504391,0,0.0384051145398231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185715713359915,0,0,0,0,0.278481483644436,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.232006752510643,0.446196345541108,0,0,0,0,0,0,0,0,0.229143591598674,0,0.0455467808491649,0,0.0238905529279554,0,0,0,0,0,0,0,0,0.0343813420866439,0,-0.109768801102046,0,0,-0.0123075771360408,0,0,0,0,0,0,0,0,0,0,0.0677672931784999,0,0,0.104229744523382,0,0,0,0,0,0,0
