,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000776.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0.114218530658507,0,0,0,0,0,0,0,0,0,0,0,0.0164460826130787,0,0,0,0,0,0,0,0.194701231811571,0,0,0,0.0255768855132642,0.221702738787781,0.21652006365212,0.0766056841533649,0.0216021014480078,0,0.0591587544943832,0,0,0.00815687170487825,0,0,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.0916885577628381,0,0.111573279793313,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13772950544813,0,0,0,0,0,0.0587254162452638,6.93889390390723e-18,0.0961150779474488,0,0.0105686032449198,0.448239420033671,0,0,0.0416307502212838,0,0.0230151908466938,0,0,0,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193377387997319,0.127739946414813,0,0,0.347445343984045,0,0,0,0.154297130340256,0,0,0,0.10647415999115,0,0.0638087473025314,0.10183392244407,0.0353208789187339,0.00248008190013054,0,0,0,0,0,0,0,0,-0.121817987782612,0,0,0
X600030.CH.EQUITY,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.0125775683095384,0,0,0,0,0,0,0.0230183401614741,0,0,0,0,0,0,0,0,0.258983762573832,0.0674920583146855,0.0919413771855366,0,0,0,0,0,0,0.393657793011515,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0316319051118345,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125156238109865,0.177284894503843,0.070662241775806,0.0613419458419979,0,0,0.0400385274335259,0,0,0.215043248440342,0,0.15008874900658,0.0131770639356787,0,0,0,0,0,0,0,0,0,0.122068350945986,0,0,0
X600958.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0302441865360767,0,0,0,0.0356826875170049,0,0,0,-0.00467957581009261,0,0,0.0756781136915891,0,0,0,0,0.0810670764085926,0,0.160047276305999,0,0.147891773372762,0.170640428069777,0,0.262016335913928,0.104257834635587,0,0,0,0,0,0,0,0,0,0,-0.00155952673344761,0
X600999.CH.EQUITY,0,0,0,0.0173268490006005,0.131839201445461,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.00123618998436819,0,0,0,0,0,0,0.0639345505749718,0.219301038346946,0.159143690377121,0,0,0.26133456858585,0,0,0,0.0437885647089429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0.0715839261772097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0743373179933031,0,0,0.131403484752301,0,0.195283073218856,0,0.120916164677042,0,0.381292913313834,0,0,0,0,0.151211658525289,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156384229592435,0
X601211.CH.EQUITY,0,0,0,0,0.151472935235154,0,0,0.0210997763578828,0,0.339107313739056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180027586473611,0,-6.93889390390723e-18,0,0.0675045165877625,0.11439584012641,0.0269969443725244,0.229586049347186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601236.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.246719377420234,-0.0922122425310637,0,0,0,0,0.3781675044152,0,0,0.716554645217369,0,0,0,0,0,0,0,0,0.139222251912736,-0.246699409831616,-0.0637506393343177,0,0.0038979935548918,0,0,0,0,0,0,0.0456651615662794,0,0
X601688.CH.EQUITY,0,0,0.220778688846148,0,0.0802735301124285,0,0,0,0.165634773916712,0,0.0449297247113902,0,0,0,0,0,0,0,0,0,0,0.0561099787752452,0,0,0,0,0.152806791617879,0,0,0,0,0,0,0.08942679722259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601881.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0247853071472457,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0.253452577660508,0,0.560142851113598,0,0.128220148518244,0,0,0.116853683138745,0,0,-0.350020243630923,0,0,0,-0.0511721707090876,0,0,0,0,0.150427080326655,0,0.0389491112463063
X601901.CH.EQUITY,0,-0.0349963086901481,0,0,0,-0.124873311516088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373813040356174,0.8643766019643,0,0,0,0,0,0,0,-0.0094634941541165,0,0.0661329281724357,0,0,0,0,0.128478445336334,0,0,-1.73472347597681e-18,0,-0.203438231229362,0.0769873468606668
X388.HK.EQUITY,0,0.0231544208616224,0,0,0,0.119113038193422,0,0,0,0,0,0,0,0,0,0,0.147644871976366,0,0,0,0,0.111191291622371,0,0,0,0.288399780632692,0,0,0,0,0,0,0,0,0,0,-0.0112908465274964,0,0,0.130241468830547,0,0,0,0,0,0,0,0,0,0,0,0.00935657621635434
X601318.CH.EQUITY,0.182869044353677,0.0225983437488052,0,0,0,0,0,0,0,0,0.141213991496118,0.202642477591911,0,0,0,0.242051223247665,0,0,0,0,0,0,0,0,0,0.0296262136531534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102936276977543,0,0,0,0.009330980590835,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0.0363811010628528,0,0,0,0.253284594798703,0,0,0.119802373222714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417820178579906,0,0,0,0,0,0,0.0992714450541766,0,0,0,0,0,0,0,0,0.394121734400422,0,0,0,0,0,0,0,0
X601336.CH.EQUITY,0.0363940038018637,0,0.129116890403516,0,0.00489454534086343,0,0.108166130586619,0.056569470466066,0,0,0,0,0,0,0,0,0,0.0324301685577102,0,0.0283513947779697,0,0,0,0,0,0,0.0594722962974703,0,0.263578227355177,0,0,0,0,0,0,0.046822842659914,0,0,0,0,0,0.0423392667618218,0,0,0.11946450337584,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.209074618763754,0,0,0,0.125935702686686,0,0,0,0,0.0811032248147236,0,0,0,0,0.168238276809076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348553091816044,0,0.0079117336453326,0,0,0,0,0,-0.0115646198474398
X601628.CH.EQUITY,0,0,0,0,0.133656861876854,0,0,0.0105155078805469,0,0,0,0.0214370142312994,0,0,0.095787767858223,0.261884607066302,0.237800038406997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539419871507591,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201482318471115,0,0.112089646016743,0.0357109444591739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354764583962871,0,0.571882085771199,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0775335371321225,0,0,0,0,0,0,0,-0.0231125487051858,0,0,0.0665781697715214,0,0.344559859446748,0,0.0391175258201412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294249189695776,0,0.13219397542816,0,0,0
X2882.TT.EQUITY,0,-0.0482971876613034,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0.161460096130063,0,0,0,0,0,0,0,0,0.00598029283273859,0.15731604857805,0.327438134542864,0,0,0,0,0,0,0,0,0,0,-0.017890937281045,0,0,0,0,0,0,0,0,0,0,0,0,0.45214115292952,0,0,0.00541856756129893,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877614202661164,0,8.67361737988404e-19,0,0,0,0.0340657600883463,0.290206823860772,0.0218407961171662,0,0,0.113813155157477,0,0,0,0,0,0,0,0,0,0,0.0603069375283631,0.0706617942594897,0.175448138022752,0,0,0,0,0,0,0,0,0,0.255958827137314,0,0,0
MKRturn,0,0,0,0,0,0,-0.56255074175636,0,0,0,0,0,0,0,0,0,0,0,0,0.0181908804466209,0,0,0.87892851662441,0,0,0,0,0,0,0,0,0,0,0,-0.797190730618525,0.244424493339225,0,0,0,-0.0288423265651733,0,0,0,0,0,0,0.171153428918786,0,-0.0709920896537692,0.329706345623474,0,0
RealEstateDiff,0,0,0,0,0,0,0.0725292246486499,0,0,0,0,0,0,0,0,0,0,0,0.416571562933854,0,0,0,0.0974321119012852,0,0,0.0926265604947345,0,0,0,0,0,0,0,0,0,-0.243320803356557,0,0,0,0,0.162577625559346,0,-0.297412642807456,0,0,0.0422248060207568,0.0129748461996502,0,0,0,0,0
