,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.258980045934318,0,0,0,0,0,0,0,0,0.228473639669406,-0.0757708452175057,0,0,0,0,0,0,0,0,-0.0247505828776477,0,0,0,0.242361671340761,0,0,0,0,0,0,0.220753359647926,0,0.260432448004651,0,0,-0.256687706982813,0,0,0,0,0,-0.0241469561894651,-0.0743890822636601,0,-0.0745229979659043,0,0,-0.0432511954706278,-0.0814288605364909
X002142.CH.EQUITY,0.20830134891898,0,0,0,0,0.0378438517523895,6.4375871795598e-05,0.0335700971148952,0.0652547466484426,0,0,0,0,0,0,0,0.164042038315599,0,0,0,0,0,0,0,0.00798809077105309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879085326033706,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.162078848970956,0.0690422443064423,0,0,0.061664935769014,0.181731012544308,0,0,0,0.0224556660961266,0,0,0.27336381974326,0,0.185633441725236,0,0,0,0,0,0,0,0,0,0.0836137408873737,0,-0.0103843413295776,0,0,0,0,0,0,0,0,0,0,0,-0.139200834991813,0.0645731414849713,0,0,0,0,0,0.0566092347274399,0,0,0,0
X600015.CH.EQUITY,0.0166411007875477,0,0,0,0,0,0,0,0,0.313386616459977,-3.46944695195361e-18,0,0,6.93889390390723e-18,0.374406548021102,0,0,0,0,0.0215152657691819,0,0.191823676086357,0,0,0,0,0,0,0,0,0.0352157217021286,0,0,0,0,0,0,0,0,0,0,0.142572501034405,0,0,0,0.0227371199474479,0,0,0,0
X600016.CH.EQUITY,0,0.0253441847531764,0,0.31667734445876,0,0,0,0,0,0.0182071321751438,0.0635277404859643,0,0.206396761482259,0,0,0,0.0987098977022474,0,0,0,0,0,0,0,0.115215867702238,0,0.0611364650352711,0,0,0,0,0,0,0,0,0,0,0,-0.0872735450493263,0,0.0610002844196715,0.29495587809106,0,0,0,-0.0320190667688097,0,0,0,0
X600036.CH.EQUITY,0,0.196614532660763,0.0473877168863246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152349123884497,0,-0.118540585738479,0.00184365939744441,0.168483208273521,0,0,0,0,0,0,0,0,0.0565517780902524,0,0,0,0,0.0575800734777056,0.327467236860353,0,0.0595654194879991,0,0,0,0,0,0,0.13390603305162,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.110803604681996,0,0.258449247907516,0,0,0.233348028480697,0.0711078476810694,0,0,0,0,-0.0479730842407405,0,0,0,0,0,0,-0.0997456252793889,0,0,0,0,0,0,0,0,0,0,0,0,-0.00613966050221513,0,0,0,0,0,0,-0.0168056881653384,-0.00604027498543548,0,0,0
X601009.CH.EQUITY,0,0,0,0,0,0,0.37557891682036,0,0,0,0,0,0,0.242107782132822,0.11556539402668,0.0743480180867221,0,0,-0.0376695046353538,0,0.156507492030526,0,0,0,0,0,0,0,0,0,0,0,0,-0.00609333511843551,0,0,-0.113125961369171,0,0,0,0,0,0,-0.0291556599498048,0,0.0282987999150753,0,0,0,-0.164966431428925
X601166.CH.EQUITY,0,0.534970366502837,0,0,0,0,0,0,0,-0.210599538327022,-0.0486865186945537,0,0,0.00105572455371661,0,0.0292531246393695,0.15646050748757,0,0,0,0,0,0,0,0,0,0,-0.114352341876546,0,0,0,0,0,0,0.231028235137775,0,0,0,0,0,0,0.215183139174377,0.258281009641896,0.0412305807939882,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.154604357521997,0.449275141264448,0,0,0,0,0,0,0,0,0.314367279954791,0,0,0,0,0,0,0,0,0,0,0.0940536032475791,0.108689079353305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189975623890074,0,0,0,0,0,0,0,0.105429995561233,0.101974434704035,0
