,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.220006379096341,0,0,-0.0906252383429308,0.198139640758208,0.242975186764261,0,0.24070343495443,0,0,0,0,0.0160599099191285,0,0,0,0,1.73472347597681e-18,0,0,0,-0.128824220114665,3.46944695195361e-18,0,0,0,0,0,0,-0.022771893840944,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.145836874719428,0.106073596952798,0,0,0,-0.14975393385531,0,0,0.154793432876388
X002142.CH.EQUITY,0.0363209055275471,0,0,0,0,0,0.147840431505368,0,0.113577756867679,0,0,0,0,0.0873910508681573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155395523517741,0,0,0,0.0437774682306729,0,0,0,0,0,0,0,0.135745765749712,0,0,0,0,-0.0116604552958399,0,-0.0967555576499801,0,0
X600000.CH.EQUITY,-0.00660440001874516,0,0,0,0,0.137223542171567,0,0.0665345485451297,0,0,0.101552166444007,0,0.464224840383028,0,0,0,0,0.0178634974163968,0.0350821508575389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255029236534263,0,0,0,0,0,0,0,0,0,0.045136484565018,0,0,0
X600015.CH.EQUITY,0,0.0590678513594481,0,0,0,0,0,0.281516045720997,0,0,-6.93889390390723e-18,0,0,0,0,0.0976898466889727,0.0883108625607712,0,0.168193151521125,0,0,0,0,0,0,0,0,0.0568659449466659,0.106760015049119,0.040561198028996,0,0,0,0,0,0,0,0,0,0.131923288709689,0,0,0.0655227329469325,-6.93889390390723e-18,0,0,0,0,-0.0352219932572472,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.465531067451411,0,0,0.1452897552879,0,0,0.171002091281355,0,0.150134545566555,-0.0414813827286284,0,0,-0.00714429741039889,0,0,0,0,0,0,0,0,0,0,0,0,0.510734418281907,0,-0.508431047932366,0,0,0,0,0,0,0.0809483280668198,0,0.00632509396294521,0,-1.73472347597681e-18,-0.0195747473653491,0,0,-0.0350237280033579,0
X600036.CH.EQUITY,0,0,0,0,1.38777878078145e-17,0,0.209880617834789,0,0,0.411876202451174,0,0,0,0,0.0473608406531711,0,0,0.112473049880002,-0.0953810245546247,0,0,0,0,0.114552039140322,0,0,0,0,0,0,0,0.0290404364292582,0,0,0,0,0,0.0742111309931826,0,0,-0.0911118125036298,0.135498798403456,0,0.031064044014846,0,0,0.144653490534083,0,0,0,0,0,0
X600926.CH.EQUITY,0.234198359710634,0,0,0.0453327863793499,0,0,0,0.109370711357943,0.034511346797624,0,0,0,0,0,0,0,0,0,0,-0.125744465927822,0,0,0,0,0,0,0,0,0,0,0.0792873388777143,0,0,0,0,0,0,-0.186970013991141,0,0,0,0,0,0.105187827425375,0,0,0,0,0,0,0,-0.25319180206617,0
X601009.CH.EQUITY,0,0,0,0.365710453614009,0,0,0,0,0,0,0.30153167817688,0.219453396135746,0,0.0211429699696236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103741898637059,0,0,0,0,0,0,0,0,0.0383970092662012,0,0.0220908504439294,0.114337239488398,0.0318611894878167,0,0,0,0.0989013125162854,0,0
X601166.CH.EQUITY,0.44119257944665,0,0,0,0,0.152689806199118,0,0,0,0,0,0,0,0,0.302707427963631,0,0,0,0.0667034181005137,-0.0450361494621555,0,0,0,0,0,0,0,0,0,0,-0.10448911922691,0,0,0,0,0,0,-0.00925605440418628,0.12806550246701,0,-0.0552566916217172,0,0,0,0,0,-0.0923742431691733,0.11430075250749,0,0,0,-0.117293488327113,8.67361737988404e-19
X601169.CH.EQUITY,0,0,0,0,0.733200334501782,0.188470313991323,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.0399707967573257,0,0,0,0,0.21235541213888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145567763675694,0,0,0,0,0.0585400041157755,0.131997701878948,0.0480639085890871,0,0,0,0,-0.132485518595707,0,-0.163096370512391,0,0,0
