,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.176317831292199,0,0,0,0,0,0.0149982183838459,0,0,0,0,0.510856462706523,0,0.371408182539968,0.0165873356137429,0.140937824636826,0,0,0,0,0,0,0,0,0,0,0,-0.0169486538519393,-0.0131345179859772,0,0,0,0,0.0753309898408581,0,0,0,0,0,-0.0541523110703434,0,-0.0547052518581574
X000166.CH.EQUITY,0,0,0,0,0.0875769916000776,0,0,0,0.0484149146283466,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130604670573327,0.507203587971616,0,0,0.00203115659320386,0.0973665614713296,0.0601283199980085,0,0,0,0,0,0,0,0.082849058365201,0,0,0,0,0.0399587534966063,0,0,-0.0537853006435832,0
X000776.CH.EQUITY,-0.0211196291841019,0,0,0,0,-0.00968402238989996,0.0260791807966542,0.101646859532262,0,0,-0.0124737768320703,0,0,0,0,0,0,0,0,0,0.0550232420164069,0,0,0,0.0293222111237871,0,0,0,0.285506570098551,0,0,0,0,0.170615930439302,0,0,0.179799140409638,0,0,0,0.0606500874367464,0,0.102133057086475,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0.0794584593076949,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.0576874526879755,0,0.084358990491863,0,0.00414360227356135,0,0,0,0,0.0333027044330594,0.507950473778423,0.0375255362696286,0,0.000911226397738227,0,0.122032505117719,0,0,0.0994363026479214,0.0536476176909125,0,0.0904946251046049,0,0,0,0,0,0,0,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0.124627912811819,0,0,0,0,0,0,0,0,0,0,0,0,-0.075625755443964,0,0,0,0,0,0,0.0312473555519819,0.0258862754197338,0,0,0,0,0.50881157043436,0,0.107700170417929,0,0,0,0,0,0,0,0.221795877386531,0,-0.0346802667143464,0,-0.136731063285652,-0.00240521510440336,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299480287761948,0,0,0,0,0,0,0.349877722822349,0.0784478675196256,0.0529805043521897,0.0322234723309141,0,0,0,0.0296277482464419,0,0,0,0,0,0,0,0,0.000926253003070109
X600837.CH.EQUITY,0,-0.0450333939063037,0,0,0,0,0,-0.0147085853883473,0,0,0,0,0,0,0,0,0.0655172379880933,0,0,0,0,0,0,0,-0.0317933156169711,-0.00318243037724023,-0.166398898286022,0,0.297657287156042,0,0,0.13244288654054,0.108901670373292,0,0,0,0.204225784647287,0,0.271049481406352,0,-0.0458070229450657,0,0,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0.228334470065468,0,0,0,-0.163162257711622,0,0.0946058249455533,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0731746735143712,0,0,0,0.106920529571084,0,0,0,0,0.00783465625409659,0,0,0.648072530700801,0,0,0,-0.105411472786432,0,0,0,0,0,0,0,0,0,0,0.211601907586142,0
X601066.CH.EQUITY,0.00373388404746404,0,0,0,0,-0.0395240794695989,0,0,0,0,0.186856693697782,0,0,0,0,0.120210632436083,0,0,-0.00630062742245947,0,0,0,-0.268408873804198,0,0,0,0,0,0,0.0973888253819006,0,0.135372584460538,0,0.357514272152441,0,0,0,0,0.108226968141638,0,0,0,0,0,0,0,0,0,0,0.0815309413787248,0,0,0
X601211.CH.EQUITY,0,0,0,0.00817739907394507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594351636771333,0,0,0,0,0,0,0,-0.0995209277502725,0,0,0,0,0,0.376870825382827,0.109083677433773,0.401597217915943,0,0,0.0700842813638123,0,0,0,0,0,0,0.0162953934847139,0,0.0955096498316693,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,-0.504035693970069,0,0,0,0,0,0,0,0,0,0,0,0,0.429591332065025,0,0.149108495614571,0,0,0,0,0,0.395678614499111,-0.0436084187883961,0,0,0,0,0,-0.227983451928875,0,0,0,0,0,0.0956081700332664,0.0937630821939441
X601881.CH.EQUITY,0,0,0,0,0,0,-0.00988945722202338,0,0.245183644353345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261735207477509,0.295238983769327,0,0.0944178281568855,0,0,0.109204851275918,0,0.169199848814122,0,0,0,0,0,0,0,-0.0881944680452712,0.0348525664843328,0,0,-0.0478330026815661,0
X601901.CH.EQUITY,0,0,0,0,0,-0.0134888974469575,0,-0.0135502014085584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.120493778654341,0,0,0,0.0656241928082658,0,0,0,0,0,0,0,0.258770222093569,0,0,0,0,0,0.067074140193764,0,0,0,0,0,0,0.104770314708031,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.0973697537082816,0,0,0.0609472109504168,0.120885511481964,0,0,0,0,-0.0139129433044292,0,0,0,0,0,0.0622846702134021,0,0,0,0.0909333016528331,0,0,0.065065552121531,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.140745684014773,0.0341779954689486,0.427510071093875,0,0,0,0,0.0576019078233837,0
X601318.CH.EQUITY,0.138794783207892,0.192408941129119,0,0,0,0,0,0,0.0229773263619733,0.0170609649225976,-0.139789002129405,0,0,0,0,0,0.132802501394866,0,0,0,0,0,0,0,0.179239191437405,0,0.353687041199414,0,0,0,-0.106122900219851,0,0,0,0,0,0,0,0,0,0,0,0,0.33293320274012,0,0.0282806769567029,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,-0.0390093114857598,0,0,0,0,0,0,0,0.0945521724320798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360769774709516,0,0,0,0,0,0,0,0,0,0,0,0,0.0980039839851864,0,0,0,0,0,0,0,-0.0443206693938426,0
X601336.CH.EQUITY,0,0,0,0.562261662818555,0,0,0,0.0290024268743267,0,0,0,0,0,0,0,0,0,0,0,0,0.137220328703087,-0.00999633876879823,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0592717379044452,0,0,0.20424456485863,0,0,0,0,0,0,0,0,0,-0.0155922166772109,-0.178903756718367,0.101640165052613,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.198133472952976,0,0,0,0,0,0,0,0,0,0,-0.0403519344483963,-0.0231864553617235,0,0,0,0,0.160607992013675,0,0,0,0,0,0,0,0,0,0.280766936782771,0,0,0,0.0980256792983623,0.0606194571466836,0,0,0,0,0.249990581727893,0,0,0,0.346923484339622,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.0064101316535589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11953320949518,4.33680868994202e-19,-0.0322254654770939,0,-0.122014663423468,0,0,0,0,-0.0248227172165229,0,0,0,0,0,0,0,0.342685262456617,0,0,0.0369347420509155,0,0,0,0.0767283696146189,0,0,0,0.118195198062156
X1299.HK.EQUITY,-0.11999410503356,0,0,0,0,0.204739085459861,-0.0819099409398567,0,0,0,0,0,0,0,0,0,0,-0.0714821504041543,0,0,0,0.0391725777111075,0.275091748444664,0,0.0210181025933031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283154836891366,0,0,0,0,0,0,0.037368990925678,0,0.226000224570389,0,0,-0.114242527363655
X2881.TT.EQUITY,-0.250673564082811,0,0,0,0,0,0,0,0,0,-0.0569945039393565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151246453169599,0.173814906642171,0,0,-0.0442542747354089,0,0,0,-0.0675239672221195,-0.035206506976655,0,-0.0975070491691327,0,0,0,0,0,0.401933006970127,-0.0606951507645003,0,0,0,0.567520189059063,0,0,0,1.73472347597681e-18
X2882.TT.EQUITY,0,0,0,0,0,0.0471077744521549,0,0,0,0,0,0,0,0,0,0,-0.12596386446931,0,0,0,0.107908319776664,0,0.115294825958328,0,0.118796298930191,0,-0.0271241709076842,0,-0.0774186334974341,0,0,0,0,0.023732972752085,0,0.0176203167987595,0,0,0,0,0,0,0,0,0,0,0.138597721035792,0.385594193825521,0,0,0,0,-0.0364719067191635
X267.HK.EQUITY,0.0664407026824596,0.013777978533814,0,0,0,0,0.0149899531849587,0,0,0,0,0,0,0.119126020239602,0,0,0,0,0,0,0,0.541575625758119,0,0,0,0.051608310927254,0,0.181784507787549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12935623810841,0,0.174857248955054,0,0,0,0.131233543234981,0,0
MKRturn,0,0,0,0,0,0.326502079244764,-0.122146784683247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0886474657589426,0.0332977804076648,0.012206110844257,0,0,0,0,0,0,0,0,-0.0350685862104938,0,-0.125959806049433,0,0,0,0,0,0,0,0,0,0,0.112577895664043,0,0,0,0,0.139976312866529
TED,-0.0310380411781511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945495249804787,0,0,0,-0.237060488988115,0,0,0,0,0,0,0.124875103468168,0,0,0,0,0,0,0.340418771658933,0,0,0,0,0,0,0.0439259397176699,0,0,0,0,0
RealEstateDiff,0,0,-0.0192736064892926,0,0.147497708778615,0,0,0,-0.138475251601782,0,-0.289891179811251,0,0,0.0995682733471072,0,0,-0.291134345277605,0,0,0,-0.0427444493856109,0,-0.251678062494639,0,0,0,0.0382159450287073,0.0705687572190439,0,0,0,0,0,0,0,-0.205855423297431,0,0.0931707418264116,0,0.438980103154274,0,0,0,0,0,0.243756759117656,0,0.133137792073004,0,0,-0.0344378928895296,0.0608357549186306,0
