,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.224470580445319,0,0,0,0,0,0,0,0,0.0913457895364535,0.135767581586524,0,0,0,0,0,0.168658555478582,0,0,0,0,0,0,0.0821180561428026,0,0,0,0,0,0,0,0,0,0,0.29998979969649,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.171653747107269,0,0,0,0,0,0,-0.012831913847466,0,0,0,0,0,0,0,0,0,0,0.446676405861942,0,0,0.0729570899680766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543003919976675,0,0,0.11938119097457,0,0,0,0,0,0,0,-0.141848440417759,0.128209082879478,0,0,0.0180946665470857
X600000.CH.EQUITY,0,0,0,0,0.372846356936095,0,0.0104178144848426,0,0,0.00359121422964243,0.0730436019833506,0,0.119545061739948,0,0,0,0,0.148502192672939,0,0.113570993410572,0,0,0,0,0,0,0,0,0.0995706749420253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0.27229057719622,0.299920442269309,0,0,0.163052880946814,0,0,0.0413733708089944,0,0,0,0,0,0.183339591819004,-0.0622674823047971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0651006465054954,0.130937913560812
X600016.CH.EQUITY,0,0,0,0.0855797381741437,0,0,0,0,0,0.115738651856694,0,0.0305849996433648,0.298033793972517,0,0,0,0,0.32408130974605,0,0.114457586386414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.323112484726593,0,0,0,0,0,0,0,0,0,0.0213245875747887,0,0,0,0,0.008416768239486,0.128474409108354,0,0.131792268184393,0,0,0,0,0.0410288787641234,0,0,0,0.171725125103693,0,0,0.000783887682764609,0,0,0.125474552006624,0,0.0152320216187081,0,0,0.0539056247991517,1.73472347597681e-18,0,0,0,0,0
X600919.CH.EQUITY,0,0.00211238488976142,0,0,0,0,0,0.24526884986593,0,0.321938381032798,0,0,0,0,0,0,0.0199867554634168,0.0470976569353219,0.00239206779602005,0,0,0,0,0,0,0,0,0,0,0,0.197954766746635,0,0,0,0,0,0,0,0,0,0,0,0,0.0921197336768425,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.111694537472769,0,0.0360897781640043,0,0.365031297762013,0,0,0,0,0,0,0.00738001121717834,0,0.0261247117842088,0.100507389142739,0,0,0,0,0.1809129546532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336346280448171,0,4.33680868994202e-19,0,0,0.00784330740603056,0,-3.46944695195361e-18,0,0.0265028020749817,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.128815757244916,0,0,8.67361737988404e-19,0,0.128592476695079,0,0.0458936752562697,0,0,0,0,0.0232710460514818,0,0.222913210860407,0.201833442204234,0,0,0,0.129804118398155,0,0,0,0,0,0,0.0560480165198867,0.0731026854990667,0,0,0,0,0,0,0,0,0,0,0,0,0.0201287702933106,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0.114210871738709,0,0,0.2393372348809,0,0,0.157086622003387,0,0,0,0,0,0.0329849967732725,0,0,0.0786377904637605,0,0,0.00224688291677101,0.365132817140315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.11836847150426,0.207473402411079,0,0,0,0.134165304837739,0,0,0,0,0.0109255337100113,0,0,0,0.111285252300785,0,0.278816391015902,0.16467061272809,0,0,0,0,-0.124690520987595,0,0,0,0.0457688525306857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216014905748763,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0924160798760883,0.367798439982639,0,0,0.364555357979653,0,0,0.0593942134011592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767442614557912,0,0,0,0,0,0,0,0,0,0,-0.0128687125313209,0
X601328.CH.EQUITY,0,0,0.29133905497192,0,0.230687312937291,0,0,0,0,0.0785563377499434,0,0.311322830247901,0,0,0.0658320597773763,0,0,0,-0.0796141886874989,0,0,0,-0.0552989340303483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582238558186911,0,0,0,0,0,0,0,0,0,0,0,0.0650271267399353,0,0,0.0111612448916372,0
