,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2890.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.182819279149556,0,0,0,0,0,0,0.025319878672879,0,0,0.0824956707064567,0,0,0,0,0,0.123160676950324,0,0,0,0,0,0,0,0.105616530161212,0,0,0,0,0,0,0,0,0,0.0330095692615506,0,0.221485767980365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.0713592805562821,0,0,0,0,0.0572410889471176,0,0,0.32861126432196,0.0222749875024435,0.333563988714032,0.113410143259963,-0.0474931782683561,0,0,0,0,0,0,0,0,0,0,0,-0.135415319993332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0561751075679442,0,-6.93889390390723e-18,-0.00280795502389864,0,0,0,0,0,0,0.134859744621425
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0675769296664223,-0.098474941623704,0.0878914506364613,0,-0.0728071843967503,0,0,0.350395525194377,0,0,0,0.501604987476984,-0.0404060764337729,0,0,0,0,0,0.0262429563696985,-0.026956053400108,0,0,0,0,-0.0515401582751249,0,0,0,0,0,0,0,0,0,0,0,-0.0679946696051118,0,0,0,0,-0.169337063918205,-0.045895562361068,0.0733389079852123
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.0770407630460276,0.158458740173352,0,0.455049533388825,0.0646284992219518,0,0.222388736259693,0,0,0,0,0,0,0,0,-0.0114416579033911,0.0704937512841746,0.0668808962770727,-0.0699690752186152,-0.134824488888744,0,0,0,0,0,0,0,0,0,0.0829980525301743,0.13900970826385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,-0.545210217277661,0.345761827571255,0,0,0,0,0,-0.882550560280822,0.470289008919975,0.17541534856894,0,-0.078468071110115,0,0,0,0,0.381897137643077,0,0,0,0,0,0,-0.220760716136099,0,0,0,0,0,0,0,0,0.254568898765482,-0.0584795300321768,0,0,0,0,0,0,0,0,0,0,0.353487502277544,0
X600036.CH.EQUITY,0.143580127095635,0,0,0,0,0,0,0,0,0.115590869511536,0,0,0,-0.0306438637508857,0,0,0,0.0975586179643731,0.0851133098937624,0,0,0,0,0.0623555971474643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328221543493664,0.176205975404788,0,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0.199199622191325,0,0,0,0,0,0,0,0.114060940074126,0,0,0.0797669232020642,0,0,0,0,-0.0321033313793672,0.105505874682157,0.132453552888806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010199279435271,0,0.0756253138721388,0,0,0,0,0,0,0,0,-0.384409093443991,0.103770707586027,-0.245818261641097
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.00495747281482597,0,0,0,0,0,0,0.592465634279875,0,-0.062106005175602,0,0,0,0,0,0,0,0,-0.0288087658596938,0,0,0,0,0,0,0,0,0,-0.114403388226513,0,0,0,0,0,0,0,0,0,-0.136220850192465,0,-0.14889914771343,0.0276700679422081,0.192207723239276
X601009.CH.EQUITY,0.0764860102905694,0.0777891771419768,0,0,0,0,0,0.0103307994485115,0,0,0,0.207828495426754,0,0,0,0,0,0,0,0,0.436643057146032,0,0,0,0.00111992484560747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316833104740774,-0.00503245576789494,0.165509378929808,0,0
X601166.CH.EQUITY,0.200655095332953,0,0.0995054092058905,0,0,0.276762017385911,0,0,0,0,0.107460527397907,0.178669727589414,0,0,0,0,0.174191515129451,0,0,0,0,0.23493314164013,0,0,0,0,0,0,0,0,-0.0819118760759571,0,0,0,0,0,0,0,0,0,0,0,0,0.0697191580736767,0,0,-0.0299036129142733,0,0,0,0,0,-0.0810907983495283
