,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601236.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548588810021559,0,0,0,0,0,0.0692460531835937,0.0531703548366212,0,0,0,0,0.168232131565345,0,0.104270094947549,0,0,-1.73472347597681e-18,-0.0289343279139372,0.0734051424813692,0,0,0.166804469238678,0,0,0,0.419660988670835,0,0,0,0,0,-0.0582829800006725,0,0,0,0.0245078306265051,-0.180618651794191,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0683114851332299,0,0,0.025777070142683,0,0,0,0,0,-0.0465151888962182,0,-0.0424006225132657,0,0,0.0230889776867285,-0.018167784444081,0,0.167792344829539,0,0,0.152869158030372,0.332115809423087,0,0,0.207954716711159,0.149886367752344,0,0,0,0.00885272695937302,0,0,0,0,0,0,0,0.037980067968531,0,0,0,0,0,0
X601788.CH.EQUITY,0,-0.0684034016181326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132011240366669,0,0,0,-0.084420489275861,0.108983564085937,0,0,0.568288269230453,0,0.00204671101652774,0,0,0,0,0,0.149243930343394,0,0,0,0.0733841147188573,0.159066529898028,0,-0.185947529934061,0,0,0,0,0,0,0,-0.0219047752636075,0.250859956780558,-0.0316431208248073,0
X601881.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555099993522818,0,0,0.207447691642283,0,0,0,0,0.00960677647762867,0,0.395158760301149,0,0,0,0.0277134330460387,0,0,0,0,0.260049680394238,0.0505921387712272,0,0,0,0,0.0175186291083594,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,-0.0136360586464029,0
X600918.CH.Equity,0,-0.192406368036079,0,0,0,0,0,0,0,0.130912190330424,0,0,0,0.0452212638456029,0,0,-0.125448089104799,0,0,0,0,0,-0.0755033445097714,0.118380921364674,0,0.124342831939135,0,0,0,0,0,0,0,0,0,0.236717451594626,0.0458451372644249,0,0,0.0818135201004799,1.0842021724855e-19,0,0,0.168377142576609,0,0,0,0,-0.0228886289113684,0,0,-0.0228384532322948,0
X601696.CH.Equity,0,0,0,0,0.0704309323183105,0,0,0,0.0415278568266535,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0943279010586353,0,0,0,0.339216789655863,0,0.101923908945244,0,0,0,0,0,0.288700188809415,0,0.012471594778368,0,0,0,-0.00272663584857598,0,0,0,0,0,0,0,0,0,0.0964241183589212,0,0.0323391968009759
X388.HK.EQUITY,-0.051483592656546,0,0,0,0,0,-0.213779637856197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246841613457881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347436890900351,0,0,0,0,0,0,0.402888447355625,0,-0.255042936467323,0,0.232278967149871,-0.00978429406785057,-0.144694200150182,0
X601318.CH.EQUITY,0,0,0,0,0,0.262929670792738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0822381788408129,0,0,0,0,0.0697358778920033,0,0,0,0,0,0,0,0,0,0,0.320181990318531,0.164922565050902,0,0,0,0,0.0457123935379368,-0.0504125998232096,0,0
X601319.CH.EQUITY,0,0,0.0384635541855479,3.46944695195361e-18,0,0,0,0,0,0,0.187084271300372,0,0,0,0,0,0.0104573135064773,0,0,-0.0291580166355753,0,0,0,0,0,0.284974073007817,0.200487109443124,0,0,0,0,0,0.0927437987344553,0,0,0.0435988867213561,0,0,0,-0.00334321932306384,0,0,0,0,0.114266622162395,0,0,0,0,0,-0.0613699731633865,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0.10583340470355,0,0,0,0,0,0,0,0,0,0,0,0,0.0125751448448504,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171005354772747,0,0.0241614983582162,0.102248039027005,0,0,0.0777104277822944,0,0.461295383371106,0.0557643437334897,0,0,0,0.0635696896837899,0,0,0.0361981025035436
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174022125953398,0,0,0,0,0.0681835167366133,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118625493388297,0,0.0980825342290362,0.618169417180653,0,0.209783692918111,0,-1.0842021724855e-19,0,0,0.0855889070916753,0,-0.0302015573891284,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,-0.0525178124417326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0385532955218691,0.146746526099743,0.0661473805293435,0,0,0,0,0.791511481456684,0,-0.161939406478731,0,0,0,0,0,0,0.052711564853189,0.0716376219471537,0,0,0,0.210082956602239,0,0,0,0,-0.0745603565587859,0,0.0726018251354731,0.0136203780844525,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0271167408566519,0,0,0,0,0,0,-0.0435872690061477,0,0,0.058713779679828,0.268427935220112,0.167485007583621,0,0.0744425925284163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310666183347613,0.321915786129634,0,0,0,0,0,0,0.129504192739762,0,0.129919006279373,0.118968038494931,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,-0.0317360485733468,0,0,0,0,0,0.148627967735616,-0.0372578843341284,0,0,0,0,0,0,-0.1377143918803,0,0,0,0.157075422237319,0,0,0,0,0,0,0,-0.0663052830152198,0,0,0,0.148601804266182,0,-0.133837143365447,0,0,0,0,0,0,0,0.0704135465180388,0,0.872414482826043,0.0640069492131354,0.0271289108843805,-0.106852204792441,0
X2882.TT.EQUITY,0.0411336137811865,0,0,0,0,0,0,0,0,-0.225695057122921,0,0,0,-0.112147393772878,0,0,0,0,0,0,0,0.206548130593764,0,0,0,0.0683606926545574,0,0,0,0,0,0,0.115426309280395,0,0,0,0,0,0,0,0,0,0,0,0.0940415847697009,0,-0.0558133345749713,0.793305099049284,0,0,-0.0444319989449295,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246082035397238,0,0,0,0,0,0,0,0.153684118647099,0,0.300754761193408,0,0,0,0,0,0,0,0,0,0,0.0543826210973783,0,0,0,0,0.0757390414498345,0.148463105859159,0,0,0,0,0,0.0497741933481698,0,0,0,0,0,0
MKRturn,0,0,0,0,0,0,0,-0.220309010185377,0,0.144621841945243,0,0,0,0,0,0,0,0,0,0,0.0439222234392499,0,0,0.161508105182294,0.285272027871482,0,0,0,0,0,0,0,0,0,0,0,0.16202733685684,0,-0.093982031209631,0,-0.140307097744512,0,0,0,0,0,0,0,0,0,0,0.0365479317459179,-0.186689251563325
TED,0,0,0,0,0.0445160341224346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0993288583975442,-0.227847175922617,0,0,0,0,0,0,0,0,0,0,0.0402689715633641,0,0,0,0,0.0588307114681125,0,-0.501737588685566,0.00291986688595334,0.109456653180017,0,0,0,0,0,0,0,0,-0.12206243816138,0,0,0.0800398163547377
RealEstateDiff,0,0,0,0,0,-0.039904096154437,-0.48221018963687,0,0,0,0,0,0,0,0,0,0,-0.0215223343274227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687725678630294,0,0.203797605876954,0,0,0.0435255145964976,-0.0260557607179203,0.0738594405192075,-0.0363120063071648,0,0,0,0,0,0,0,0,0,-0.217203581680694,3.46944695195361e-18,0
