,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.133569102726632,0,0,0,0,0,0,0.372692646132701,-1.38777878078145e-17,0,-0.116785586555727,0,0,0,1.73472347597681e-18,0,0,0,0,0.0226780493009479,0,0,0,-0.187764525911525,0,0,0,0,0,0,0,0,0,0.0995511184945343,0.319711248896866,0,-0.160904941106701,0,0,0.318514541739795,0.0493581002536195,0,0,0,0,-0.0771511086596445,-0.00714648956430663,0,0,0,0.127938764666045,-0.0912705002340161
X002142.CH.EQUITY,0.162708083681954,0,-0.020145784432805,-0.218137961556049,0,0.268109205891271,0,0.243295491656477,0,0,0,0,0,0,0,0,0,-0.000460344900233986,0.0725790212548975,0,0,0,-0.0815743765372695,0,-0.102668146783359,0,0,0,0,0,0.0135845203511198,0,0,0,-0.248195843452138,-0.0181899420383095,0,0,0,0,0,0.34179110395309,0,0.285130235159712,0,0,0,0,-0.037003686594894,0,-0.014892893262851,0,-0.0549450941331078
X600000.CH.EQUITY,0.128739617079062,0,0,0,0,0.0346134734221972,0,0,0,0,0,0,0.547193565661638,0,0,0,0,0,0,0,0,-0.00299811978445161,0,0,0,0,0.17709130675538,0,0,0.0366440841678311,0,0,0,0,0,0,0,0,0,0,-0.057370154726491,0,0,0,0,0,0,0,0,0,0,0.0241151628713538,0.110369503912161
X600015.CH.EQUITY,0,0,0,0,0,0,0.117989880453677,0,0,0.146205674189747,0.0183199748387508,0,0,0,0.20823083639198,0.0561029095166663,0,0.0513665835755193,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430168914948364,0,0,0.0541956952996907,0.0465564209554782,0,0,0,0,0,0,0.179755561097285,0,0,0,0.0526689681977347,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.142600589487432,0,0,0.120914375485781,0,0,0.0164927531109456,0.0424304999544099,0,0.258138127478393,0,0,0,0.0385827096313317,0,0.0220983826788871,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.16077398833526,0,0.0765822182116962,0,0,0,0,0.14026309975969,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.196787564194026,0.0783735367735129,0.282108505376131,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0639465430909972,0,0,0,0,0,0,-0.0298540943244862,0.0388427927744724,0,0,0.00525496112302009,0,0,8.67361737988404e-19,0,0,0,0.0340067621832957,0,0.0493488428755115,0,0,0,0,0,0.103257819248333,0,0,0,0,0,0,0,0,0,0.237602342396643,0,0.0192607612767063,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.102405789579525,0,0,0.066981281449506,0,0,0.0821825505736458,0,0.201826238664595,0,0,0,0.0320539084382622,0,0,0,0,0,0,0.0472007595446487,0,0,0,-0.00827281945738512,0,0,0,0,0,0,0,0,0,-0.0503483150165602,0,0,0,0,0,0,0,-0.0542119642497703,0.0248847920943243,0,0,0.0444411967727133
X601009.CH.EQUITY,0.14142285753397,0,0,0.30832064240141,0,0,0.0732600523340269,0,0,0,0.140751127081806,0,0,0.152216133920481,0,0,0,0,0,0,0,0.0403279521778275,0.0705338148177214,0,0,0,0,0,0.0193686478100405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150850682434525,0,0,0,0.0141816091221103,-0.152056317987386
X601166.CH.EQUITY,0,0,0,0.077940051152414,0,0.477210493694371,0,0,0,0.0357817008845442,0,0,0,0,0.0940089571001416,0.106169815857309,0,0,0,0,0,0,0,0,0,0.0299208572854658,0,0,0,0,0,-0.0305028103250927,0,0,0,0,0,0,0,-0.00983965866979549,0,0,0,1.73472347597681e-18,0,0,0,0,0.0761399581544227,0.0123764696890919,0,0,0
X601169.CH.EQUITY,0,0,0.295211005295001,0.417335913542339,0,0,0,0,0,0,0,0,0.226859983789161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0238951116776481,0,0,0,0,0,0,0,0,0,0,0,0.00537312316519442,0,0,0.221060947308882,0,0,0,0,0,-0.0215262801187544,0,0
