,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.252147481330948,0,0,0,0,0,0,0,0,0.267261584884423,0,0,-3.46944695195361e-18,0,0,0,0,0.0632748369119133,0,0,0,0,0,0.260211374374187,0.0128946331091589,0,0,0,0,0,0,0.15322061905775,0.306951181407941,0.00623905836278346,0,-0.287854124312476,0.0534959964270405,0,0,0,0,0,0,0,0,0,0,0,0,-0.0462421386747629
X002142.CH.EQUITY,0.154815225461801,0,0,0,0,0.0110208986153955,0,0.0409771423302033,0.0555920127943669,0,0,0,0,0,0,0,0.212004090374046,0,0,0,0,0,-0.0337956716755696,0,0.061607439128478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675269358442925,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.0774098882247839,0,0,0,0.0978716754946198,0.162642697436871,0,0,0,0,0,0,0.43040021659531,0,0.040602196678041,0,0,0,0,0,0,0,0,0,0.00878243599492404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276852102711301,0,0,0,0,0,0.088260676534069,0,0,0,0,0.0858638069519361
X600015.CH.EQUITY,0.0157677751574965,0,0,0,0,0,0,6.93889390390723e-18,0,0.221406247124307,0,0,0,0,0.464756851641315,0,0,0,0,0,0,0.114281486929839,0,0,0,0,0,0,0,0,0,0,0.150677518412129,0.0138313440035877,0,0,0,0,0,0,0,0.0731186605430845,0,0,0,0.0306470803703528,0,0,0,0.0035389204739582,0
X600016.CH.EQUITY,0,0,0.273153835839644,0.140195398948209,0,0,0,0,0,0,0,0,0.240805616192826,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0293066075073047,0.0459928854048875,0,0,0,0,0,0.0527430415004428,0.0504510961846752,0,0,0.056175559173826,0,0,0,0.0787460132543195,0,0,0,0,0,0,0,-0.0566967577284386,0
X600036.CH.EQUITY,0.167578116421856,0.0870581411208686,0.168455846682645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520290460516324,0,0.00404949157299125,0,0,0,0.363448658015898,0,0.00668925198112112,0.0420531484164067,0,0.0128289523956835,0,0.0987062017423316,0,0,0,0
X600919.CH.EQUITY,0,0.0757888296435805,0,0,0.061681958748156,0,0,0.0741155007733373,0,0.414621327415324,0,0,0,0,0,0,0.112838698562403,0,-0.0217904071156888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0287928406974207,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.0740408174284437,0,0,0,0,0,0.10122671993558,0,0,0,0.0449703330043334,0,0,0.240873524188093,0.19235417985088,0.126562898705547,0,0,-0.0382757932890555,0,-4.33680868994202e-19,0,0,0,0.114104270069485,0,0,0,0,0,0,0,0,0,0,0,-0.0203640086140938,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139882225706058
X601166.CH.EQUITY,0.135241418067255,0.434662378044958,0,0,0,0,0,0,0,0,0,0,0,0.192172975719986,0,0,0.0605322034332147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647706787093359,0,0,0.108608713783626,0,0,0,3.46944695195361e-18,0.342349847909393,0.0445851881836075,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.18010080873211,0.629771870230127,0,0,0,0,0,0,0,0,0.0463163534158374,-0.0316506663419754,0,0,0.145682502740585,0,0,0,0,0,0,1.73472347597681e-18,0.0880061758193244,-0.0785862162760141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697566147134864,0,0,0,0,0,0,0,0,0.00801853638770153,0,0
X601229.CH.EQUITY,0.251095906165383,0,0,0.0277503340854076,0,0,0,0,0,0,0,0,0,0.260632550160681,0,0,0,0,-0.245311963340325,0,0,0,0,0,-0.077723353747696,0,0,0,0,0,0,0,0,0,0.307371296480163,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.112269515318302,0,0,0
X601288.CH.EQUITY,0,0,0,0.0500594018757433,0,0,0,0.0448672359375035,0,0,0.072769197267133,0,0,0.386785760504578,0,0.17805504559563,0.0807104907732496,0.0676617473791816,-0.0245079325683004,0,0,0.0677165763866737,0,0,0,0,0.0186099677599786,0,0.101478004431813,0,0,0,0.0499780878953464,0,0.126446111333733,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272323447856964,0,0
X601328.CH.EQUITY,0,0,0.0870719565447886,0.0533468245464472,0.202358062347246,0,0.0232745293218811,0,0,0.202878800417208,0,0,0,0,0,0,0.0764092633048242,0.203064913873265,0,0,0,0.0848428092676017,0,0,0,0,0,0,0,0.0107216410362668,0,0,0,0,0,0,0,0,0,0.0619609642686531,0,0.0377618469523208,0,0,0,0,0,-0.175994915598812,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0.102731347300578,0.150193640358177,0,0,0.0368734856687516,0.305283012396591,0,0,0.166763893121289,0.0816942559610977,0.0657632012705972,0,0,0,0,0,0,-0.0160965899683155,-0.0388620090084235,0,-0.0563029186289185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.180782490135441,0,0
