,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000069.CH.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0.195020129605741,0.0140598822398925,0.124909696449619,0,-1.73472347597681e-18,0.161712553668961,0,0,0,0.120877939858514,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.00338587600080864,0,0,0,0,0.0191030343300802,0,0,0,0,0,0,0,0,0.0555815557946529,0,0.0991633812061665,0,0,0.0785085074934546,0.0493598790966788,0,0,0
X002142.CH.EQUITY,0,0,0,0.196441356272418,0,0,0,0.228192964194466,0,0,0.218811717061457,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0185426600688172,0.161241870653768,0,0,0,0,0,0,0,0,0,0,0,0.0677525806048581,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.0353377831593614,0,0,0,0.139133082045045,0.218779625131686,0,0,0,0,0,0,0.157019237946039,0,0,0,-8.67361737988404e-19,0,0,0,0.0216097089933222,0,0,0,0,0.00726385952963321,0,0,0,0,0,0,0,0,0,0,0,0,0.0222426216222126,0,0.0768261487592434,0,0,0.115786794429656,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.607619220991969,0.0660665850928492,0,0,0.100460605794441,0,0,0,0.0507657135866346,0.0516316770658799,0,0,0,0,0,0,0,0,0.0527767471361507,0,0,0,0.00183716036203466,0,0,0,0,0,0,0.0212874094630245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.0495607934973943,0.313552888053852,0,0,0,0,0.328902871656663,-6.93889390390723e-18,0,0,0.0473596802882016,0,0,0,0.106709623378817,0,0,0,0,0,0,0.0864065482998013,0,0,0,0,0,-0.0250479038889631,0,0,0,0,0,0,0,0,0,0,0.0392873574335192,0,0,0,0,0,0,0,-0.00180340535388585,0,0
X600036.CH.EQUITY,0.422152766406174,0,0.259272295110754,0,0,0,0,0,0,0,0,0,0,0,0.101938573908632,0,0,0,0,-0.0448515802851818,0,0,0,0.0624894216433305,0,0,0,0,0,-0.00767648504483692,0,0,-0.0221321566716552,0,0,0,0,0,0,0,0.0316962823488635,0.123424567053161,0,0,0,0.018498918678121,0,0,0,0,0.0541472632712191
X600919.CH.EQUITY,0,0,0,0.26410711687591,0,0,0,0,0,0,0,0,0,0,0,0,0.274042343127064,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0.087550132821024,0,0.20223865008827,0,0,0.0340920073383363,0,0,0.0515801480604718,0,0,0.0143120514170924,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0.230553585943154,0,0.215895024321889,0,0,0,0,0.369413292880922,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619268067243026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0335105901939597,0,0.261134422078952,0,0,0
X601166.CH.EQUITY,0,0.00507842526546327,0,0,0.0920017816676082,0.209620474811664,0,0.0943560863893849,0,0,0,0,0.0802742395018328,0,0,0.0862118803695572,0.0692782916157594,0,0,0,0,-0.0391219719462831,0,0,0,0,-0.00638919789694439,0,0,0,0,0,0,0,0,0,0,0,0.10714037688934,0,0,0,0.116867428360418,0,0,0,0.0497496571062727,0,0.0331236231147784,0,0
X601169.CH.EQUITY,0,0,0,0.0357071454677688,0,0.0544138133701457,0,0,0,0,0,0,0.0124820722490809,0,0,0,0.200257433348948,0.153439344491211,0,0,0,0,0,0,0,0.0996043002019223,0,0,0.0512272874785606,0,0.0976402323248363,0,0,0,0,0,0,0.0746016176487105,0,0,0.0672267521801328,0,0,0.0675015860603466,0,0,0,0,0,0,0
