,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0799745126264768,0,0.660196583581164,0,0,0,0,-0.0264595210098975,0,0,0,0,0,0,0,0,0.118453876528518,0,0,0,0.0312978945951533,0.0117854600484422,0,0,0,0,0,0.0503726131245211,-0.0172524468482604,0,0,0,0,0,0,0.00164618274253313,0,0,0,0,0,0,0.00347165659516698,0,0,0,-1.0842021724855e-19,0,0,0.0286891005513406,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.000972653275014743,-0.00285485405508309,0,0,0,0.189074246796689,0,0,0,0,0,0.425612707139046,0,0,0,0,0,0,0,0,0,0.0129497679573367,0,0.013315923436487,0,0,0.136355894359627,0,0,0.0560768949717488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105433797926711,-0.0484683460439045
X601939.CH.EQUITY,0,0,0,0,0.216433339982016,0,6.93889390390723e-18,0,0,0.119997421991208,0.144433904358041,0,0,0.0230997419149741,-0.0189838804748606,0.172616605685477,0.163523097841129,0,0,0,0,0,0,0,0,0.0348670349075763,0,0,0,0,0,0,0,0,0,0,0,0,0.120380675267846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476180741222793
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.148510461125239,0,0,0.240565115599956,0,0,0,0,0.347095939178371,0,0,0,0.166311548687524,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.00889264489612704,0,0,0,0.063763804991491,0,0,0,0,0,0,0,0.0752279432785497,0,0,0.1544048470146,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0456035960049141,0,0.00713202683712287,0,0,0,0,-0.022562899730289,0,0,0,0,0,0.000690483629383984,0,0,0.751829647367168,0,0,0,0,0,0,0,0,0,0,0,0.0178834588632035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00657066014895238,0,0,-0.0115799713600597,0
X600036.CH.EQUITY,0,0.247150588042726,0,0,0,0,0,0.0488699795856213,0,0,0,0,0,0.266660668678163,0,0,0,0,0.121978212611666,0,0,0,0,0,0,0.253508835826549,0.000782197138209388,0.056494260571018,0,0.081663529533699,0,0,0,0,0,0,0,0.00910078100931154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.24440483682723,0,0,0,0,0,0,0,0,0,-0.0933487343389319,0,0,0,0,0.0631962686959446,0,0,0,0.00215430987906087,0,0,0,-0.0323970603144309,0,0,0,-0.11708158337589,0,0,-0.071603679813533,0,0,0,0,0,0,0,0,-0.0164120865651361,0,0,-0.0193815437582163,0.966434758054012,0,-0.0688845628758318,0.0182829305318338,0,0
X1299.HK.EQUITY,0,0,-0.231801604783551,0,0,0,0,0,0,0.236167261145662,0,0,0,0,0,0,0,0,0,0,-0.134899726423985,0,0,0,0.192928483475739,0.0880732228161197,0.462358012336708,0,0,0,0,0,0,0,0,0,0,0,0,0.028874658180587,0,0.0688433831169886,0.102934359118675,0,0.0674132210244531,0,0,0.17058230640382,0,1.38777878078145e-17,0,0,-0.0832275674542428,-0.0204601114256947
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.270492063874368,0,0,0,0,0,-0.121807049743133,0,0,0,0,0.180278190376981,0,0,0,0.0314626448087848,0,0,0.373481903787169,0.0450574345474236,-0.0784894034026186,0,0,0,-0.0894998091471369,0,0.107022836207926,0,0,0,0,0.195304992803684,0.0193702415055961,0.187405110369951,0,0,-6.93889390390723e-18,0,0.140665083889194,0,0,0,0
X388.HK.EQUITY,0,0.0850636252652112,0,0.00695063577247532,0,0,0,0.0422242638982097,0,0,0,0,0,0,0,0,0,0,0,0,0.092440941616231,0.171566340167603,0,0,0.0790044206786677,0,0,0,0,0,0.166342427690771,0,0,0,0,0,0.226905989376401,0.124421804186154,0,0,-0.1895005017949,0,0,0,0,0,0.244428052877087,0,0,0,0,0,0.0645992121235159,0
