,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601818.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.333548273872735,0,0.10162762408434,0.0463442541015381,0,0,-0.0394642366748441,0,0,0,0,0,0,0,0.0704891903681223,0,0,-0.0062416549755343,0,0,0,-3.46944695195361e-18,0.0536553631238999,0,0,0,0,0,0,0,0,0,0,0.0524472732918844,0,0,0,0,0,0,0,0.274226839478697,-0.0225888734722098,0,0,0,0,8.67361737988404e-19,0.0158181576275155,-0.0619911655153667,1.0842021724855e-19
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.174407379335247,0,0,0.349119026294804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201113105587429,0,0,0.011963002637066,0,0,0,0,0,0,0,0,0,0,0.00311640265150194,0,0,0,0.151819515745846,0
X601939.CH.EQUITY,0,0,0,0.767329655484678,0,0,0,0,0,0,0.119072774205655,0,0,0,0,0,0.101051433550125,0,0,0,0,0,0,0.00929167816777721,0,0.00600471072055702,0,0,0.0690430037691197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00757897510027615
X601288.CH.EQUITY,0.0951189062125867,0,0.949717526045166,0,0,0,0,-0.0458177059849876,0,0.0190521831323889,0,0,-0.0200062046620228,0,0,0.0076595047100074,0,0,0,0,0.0356384336794442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.084025630910736,0,0,0,0.026036364556029,0,0,0,0,-0.127451551143862,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.244079043235013,0,-2.77555756156289e-17,0,0,0,0,0,0,0.384110711929709,0,0,0.0140444809722193,0,0,0,0,0,0,-0.079223324386667,0,0,0,0,0,0,0.124936612577987,0,0,0,0,0,0,0,0,0,0.10464516181245,0.262992814298584,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.232588774760065,0,0,0.256204715038624,0,0,0,0,0,-0.023497548718268,0,0,0,0,0,0,0.343119190532449,0,0.0258604482891972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850096407548531,0,0,0,0,0,0.0564839531605792,0.0153659844152457,0,0,0,0,0,0,0,-0.0407673272649473,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.00825955894716586,0,0,0.0232467244524031,0,0,0.159029219994384,0,0,0,0,0,0,0,0,0,0,0.00083123532683596,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0228549716709231,0,0,0,0.0340245905371784,-0.0384976874987073,-0.0747991106964226,0,0.930066759688197,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.292462670685184,0,0,0.0903619350884557,0,0,0,0,0,0,0,0,0,0,0,0.267510030809044,0,0,0,0,0,0.0896428461870063,0,0,0,0,0,0.0236372096343194,0.0602513522665345,0,0,0,0,0.112966222290741,0.0312380880203581,0,0,0.0878490625123032,0,0,0,0,0,0,-0.0115013085206322
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127430643571158,0,0,0,0,-0.153797610966144,0,0,0,0,0,0,0,0,0.336661274250736,0.0608761054581503,0.0703687342613921,-0.000651856544270323,0,0,0,0,-0.053571845002735,0,0.187674162343469,0,0,0.056782347316765,0,0.127817315959105,0,0.182937701414976,0.0855451359497312,0,0,0.318282586124393,0,0,0,0,0
X388.HK.EQUITY,0,0.218310003956845,0,0,0.154508334487007,0,0,0.0845952094737726,0,0,0,0,0,0,0,0,0,0,0,0,0.0270211162358615,0,0,0.14502090579808,0.131112454850343,0,0,0,-0.109906257900965,0,0,0,0,0,0,0,0,0.265681083450195,0,0,0,-0.0197207668952924,0,0,-0.207122046656854,0.159841878085302,0,0,-0.0423953834531201,0,0,0,0.195096792121232,0
