,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.236078251194934,0,0.138065284474539,0,0.0317081261834588,0,0,0.250276009025191,0.0690804228773867,-6.93889390390723e-18,0.0952799268994907,0,0,0,0,0,0,0,0.0758093168052404,0,0,-0.0857471999105682,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.0634053643898543,0,0,0,0,0,0,0,0,0,0.0416170335697777,0.0264649678936397,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.483663687270393,0,0,0,0,0,-0.047989189848587,0,0,0.0165532079521211,0.192368061801636,0,0.229720712450198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149504938367274,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0805869534163651,0,0,0,0,0,0,0.211831663525676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.113484704146676,0,0,0.156845004583899,0,0.147433256622641,0.14110223321146,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.346504214951795,0.0459209282664133,0,0,0.402135034577972,0,0,-0.0315337589978522,0,0,0.0626927894083262,0,0,0,0,0.114489562709691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210960038948608,0,0,0,0,0,0,0,0,0,0,0.0134142111223242,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0874421248850757,0,0.289774477800826,0,0,0,0,0,0,0.249446106057244,0,0,0.100292266781232,0,0,0,0,0,0.143468130338913,0,0.0690976207049252,0,0,0,0,0,-0.00853308310111336,0,0,0.0215139001220827,0,0,1.38777878078145e-17,0,0,0,0,0,0.0445577863741166,0,0,0,0,0,0,0,0.0532824348252728,0,0,-0.00295266488576051,0,0,0
X600036.CH.EQUITY,0,0,0.021090221690153,0,0,0,0,0,0,0,0,0.411344444837843,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.126443798391761,0.0523347399657583,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0833242399998119,0.059642864826389,0.00130541562506508,0,0,0,0,0,0,0,0,0.264347201019873,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.09852649612587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998443896358728,0,0,0,0.0419307713851373,0,0.179236969856052,0,0,0.118133768477698,0,0.208422269975309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142167065698439,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.195604928060155,0,1.38777878078145e-17,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-6.93889390390723e-18,0,0,0,0,0,-0.210708509705614,0,0.11899297445885,1.1396008022027,0,-0.778865432586465,0,0,0.508102798200272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400620862266622,0,0,0,0,0,0,0,0.0126020650657158,0,-0.0856151811687501,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0907286854354006,0,0,0,0,0,0,0,0,0.0284472893102072,0,0,0.246279722069842,0,0.345023762991334,0,0,0.060238811597134,0,0,0,0,0,0,0,0,0,0,0,0.0125581825083746,0,0,0,0,0,0,0,0,0,0.0721548864173187,0,0,0
X601658.CH.Equity,0,0,-0.117801999500664,0.303668337899434,0,0,0,0.0989891949948768,0,0,0,0,0,0,0,-0.274350654311494,0,0,0,0,0,0,0,0,0,0,0,-0.0803970183145733,0.798832465782086,-0.0837586787027586,0,0,-0.0913407932300513,0,0,0,0,0,0.0534384366657776,0,0,-0.188086509841701,0,0,0,0.841549713124639,0.00424759963078607,0,0,-0.102563500603391,0,0,0,0.166665916661424
