,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601939.CH.EQUITY,0.14368466319107,0,0,0,0.117196403383241,0,0,0,0.328738653603505,0.343786995315199,0,0.265104335611012,0,0,0.0266360334646119,0.0120938293546114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0448067235763168,0,0,0,0,0,0,-0.0078044405444008,0,0,0,0,0,0,-0.0898348330037492,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0.181887266821511,0,0,0,0.229826383835962,0,0.330772459054912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711786570074222,0,0.00628203201888598,0,0.227890720808639,0,0,0,0,0,0,0,0,0,0,0,0,0.185615302000568,-0.0235974580023125,0,0,0.101010962693347,-0.0783319174741832
X601998.CH.EQUITY,0,0,0.0681347622125552,0.0402170368810005,0.447129797922734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158150409268453,0,0,0,0,0,0,0.063227170334873,0,0,-0.165120813683487,0,0,0,0,0,0,-0.0158132530140364,-0.0168073605801877,0,-0.0113897959764392
X601658.CH.Equity,0,0,0,0.0618071921822443,-1.73472347597681e-18,-0.0968543055753153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.498603555877511,0,0,0,0,0,0.447853525865283,0,0,0,0,0,-0.0820047792044293,0,0,0,0,0.148734115875452,0,0,0,0,0,0,0,0.159144455435029,0,0.0604573799982601,0,0,-0.74118970188026,0.00493356452063515
X11.HK.EQUITY,0,0,0,0,0,0.0443035670088803,0,0,-0.0373116171801239,0,0,0,0,0,-0.0410438937200133,0,0,0,0.667733724972979,0.0357573447944184,0,0,-0.0283019218728528,0,0,0,0,0,0.207863060583601,0.206763981468058,0,0,0,0,0,0,0,0,0,0,0,-0.119257704885285,2.77555756156289e-17,0,-6.93889390390723e-18,0,0,0,0,0.107614881746924,0,0.128934809679476,0
X2388.HK.EQUITY,0,-0.103304538109796,0,0,0,0,-0.0138351924507401,0,0,0.00472017591473503,0,0,0,0,0,-3.46944695195361e-18,0,0.208065413492047,0,0.219708024648348,0,0,0,0,0,0,0,0,0,-0.0881634217053362,0,0,0,0,0,0.2611101180343,0.016023490366659,0.0861754773778472,0,0,0,0,0.197170918884508,0,0.0894541196597619,0,0,0,0.065379802941035,0,0,0,0
X5.HK.EQUITY,0,0,0.112176282409068,0,0,0,0,0,0,0.227063960985872,0,0,0,0.0543211445703387,0.135756377628362,0,0,0.421716622808605,0.489205872194889,0,-0.192294777556313,0,0,0,0,0,0,0,0.0961058279763411,0,0,0,0,0,0,-0.403981173619106,0.111061744702025,0,0,0,0,0,0,0,0,0,0,0,-0.000887780882634914,0,0,0.00630032919005465,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0.0675669886498023,0,0,0,0,0.0541708984986268,0,0,0,-0.0770219192459334,0,0,0,0.422652795473741,0.244297304925882,0,0,0.0713342882518135,0.00565395959167472,0,0.116131279517636,0,0,0,0.213033982730387,0.0204672414168937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0.143020918882824,0,0,0,0,-0.0107073371626632,0,0,0,0,0,0,0,0,0,0,0,0.257736312213572,0,0,0.133465578334188,0.271092260218138,0,0,0,0,0,0,0,0,0,0,0,0,-0.0241497216926478,0.0793452323143046,0,0.0948174370039907,0,0,0.0268659659307839,0,0,0,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0.0608438281716206,0,0,0,0,0,0,0,0,0,0,0,0.201168925136892,0,0,0.186547904959179,0.356666770174303,0,0.112378081326777,0,0.0522675177587084,0,0,0,0.186261274080514,0,0,0,-0.165480995939996,-0.153176356843948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238072124233692,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406197567098765,0,0,0,0.372045446856481,0,0,1.38777878078145e-17,0.109302450479924,0,0.178133532055164,0.0626897463830444,0,0.133506971060907,0,0.0473307676167135,0,0,0,0,0.0741840837426938,0,0,0,0,0,0,0,0,-0.063905211391994,0,0,0,0,0,0.0377788680234214
X600837.CH.EQUITY,0,-0.0524693946801484,0,0,0,0,0,0,0,0,0.0643884749044736,0,0,0,0,0,8.67361737988404e-19,0,0,-0.00587465923127708,0,0.350082705339757,0.300475189588472,0,0,0,0,0.45178854483357,0,-0.172735114868701,-0.0464660349078273,0,0,0,0,0,0,0,-0.0605116049180661,0.15552338494984,0,0,0,0.143734911542961,0,0,0,0,0,0,0,0,-0.0624746847090647
X600999.CH.EQUITY,0,-0.0556924273393025,0,0,0.202852562390163,0,-0.115646056901929,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281906343292279,0,0,0,0.0444519808169722,0,0,0.558761284869571,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244131953978713,0.109323467433554,0,0,0,0,-0.0752810261696554,0,-0.0351747402034532,0,0,0.185518815765563,0.0792219670229575
X601066.CH.EQUITY,0,0,0,0,0.151391494823791,-0.0165052713166807,0,0,0,0,0,0,0,0,0,-0.0966606011333944,-0.0612931894148176,0,0,0,0,0.431523890078216,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0310010642034514,0,0,0,0,0,0,0,0,0,0,-0.0866771844697536,0,0,0.123094947211809,0.054923942346364,-0.326709898229134,0,0.00682501313552587,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0.0462368938833067,0,0,0,0,0,0,0,0.0715488444809074,0,0,0,0,0,0,0.298653566396456,0.20378175951165,0.334564569029638,0,0,0.163696908000932,0,0,0,0,0,0.00605377492400606,0.0829623899265805,0,0,0,0,0,0,0,0.0670916187633792,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0.0433677483578665,0,0,0,0,0,0,0,0,0,-0.570377599118623,0,0,0,0.0624405767041012,0,0,0,0.461262756886514,0,0,0.07135795410788,0.396267573035218,0,-0.199135261856736,0,0,0,0,-0.192778454636686,0,0,0,0,0.249735259425507,0,0,0,0.0459296218449236,0,0,0,0,0,0,0,0,0.136440561514081
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.192793754205913,0,0,0,0.164615682667216,0,0,0,0.0431886710002027,0,0,0.035589833842192,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.200321058082019,0.0043269088545089,0,0,0,0,0,0,0.0535854259967771,0,0,0.259054692925349,0,0.0643453159696392,0,0,0,0.0122861920440067
X601318.CH.EQUITY,0.240361960981785,0.162782820952877,0,0,0,0,0.2609695456169,0.263141899074853,-0.283432868087242,0,0,0,0,0,0.00570726795282046,-0.148685298577951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319982061570659,0,0.12285138351724,0,0,0,-0.0329485017171001,0,0,0,0,0,0,0.267963395326702,0,0,0,0,0,0,0
X601319.CH.EQUITY,0.0924459462481226,-0.0994229577753571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199693597351111,0,0,0,0,0.0591701142669765,0,0,0,0,0,0.26731976021939,-0.0340223332687646,0,0,0,0,0.0475796142867034,0.283619760040012,0,0,0,0,-0.112223878507559,-0.053381501887042,0,0,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0.45377766686469,0,0,0,0,0,0,0,0,0.0956560517388043,0,0,0,0,-0.0938170378325167,0,0,0.0026275818055453,0,0.188134445665958,0,0,0,0,0,0,-0.0827124775236614,0,0.364736352080122,0,0,-0.160390187925145,0,0.114697850732731,0,0,0,0.0021262360911485,0,0,0,0,-0.0567842772686909,0,0,0,0,0,0.0325677401673876,0
X601601.CH.EQUITY,0,0,0,0,0,0,0.254773257030207,0,0.129842488994698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12850353491212,0,0,0,0,0,0,0,0.313120851847868,0,0,0,0,0,0,0.0466420537943533,0,0,0,0,0.0191666312089583,0.330088890370865,0.0443316458150227,0.0725697734104102,0,0.102157315505646,0
