,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.132846205434894,0.125364931230719,0,0.111627425571335,0.125525472515351,0,0,0,0,0,0,0,0,0,0,0.0726067539034003,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.143553476534586,0,0.0242894489330823,0.0689990061632937,0,4.33680868994202e-19,0.0433018525783614,0,0.0333776885579822,0,0,0,0,0,0,0.0184678051984772,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0.181209625432293,0.816334395253607,0,0,0,0,-0.116759577214668,0,0,0,0,0,0,0,0,0,0.26943694482543,-0.129650861075604,0,0,0,0,0,0.113329652579739,0,0,0,0,0.078891639382587,0,0,0,0,0,0,0,0,0,0.135606066748129,0,-0.097746001845271,0,0,-0.0394637770857898,-0.159307830094384,0,0,0,-0.0806910351552254,-0.014400702303186
X600000.CH.EQUITY,0,0,0,0,0.168470411171987,0,0,0,0.145196168126119,0,0,0,0.175903637264423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267759068978752,0,0,0,0,-0.0139324378504615,0,0,0,0,0,0,0.0789590385342731,0,0.695189475339786,0,-0.122463500160947,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.163299432903078,0,0,0,0.154553637770531,0,0,0.0358896642073544,0.141369322733952,0,0,0,8.67361737988404e-19,0,0,0,0.164826025529628,0,0,0,0.255116328782341,-0.180355986990087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114298469829973,0,0,0,0,0,0,0,0,0,0,0,0,0.00507265924673372,0
X600036.CH.EQUITY,0,0.141503587961941,0.116489695009791,0,0,0,0,0,0,2.16840434497101e-19,0,0,0.394227724812543,0,0,0,0,0.184100939964646,0.0216195137323371,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110854640580736,0,0,0,0.0092906497734872,0,0,0,0,0,0,0,0,0,0,0.0278496538099124,0,0,0,0.0186809364014659,0,0
X601166.CH.EQUITY,0,0,0.00664230280644053,0.0595744628481991,0.203597879904333,0,0.490963937349974,0,0,0,0,0.0281023292940692,0,0.146167870315636,0,0.0491622346806262,0,0,0,0,0,0,0,0,0,0,0.0112284807458989,0,0,0,0,0,0,0,0.0104702027338672,0,0,0,0,0,0,0,0,0.005330226870681,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,-0.027111576739422,-0.0248055850709979,0,0,0,0,0,0,0,0,0,0,0,0.805507421736975,0.0509613566341508,0,0,0,0,-0.035057483211682,0,0.0753446946592896,0,0.0213708770606564,0,0,-0.0100252192661269,0,0,0,0.0302987705455912,0,0,0,0,0,0,0,0,0.110718584573141,0,0,0,0,0,0,-0.0238376437590092,0,0,0,-0.0100371038163024,0,-0.037629405213228
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.990697642942372,0.0539017175121105,0,0,0,0,0,0,0.387658098228431,0,0,0,0,0,0,0,0,0,0,0.354280966130318,0,0,-0.127458766549913,0,0,0,-0.0515261645259254,0,-0.215336111337129,0,0,0,-0.401281548710895,0,0,0,0,-0.0188726496658334,0,0,0.0867430404788499,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0109760720226717,0.0384835499325802,0,0.879926828710784,0,0,0,0,0.0382160793175713,0,0,0,0,-0.0476832056754673,0,0,0,0,0,0,0,0,0,0,0.137685931589648,0,0,-0.0605466892809865,0,0,0.0274253618227759,-0.11650568256777,0,0,0,0,0,0,0,0,0,-0.0474033437034919,0,0
X601328.CH.EQUITY,0,0,0.0446487297322915,0.414630076367362,0.0459649886458174,0,0,0.25220454176994,0.0670082265972345,0,0,0,0,0.0211707091192405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00763172612637448,0,0,0,0,0,0,0,0,0,0,0
