,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.107314269763816,0,0.283867524913953,0,0,0,0.0869602156316706,0,0,0.0105011624869264,0,0,0,0,0,0,0,0,0,0.190869163635478,0,0,0,0.0423414865960722,0,0,0,0,0,0,0,0,0.182386780165493,0,0,0,0,0,0.074397691581108,0,0,0
X601998.CH.EQUITY,0,0,0.00627953524881186,0.600949161131282,0.021881193343395,0,0,0,0,0,0.15207034623517,0,0,0,0,0,0,0,0,0.00941346525951319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141374413747348,0,0,0,0,0,0,0,0,0,0,0,0,-0.00894477278159983
X601658.CH.Equity,0,0.0492741924822013,0,0.400173033535425,0.337512502647632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017903673317777,-0.142115560468334,0,0,0,0,0,0.225808030500957,0,0,0,0,-0.438028373496108,0,0,0,0,0,0,-0.113323612021317,0,0,0,0,0,0,0,0,0,0,0,-0.355045886593007,0.215152623362699
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559278820911195,0.0975306702736056,0,0,0,0,0,0,0,0,0,0.0865854482144624,0,0,0,0,-0.0576549392147423,0.0677299603981345,0,0,0,0,0,0,0,0,0,0.0680922021635312,0,0,0,0.0390112726659303,0,0,0
X2388.HK.EQUITY,0,0,0,0,0.0256196968197326,0,0,0,0,0.0611485349655857,0,0,0,0.144322451878056,0,0,0,0.341906628689962,0,0,0,0.043429720049253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099403201534125,0,0.0672480855531425,0.104394849365794,0.0221684655275129,0.0583527093437428,0,0,0,0,0
X5.HK.EQUITY,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.12926146321645,0,0,0,0,0,0.429067640564391,0,0,-0.0690960507705739,0,-0.122042905508197,0,0,0,0,0,0,0,0,0,0,0,0,-0.0400093315953642,0,0,0,0,0.483378745089846,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0881732803997172,0.151465648361755,0
X2886.TT.EQUITY,0,-0.338187246383344,0,0,0,0,0,0,-0.0842739103274829,0,0,0.270115604085495,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.259102814827231,0,0,0,-0.174925746677096,0,0,0,0,0,0,0,0,0,0,0.0500873685573135,0,0,-0.0291570200686013,0,0,0.216579022882444,0,0,0,0,0.240976492848915,0,0,0.0441066147315197,0,0
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453314898024782,0,0,0,0,0,0,0.43778866661053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0749846472466479,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720825589049208
X000166.CH.EQUITY,0,0,0.0586317850951465,0,0,0,0,0.119750717059958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041717803920301,0,0.108045746740624,0,0.0856647491372547,0.0404898429494199,0.410335568207667,0.0440632318912845,0,0,0.102097349453392,0,0.0212869802672697,0,0,0,0.0051651987136471,0,0,0,0.0180952596008884,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0.0327840590990111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235138507330669,0,0.0993576756230685,0,0,0.33573944282934,0.133201641800529,0,0,0,0.0474217624398797,0,0,0,0,0,0,0,0,0,0.0135253922914391,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,8.67361737988404e-19,0,0,0,0,0.0210935855516081,0,0,0,0,0,0,0,0.220230410526599,0.00874786152440885,0,0,0,0,0,0,0,0.250958011315185,0,0,0,0.079243778923567,0.0066083606461424,0.354324265998206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442798268048651,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,-0.0295562794161659,0,0,0,0,0,-0.0328062842423609,0,0,0,0.00367492181646501,0,0,0,0,0,0.31238573635933,0,0,0,0.168307669530604,0.541375131618529,0,0,0,0,0,0,0,0,0,0.0196484248482052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120461144326947
X601066.CH.EQUITY,0,0.0544510588274413,0,0,0,0.150727295908435,0,0,0,0,0,0,0,0,0,0,-0.123824650606612,0,0,0,0,0,0,0,0.54776343917692,0.276768588728208,0,0,0,0,0,0.0515461669343331,0,0,0.208596157697768,0,0,0,0.071729693978915,0,0,0,0,0,0,0,0,0,0,0,-0.230943824238342,0.0118205687056401,0
