,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.149260834185685,0,0,0.0821805289321522,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.115519478199773,0,-0.0289263376452976,0,0,-0.0229967636999549,0,0.0055242055140938,0,0,0,0,0,0.281299033763801,0,0,0,0.452394912163926,0,0,0,0,0,0,0,0,0.0691001957268505
X601628.CH.EQUITY,0.079352710093431,0,0,0,0,0,0,0.0644436935374331,-0.0213177228257004,0,0,0,0,0,-0.0647388871745083,0,0,0,0.124670142255416,0.0101269833401155,0,0,0,0,0,0,0.0422452556156752,0,0,0,0,0,0,0,0,0.28403609910256,0.142961797734148,0,0,0,0.0925232934465204,0.068142774936452,0.137382027416407,0,0,0,0,0,0,0,0,0.0698462085214477,0
X1299.HK.EQUITY,0,-0.0179999716844508,0.122462473497137,0,0,0,0,0,0.305480990481015,0,0,0,-0.172015805036721,0,0,0,0,0,0,0,0,-0.0395220388026167,0.258047860813552,-0.184396489109802,0.109101427440211,0,0.112956858832155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116044945246369,0,0.0971944513545478,0.0942997814263031,0,0.23944700254496
X2881.TT.EQUITY,0.0294097281304567,0,0,0,0,0,0,0,0,0.0135424553561025,0,0,0,0,0,0,0,0,0,-0.0404107301506721,0,-0.00338951501992037,0,0,-0.0895377562128296,0,0,0,0,0,0,0,0.28362943043218,0,0,-0.0919187619173705,0,0,0,0,0.186574303778585,0,0,0,0,0,0.580830579803591,0.0888886807205189,0,-0.0447805044265049,0,0,-0.00976197083333159
X2882.TT.EQUITY,0.0644945829544477,0,0,0,0,0,0,-0.0587798699556728,0,0,-0.0606096095253288,0,0,0,0,0,0,0,-0.0836378519950464,0,0,0,0.00109678001519655,0,0,0,0.0197962470148996,0,0.0048297769045418,0.0463697462365901,0,0,0.0884597047665232,0,0,0,0,0,0,0,0.0403968052441307,0,0,0,0,0.727081280205421,0,0,0,0.112596851924808,0,0,0
X2883.TT.EQUITY,0,0,0,0,0,0,0,-0.0352569145236354,0,0,0,0,0,0,0,0.0322620227222676,0,0,0,0,0,0,0,0,0,0,-0.00357460872901178,0,0.303307591836293,0,0,0,0,0,0,0,0,0,0.166293044214042,0,0,-0.0620109131097231,0,0,0,0.34308124236748,0,0,0.228422214681697,0,0,0,0
X2888.TT.EQUITY,0,0,0.085029393693607,0,0,0,0,0,0,0.00696737336977567,-0.0959804690141093,0,0,0.0225899754280275,0,0,0,0,0,0,0,0.0502668319130634,0,-0.053672720353256,0.0434306837052112,0,0,0.194242740534332,0.0377726380022031,0,0.0661978043883666,0,0,0,0,0,0.0393323813310191,0,0,0,0,0,0,0,0,0,0.306234569438134,0.316983974666235,0,0.0478981445851939,0,0.0124403575975502,-0.0148365151381611
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0860750826823414,0,0,0,0,0,0,0,-0.103625449667595,0,0,0,0,-0.00436002938279371,0,0.0691101503279097,0.414150241011095,0.034703550558431,0,0,0.197964798186397,0,-0.157875846459535,0,0.103488876492477,0,0,0,0,0,0,0,0,0,0,-0.0470053254769389,0,0,0,0.352205857000731,0,0,0.049067021842262,0
MKRturn,0,0.449277786533677,0,0.000549208516489973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303429756535883,0,0,-0.382357967332136,0,0.0698898144687394,0,0,0,0,0,0,0,0,0,0,0,0,0.276287775755915,0,0,0,0,0,0,0,0.298182154227867,0,0,0,0,0,-0.168943867037461,0
TED,-0.26515261257856,0,0,0,0,0,0.101757627604592,0,0,0,0,0,0,-0.109043074680541,0,0,0,-0.0807203186014752,0,0,0,0,-0.199351357731718,0,0,0,0.40235177767162,0,-0.369012021167035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02642701990736,0,0,-0.105291781204259,0,-0.0575743162284391
RealEstateDiff,0.192788922459405,0,0,0,0,3.46944695195361e-18,0,0.276085038442864,-0.0160894080011091,0,0,0,-0.230097574470671,0,0,-0.292931705525797,-0.199159220950505,0,0,0,0,0,0.018312769376071,0,0.308303158684034,0,0,0,0,0,0,0,0,0,0,0.105110162104401,0,0.365855387679268,0,0,0,0,0,0,0,-0.124790271375049,0,-0.12389375996806,0,0.0294133672871897,0.19144741259436,0,0
