,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X1109.HK.EQUITY,0,0,0,0.19163924574737,0,0,0,-0.166390499611932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214634190357176,0,0,0,0.0259816866029871,0,0,0.163531757876519,0,0,0,0.0478644295197131,0.0566176789174549,0,0,0.28765925279818,0.144607657279748,0,0,-0.0848341535948658,-0.028044740344232
X1113.HK.EQUITY,0,0,0,0.000390284513514883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281350149241515,-0.0348608276854125,0,0.0994772626185929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122134038164196,0.193240646316789,0,0,0,0,0.227588311434192,0,0.172942809086393,0,1.38777878078145e-17,0,-0.106239627732078,0.0759937679307789,-0.020512299394666
X12.HK.EQUITY,-1.73472347597681e-18,0,0,0,0,-0.111233148297007,0,0,0,0,0,0,0,0,0,0,0.249157718483262,0,0,0,-0.00975199087270183,0,-0.00175618641050639,0,0,0,0,0,0.0199440269748173,0,0,0,0,0,0,0,0,0,0,0.202017218596396,0,0,0,0,0,0.42113469627297,0,0,0,0.250307182092323,0,0,0
X16.HK.EQUITY,0,-0.0615369270853962,0,0,0.201519595055812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.078522185602195,0,0,0.348179432365388,0,0,0,0,0,0,0.0197140572288922,0.285007458843984,0,0.0485751280066151,0,0,0.139831385399565,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105380073782979,0,0.148071519802836,0,0,0.037047190887211,0,0,0,0,0,0,0,0,0,0.0181921689671043,0,0.119189803735359,0,0,0,0,0,0,0.566591309766736,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0.043278439891813,0,0,0,0,-0.0930352865565688,0,0,0,0,0,0,0,-0.00519145611565812,0,0,0,0,0.225887161742273,0,0,0,0,0,0,0.0557355285192621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566851812016338,0,0,0,0,0,0,0.00585419226096762,0.0787077110366308,-0.129765551231793,-0.0169921806151561
X688.HK.EQUITY,0,0,0.0924693092012557,0,0,0,0,0,0,0,0,0,0,0.268156675856065,0,0,0,0,0,0.121427517479753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053723683715301,0.0729055966853398,0,0,0,0,0.121730938686265,0,-1.38777878078145e-17,0.237654951577012,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,-0.265896904151712,0,0,0,0,0,-0.105720895180628,0,0,0,0.083163584175376,0,0,0,0,0,0,0.141774053856123,0,0,0,0,0.105978746493866,0.114838299516349,0,0,0,0,0.130753659399417,0,0.0509026810979768,0,0,0,0,0,0,0.649547004424272,0,0,-0.062872440553704,0,0.145506169424859,0,0
MKRturn,0.3428426728139,0,-0.440162684491501,0.235682214587952,0,0,0,0.225430107136017,0,-0.0990206743442487,-0.166038058977145,0,0,0,-0.341127815058933,0,0,-0.0548464659803783,0,0,0.278566947678321,0.328513082966187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451180548146057,-0.114074553058598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.177512868210114,0
TED,0,0,0,0,0,0,0,0,-0.634409999527984,0,0,0,0,0,0,0,-0.0168004038678995,0.0856199755580372,-0.756280348081827,0,0,0,0,0,0,0,0.0505576987136177,0.175021427441056,0,0,0,0,0,0.522375831055876,0,-0.0391823775842891,0,0,0,0,0,0.0227220241720348,0,0,-0.0443446747869906,0,0,0,0,0,0,0,0.3760430578159
RealEstateDiff,0,0,0,0,0,0,0,0,0,-0.15847519745978,0.130243742954043,0,0.281476544385842,0,0,0,0,0,0,0,0,0.0415062184332505,0,0,0,0,0.0107559265162602,0,0,0,0,0,0.292987367071769,0,-0.25506142204256,-0.0943516196891847,0,0,0,0,-0.00504988012060435,0,0,0,0,0,0,0,0,0,0,0.0939548388445844,0
