,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.0944253968080623,0,0,0.0839035400961782,0,0,0,0,0,0,0,0,0,0.120448961806641,0,0,0,0.0225691807967963,0,0,0,0,0,0,0.00208546484944759,0,0,0,0,0,0,0.274048347705974,0,3.46944695195361e-18,0.159968335391497,0,0,0,0,0,0,0.103400650405868,0,0,0,0,0,0,0,0.0629101080331263,0,0
X002142.CH.EQUITY,0,0,0,0,0.275763496484419,0,0,0.129807341655862,0,-0.172309891461517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142998751618597,0,0,0.293785992687064,0,0,0,0,0.224654780012671,0.0820730880345941,0,0,0,0,0,0.0536673905984905,0,0,0,-0.0265904106173746,0,0
X600000.CH.EQUITY,0,0,0,0.0942923891166128,0.0283555971802443,0.305868521059588,0.119574651650345,0,0.200712559834067,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0720185747654599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.0529430167981348,0,0,0,0.00263721269856923,0,0.357740565255128,0.0687351550289936,0,0,0,0.0939924745168442,0.133066541302594,0,0,0,0.0237370897328001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315502797277028,0,0,0,0,0,0,0.0575884887216821
X600036.CH.EQUITY,0,0.425242870364886,0,0,0,0.105498178352395,0,0,0,0,0,0,0.071662928473078,0,0,0,0,0.0161035330754236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141848044506957,0.0388753525096643,0.0810789799227193,0,0,0,0,0,0.0059527514073618,0,0.00103648177311226,0,0,0,0.0915914565139553,0,0,0
X601166.CH.EQUITY,0.0268602115408897,0.0638048847884326,0.296451813943288,0,0,0,0,0,0.130852673124189,0,0,0,0.162585768180971,0,0,0.0334225643095626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141778382364698,0,0,0.0232225780489203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.118820322797765,0.2994544499095,0.25564185178945,0,0,0,0,0,0,0,0,0.148081157935871,0,0.0669888991354846,0,0,0,0,0,0,0,0,0,0,0,0,0.0487693603748418,0.107196855575842,0,0,0,0,0,0,0,0,0,-0.207041361679085,0,0,0,0,-0.0178086442609882,0,0,-0.0392220196908238,0,0,0,-8.67361737988404e-19,1.73472347597681e-18,0
X601229.CH.EQUITY,0,0.0697522910058004,0,0,0,0,0,0,0,0,0,0,0,0,0.125393943233786,0,0,0,-0.0347901000428563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152936291209529,0,0,0.136840849448928,0,-0.0118809661831866,0,0,0,-4.33680868994202e-19,-0.0128066266708432,0,0,0,-0.238752023270042,0,0.316392024687133,0.0738346153251847,-0.117467292768934,0.0389141502456023
X601288.CH.EQUITY,0,0,0,0.21171558621262,0,0,0,-0.0537429757680408,0,0.204116826872561,0,0,0.39427066407048,0.226139989881046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00941533626099364,0,-0.0917912424777902,0,0,0,0,0,0,0.0561357917165467,0,-0.0553622994998889,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0542106536422116,0,0,0,0.137852790213658,0.0595518155447522,0.284535895439222,0,0.194789590071873,0,-4.33680868994202e-19,0,0.079373804491073,0,0,0,0,0,0,0,0,0.00588719266950334,0,0,0.142026031555672,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,0,0.054915991813754,0,0.0782063086871532,0,0,0,0,0,0,0,0,0,-0.0366132314927104,0.073827556213388
