,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601166.CH.EQUITY,0,0,0,0.0409588340390437,0,0.0607117563361712,0.17747313114596,0,0,0,0,0,0,0,0,0.0401557586214244,0,0.0242740487812469,0,0,0,0.070729477331996,0.0550904303374787,0.210846794109411,0,0,0.0201173635847101,0,0,0,0,0,0,0,0,0,0,0.114764104416584,0,0,0,0,0,0,0,0,0,0,0.291815856589507,0,0
X000002.CH.EQUITY,0,0,0.0601507071919189,0.0995486576768459,-0.21171947356078,0,0,0,0.28099816318504,0,0,0,0.305767250061953,0.13157371707052,0,0.0453128469205326,0,0,0,0,0,0,0.0797938271913687,0,0,0,0,0,0,-0.244689809138624,0,0,0,0,0,0.125210699010459,0,0,0,0,0,0,0,0,0,0.050324696470866,0,6.93889390390723e-18,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0.593611406220083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239334047629565,0,0,0,0,0,0.0872178359487503,0,0,0,0,-0.141782811606554,0,0,0,0.0641820856374228,0,0,0,0.143639440680543,0,-0.0261930149568264,0.0453625661362511,0,0,0,0,0,0,0,0,-0.189211735993749
X601328.CH.EQUITY,0.106811557616437,0,0,0.140102532958995,0,0,0,0,0,0,0,0.0546683329836562,0,0,0,0,0,0.0837936644878633,0,0,0,0.389542848066548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025578942689188,0,0,0,0,0,0.0795239706927862,0,0,0,0.00560160069772844,0,0
X600000.CH.EQUITY,0,0,0.139401121195526,0,0,0.384035513692339,0,0,0,-0.0670388778252247,0,0,0,0,0,0,0,0,0,0,0.0295777115145527,0,-0.0178192907891503,0,0,0,0,0.104363433859915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644401996585595,0,0,0,0,0,0,0,0.203722384358233,0
X601601.CH.EQUITY,0,0.297024321965439,0,0,0.302136975688994,0,0,-0.0419951542517708,0,0,0,0,0,0.189403435496801,0,0,0,0,0,0.136575579231693,0,0,0,0,0,0.0541891621477346,0,0,0,0,-0.048611698861702,0,0,0,0.137958708060838,0,0.0203260484252897,0,0,0,0,0.000877622266268266,0,0,0.0327521001537225,0,0,0,0,0,-0.108887973710962
X601319.CH.EQUITY,0,0,0,0.177538674782715,0,0,0,0,0,0,0,0,0,0,0.152465125161196,0.106833396750678,0,0,0,0,0,0,-0.0449262308434423,0,-1.73472347597681e-18,0,0.100453525900442,0,0,0,-0.0111882708803586,0,0,0,0.0917557371984163,0,0,0,0,0,0,0,-0.0736911602297768,0,0.0734253766165305,0,0.227998096201865,0,0,0,-0.122327627351963
X16.HK.EQUITY,0,0,0,0,-0.0298521617377919,0,0,0,-0.034635189431325,0,0,0,0,0,0,0,0,0,0,0,0,-0.116957937986983,0,0,0,0,0,0,0,0.266373138521163,0,0,0,0,0,0,0.256075773675539,0,-0.0519090658245602,0,0.0540325501321363,0.0716206463711548,0.289242715920854,0,0,0.206246676625639,-0.1062942669673,0,0,0,8.67361737988404e-19
X600016.CH.EQUITY,0,0,0.0583077935153547,0,0,0,0,0,0,0,0,0,0,0.0657138353380947,0,0,0.0901513793745834,0,0,0,0,0,0,0,0,0.23982513126914,0,0.0718156628376621,0,0,0,0,0,0.0799847818173035,0,0,0,0,0,0,0,0,0,-0.0419166514098218,0.0350085165460284,0.0442943951684935,0.164319424669709,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0.330624737549883,0,0.0385381830024491,0.167190789848098,-0.0666920750640195,0.191109064119924,0,0,0.058352981122316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121502449980758,0,0,0,0,0,0,0.0744290793722481,0,0,0.0226650138307394,0,0,0.131051431435015,0,-0.0934935558230409,0,0,0,0,-0.0187013994689116,0
