,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601166.CH.EQUITY,0.187489082645194,0,0,0.259758725609582,0,0.00851986636744505,0,0,0,0,0,0.302105361472597,0,0,0,0,0,0,0.0931968946152262,0,0,0,0,0,0,0,0.0028545645082912,0,0,0,0,0,0.0588052104132981,0,0,0,0,0,-0.0180245762864984,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.181176690990455,0.599838471532239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274770255550255,0,0,0,0,0,0,0,-0.0267025260317995,0,-0.272846596543861,0,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0213003544308128,0,0,0,0,0,0,0,0,-0.249293034842881,0,0.0345438303326685,0,0,0,0,0,0,0.0138296668257448,0,0,0,0,-0.0357886141264303,0,0,0.293752431778654,0,0,0,0,0,0,0.416812986997391,0,-0.0521532575686551,0.125526987954102,0,0,-0.042928211848956,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244498333054319,0.0952522909819215,0,0,0,0,0,0,0,0,0.191436461638401,0,0,0,0,0,0,0.232745622266808,0.316755410807334,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.182602659936081,0.132680628374773,0,0,-2.77555756156289e-17,0,0
X11.HK.EQUITY,0,0,0.213117744202594,0,0,0.087959513833273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218177752869101,0,0,0,0,0,0,0.473407666264851,0,0,0,0,0,0,-0.0579414306620131,0,0.00364093851213785,0,0.251556260327933,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0160817477617828,0,0,-0.065982690662211,0,0,0,-0.0727693125958986,0,0,0,0,0,0,0,0,0,0,0,0,0.0367762508449858,0,0.180535438672485,0.20839505926038,0,0,-0.0904141937750296,0,0.519782518279525,0,0,0,0,0,0,0,0,0.387302151444913,0,-0.153057275173396,0
X601601.CH.EQUITY,0,0,0,0,0,0,0.142931675205695,0,0.24183195973723,0,0,0,0,0,0,0.0236513399734521,0,0,0,0,-0.113706468945138,0,0,0,0,0.219081449761633,0,0,0,4.90495737787662e-05,0,0,0,0.0705773719662403,0,0,0,0,0,0.0968306983917168,0,0,0,0,0,0,0,0,0.0130125077906553,0
X388.HK.EQUITY,0,0.0379865758095744,0,0,0,0,0,0,0,0,0,0,0,0,0.090480248543381,0,0,0,0.632176004304105,0,0,0,0,0,0,0,0,0.0983919868645461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0.25760135000524,0,-0.224006132591575,0.0242383973592277,-0.376241234609381,0,0,0,0,0,0,-0.386076381906559,0,0,0,0,0.681846658685398,0,0.272541394691872,-0.0466839165888424,0,0,0,0,0,0,0,0,0,0,-0.224520674201822,0.16722337524635,-0.325620044003958,0,0,0,0,-0.000536726826908682,0.225729313059645,0,0,0,0,-0.0996366713110527,0,0,0,0,0
X688.HK.EQUITY,0,0.0194021386773138,0,0,0,0,0,0.149399130904766,0,-0.0209474114850004,0,0,0,0,0.0426009725495555,0,0,0,0,0,0.0640387772299208,0,0.131463367481326,0,0,0,0.220781408874128,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0614827149241151,0,0,0,0.309473147096161,-0.0743582107212797,0,0,-0.144147752006871,-0.230606568349389,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0548137321679613,0,0,0,0,0,0.00604691728424618,0,0.187996216381251,0,0,0,0.217615067106625,0.0539161826042158,0,-0.13972927243437,0,0,0,0,0,0,0,0,0,0.161612432115971,0,0,0,0.0794830096421263,-0.365867772994576,0.0765131314122774,0,0,0,0,-0.24493492737815,0.00581434230739743,0,0,0
X600030.CH.EQUITY,0.0308207184175657,0,0.0171474294981289,0,0,0,0,0,0.0396717364373657,0,0,0,0,0.0310927968163108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291674990894503,0,0,0,0.223772203040633,0,0.32095244249086,0,0,0,0,0,0,0.0443194258551398,0,0,0,0.0333747100843578,0,0
X601998.CH.EQUITY,0,0,0.00942652978505376,0.0182183316372526,0,0,0,0,0,0,0.0569095962120357,0,0,0,0,0.171361386513126,-8.67361737988404e-19,0,0,0.1374465977268,0.252201011929862,0.153139808021903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288190410182833,0,0,0.0695163628500255,0.124469349772995,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0.090102998607445,0,0,0,0,0,0.157521474960161,0,0,0,0,0,0,0,0,0.0131121734113561,0,0,0,0,0.104367220826586,0,0,0.425839360519763,0,0,0,0,0,0.0852394276873395,0,0,0,0,0.0241046147452509,0,0,0,0,0,0,0,0,0.0244231441828595,-0.0524152837446813
X000001.CH.EQUITY,0,0,0,0,0,0.108164575244835,0,0,0.165865952525835,0,0.120052010343948,0,0,0,0,0,0.0707982243751219,0.00333015472800813,0.00491190758831203,0,0,0.0128418083286504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174262382438746,0,0,0,0.149477231846314,0,0.100243649364766,0,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0628465098899207,0,0.0674307646756813,0.0678811344596896,0,0,0,0.0514059089354988,0,0,0,0,0,0,0,0.228142355612637,0.182644776984088,0,0,0,0,0.279842227612916,0,0,0,0,0,0,0,0.0531798295444296,0,0,0,-0.119305821298661,0,0,0,0,0
