,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.166682419810679,0,0.371580607778332,0,0.144278075800131,0,0,0,0,0,0,0,0,0,0,0.0127548981717635,0.3179710499187,0,0,-0.125409326849109,0,0,0,0,0,0.0306539143647866,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151326106446703,0,0,2.16840434497101e-19,0,0,0,0.115744295655022,0.0228777265064696,0.00804471547683422
X601318.CH.EQUITY,0,0,0,6.93889390390723e-18,0,0,0,0,0.148008339077336,0,0,0,0.0318828951351893,0,0,0,0.00136264010823477,0,0.147742831627243,0,0.0995453017075462,0,0.0368394354962977,0,0,0,0,0,0.107600479339101,0,0.054230580121256,0,0,0.0235430895952163,0.155492736363818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.26486518531617,0,0,0,0.138080642146014,0,0,0,0,-0.0363705937071232,0.105521100528647,0,0,0,0.0653237218301185,0,0,0,0,0.0977118745651713,0,0,0,0.269521420811669,0.220903985177854,0,0,0,0.00376903467838144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.199313419803174,0,0,0,0,0,0.136722222425058,0,0,0,0,0.196486084289362,0,0,0,0,0.0375207252185304,0,0,0,0,0,0,0,0.0549117955176167,0,0.259766487136667,0,0.0305311561922437,0,0,0,0,0,0,0,0,0,0,0.0117441334697882,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.220890193115572,0,0.0375541885600347,0,0,0.0119087355439492,-0.110902289750405,0.319533091528731,0,0,0.0614239905378794,0,0,0,-0.0253187080030997,0.0820177374253299,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190619395542576,0,0,0,0,0,-0.114111552746355
X601628.CH.EQUITY,0.079839489600056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150466625984078,-0.0183586956343091,0,0,0,0,0.141267922925951,0,0,0,-0.0401564806642979,-0.108863630262254,0,0,0,0,0.18266860846765,0,0,0.0512391544465671,0.55248041215172,0,0,0,-0.039860562562297,0.0897003565890606,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.0348088316346374,0,0,0,0,-0.0814967744665887,0,0.0969014495046832,0,0,0,0,0,0.00632107509040035,0,0,0,0,0,0,0,0,0,0,0.022357190946961,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0727351930099143,0,0.2946193767661,0.265885044709606,0,0.176309473046827,0,0,0,0,0,0.28844349130638,0.0875293727899152
X601988.CH.EQUITY,0,0,0.086214622012395,0.168668782546357,0.148372131251932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327563014506056,0.0268269189015245,0,0,0,0,0,0,0.261279155364518,0.11943491810206,0.165748111123349,0,0,0,-0.0462801133171151,0,0.0073572538446144,0,0,0,-0.0858410900533212,0,0,0,0,0,0.0469937790228401,0,0,0,0,-8.67361737988404e-19,0
X5.HK.EQUITY,0,0.0303998440393969,0,0,0,0,0,0.177675870168119,0,0,0,0,0,-0.203098814644031,0.0433217979243065,0,-0.043534406842837,0,0,0,0,0.0454841072462906,0.218689248549378,0,0.0598440973139482,0,0.350917146972143,0,0,0,0,0,0,0,0.0498982474168282,0,0,0,0.207734717474955,-0.0452987010869205,0,0.375033626117044,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,-0.187414406266567,0,0,0,0.193308087271024,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.395638037146077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262998148920921,0,0.0681695425909233,0,0,0,0.142028105326218,0,0,0,0.0323460783869798,-0.039924262346258
