,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.391779765256815,0.0431461631206144,0.0249806331243174,0,0,0,0,0,0,0.215474868174367,0,0,0,0,0,0,0,0,0,0,0.0607429829170552,0,0,0,0,0,0,0,0.0757981203040667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169326607834521,0.0413432185916948,0,0,0,-0.160096402751053
X601939.CH.EQUITY,0.492004195993781,0,0,0.130228378302458,0,0,-0.12497078808626,0,-0.041349542104106,0,0,0,0,0.341472200777109,-0.0318878654527643,0,0,0,0,0,0,-0.0745080471533152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139010439285761,0,0,0.020109558783401
X601318.CH.EQUITY,0,0,0,0,0.222440519543373,0,0,0,0,0,0,0,0,0,0.0400735707717957,0,0,0,0,0,0,0.19051265813898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252185229962493,0,0,0,0,0,0.205511854567414,0,0.00553478969639451,0,0,0,0,0.0812477112586102,0
X601288.CH.EQUITY,0.372241026255859,0,0,0,0.215055932315134,0,0,0,0,0,0,0,0,0.145781713491024,0,0,0,0,0,0.091418456926463,0.0313029979202485,0,0,0,0,0,0,0,0,0,0,0,0,0.0830672756896163,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.00467423060322605,0
X601988.CH.EQUITY,0,1.38777878078145e-17,0,0.50045109137859,0,0,0,0,0,0.216720686483069,0,0,0,0,0,0.32717626927508,0,0.0761022383318467,0,0,0.0173795665666732,0,0,0,0,0,0,0.0215088750565815,0,0,0,0,0,0,0,0,0,-0.565603815239674,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.278306881739022,0,0,0,0,0,0.0920471572914921,0,3.46944695195361e-18,0,0,0,0.0101091002918832,0,0,0,0,0,0.186830516613042,0.0433598833036156,0,0.0906640809771807,0,0,0,0.0161002123754638,0,0,0,0,0.172107556949031,0,0,0,0,0.105900461068455,0,0.0157206530069896,0,0
X1299.HK.EQUITY,0.0879308929250759,0,0,0,0,0,0,0,0.186131729875901,0,0,0,0,0.0940045880689093,0,0,0.0569098026773941,0,0,0,0,0,0.0112349699014833,0,0,0,0,0,0.250940065468071,0,0,0.101228366541032,0,0,0,0.04872104437635,0,0,0,0,0,0,0,0.0253882752778607,0,0,0.0642969047415452,0,0,0,0
X5.HK.EQUITY,0,-0.0176597318099634,0,-0.159638535779095,0,0,0,0,0,0,0,0,0,0,-0.0589031577366567,0,-0.103783483105232,0,0,0,0,0,-0.43461024175863,0.927117461555593,0,0,0.561132755773979,0,0,0,0,0,0,0,0,0,0,0,0.428883978376288,0,0,0,0,-0.132132783064335,0,0,0,0,0,0,-0.0816375925288091
X601628.CH.EQUITY,0.10992459424896,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.152345617211566,0,0,0,-8.67361737988404e-19,0,0,0.00534418728821045,0,0,0,0.225719372059851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218103157085844,0,0,0,0,0.0505023607075676,0.0541327431544488,0,-0.0627630761333834
X601658.CH.Equity,0,0,0,0.177040666926356,0.0576407162981267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111047762833264,0.28203014167391,0,0,0,0,0,0,0,0,0,0.060166405216589,0,0,0,0,0,0,0,0,0.336638477224875,0,0,0
