,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,-0.0565052086870532,0,0,0,0,-0.00666406014669884,0.247451017344773,0,0,0,0,0,0,0,0,0,0,-0.210222957261541,0,0,0,0,0,0,0,0,0,0,-0.303335619858931,0,0.00188350361485489,0,-1.73472347597681e-18,0.780568417487632,-0.199122970388766,0,0.270540977374923,-0.0967746092347816,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.195546458058102,0,0,0.0308966513968228,0,0,0,0,0,0.00257654828534919,0,0,-0.062729330690539,0,0,0,0.0638672256180938,0,0.137154500453922,0,0,0,0,0.0981407384507158,0,0,0,0,0,0,0,0.000920371601161676,0.567280467721912,0,-0.062785119278291,0.00123169973733942,0,0,0,0,0,-0.0386388683651787,0,0
X601939.CH.EQUITY,0.368380147847839,-0.242274449168546,0,0,0.0605462181367245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991248331211611,0,0,0,0,0.22494654315243,0,0.0547560790878944,0,-0.0209034664580346,0,-0.244891588370075,-0.0199497211014216,0,0.602786520699518,0,0,0,0,0,0,0.166748560954364,0,0,0,0,0
X601288.CH.EQUITY,0,6.93889390390723e-18,0,0,0,0.358164012455855,0,0,0.246676455113199,0.0300791231531512,0,0,0,0,0,0,0,0.0639116347815768,0,0,0,0,0,0,0,0,0,0.197557624432241,0,0,0,0,0,0,-0.0314296881372957,0,0,0,0,0,0,0.0910303417694731,0,0,0.0783783958053011,0,0,0,0,2.16840434497101e-19
X5.HK.EQUITY,-0.217311298460122,0,0,0,0,0,0,0.0296382692924139,0,0,0.0201269714749862,0,0,0,0.0157982999097546,0.22573074899064,-0.0335094540665076,0,0.0688903373290332,0,0.220927201044186,0,0,0.507864291935874,0,0,0,0,0,-0.23396848666513,0,0,0,0,-0.0274935119872834,0,0,0,0,0,-0.0697564032335683,0.214973099723057,0,0,0,-0.149471120600261,0,-0.0878820582940629,0,0
X601988.CH.EQUITY,0.0525820972555723,0,0.0749839744367755,0.711304963403545,0,0,0,0,0,0,0.105487647739546,0,0.0650672316490898,0,0.111300230634231,-0.162261207453044,0,0,0,0,0,0.0217919983727124,0,0,-0.0101747341315761,0,0.101045402297391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304064467308872,0,0,0,0
X600036.CH.EQUITY,0,0.543895313936566,0,0,-0.0219061419510527,0,0,0,-0.201479487038559,0.614465779162957,0,0,0,0,0,-0.0939518698212457,0,0,0.107769752311754,0,0,0,-0.0534721148625265,0,-0.0449848874371001,0.154239004353845,0,0.0509732150121942,0,0.222935081989102,0,0,0,0,-0.159343969908931,0,0,0,6.93889390390723e-18,0,0,0.187604278867123,0.0778882508908365,0,0,0,0,0,-0.0857200109227224,0
X1299.HK.EQUITY,0,0,0.0190965324985873,0,0.18204434634122,0,0,0,0,0,0,-0.0485547999497097,0,0,0,0,0.172470895487734,0,0.0125771547190819,0,0,0,0.0373196341526566,0,0,0.259467606815937,0,0,0,0,0.187405536249193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347573062840915,0,0,0,0
X601628.CH.EQUITY,0,0.114005257121916,0,0,0,0,0,0,0,0,0,0,0.0303097708021791,0.244587340679367,0,0,0,0,0,0,0,0,0.124836601162431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117740089427138,0,0.196415841742155,0,0,0,0,0,0,0,0,0,0.00615827736965301,0
X601328.CH.EQUITY,0,0.108782319414965,0,0.291766882773774,0,0,0.392384382445197,0,0,0,0,0,0,0,0,0,0,0.241952431787509,0.0101488943076806,0,0,0,0,0,0,0,0.0886769168031028,0,0,0,0,0,0,-0.170018197279712,0,0,0,0,0,0,0,0,0,0.0271366894614257,0,0,0,0,0,0
