,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.0657998620171968,0,2.77555756156289e-17,0,0,0,0,-0.143791542256326,0,0,0,0,0,0,0,0,0,-0.145441583383049,0.646333699280281,0,0.76275095795597,0,0.0410220026306886,0,-0.107889530166884,0,0,-0.150222084695858,0,0.00697834868803354,0,0,0,-0.0167260878756256,0,-0.303801206959604,0,-0.0834520719700818,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0.224913864964039,0.108972131405875,0,0,0.000476733216511727,0,0,0,0,0,0,0,0,0,0.262900280897258,0,0,0,0,0,0,0,0,0.127343179767172,0.0368723169312158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.817476487472174,0,0,0.0385145293164784,0,0,0,0,0,0.0292528250447756,0.0547521750826707,0,0,0.0462095698662679,0,0,3.46944695195361e-18,0,0,0.00140709750790528,0,0,0,0,0,0.00586507945173797,0,0,0,0.0158870125667609,0,0,0.0332589303447096,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,-8.67361737988404e-19,0,0
X601288.CH.EQUITY,0,0,0.880172634644475,0,0,0,-0.0683003924309833,0,0,0,0,0,0,0.0405467941795376,0.0152802974740468,0,0.0325969387541239,0.125611104270483,0,0,0,0,0,0,0,-0.119631011772795,0.0305896936628396,0,0,0,0,0.00539419484248173,0,0,0,0,-0.0992573370601763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.682703602050507,0,0,0,0,0,0,-0.113411227966785,0,-0.044608529966032,0,0,0,0,0.19071118272465,0,-0.238749216824051,0,0,0,0,0,0,0,-0.174159720660464,-0.164524294816812,0,0,0,0,0,0,0.198848458534625,0,0,0,0.111284137054338,0.451259754755048,0
X600036.CH.EQUITY,0,0,0.383881549656841,0,0,0,0,0,0.0768450757866671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371898871117607,0,0,0,0.435054013983875,0,0,0,0,0,0,0,0,-0.0314989183527496,0,0,0.078589745868328,0,0.097637573042387,0,0,0,0
X601628.CH.EQUITY,0,0.15586278778437,0,0,0,0,0,0.0389019540942202,0,-0.129580194613621,0.00159046767966754,0.74069441074933,0,0,0,0,0,0,0,0,0,0,0.0940290691755497,0,0,0,0,0,0.0401578540932094,0,-0.154211567074677,0,1.38777878078145e-17,0,0,0.152394123473469,0,0,-0.0441340373265771,0,0,0.150677434465761,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.317674232914799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184127004100565,0,0,0,0,0.0767627844079512,0,0.227025157706131,0,0,0.105782187436084,0,0,0,0,0,0,0,0,0,0,0,0,0.487614413346403,0,0,0,-0.125428552783818
X5.HK.EQUITY,0,0,0,0,0,0,-0.174015899538417,0,0,0,0.0447738084920108,0,0,0,0,0,0.277531141012969,0,0,0,0,0.252653041189603,0,0,0.527699947254671,0.0688778281448307,0,0,0.0511570830461762,0,0,0,0,0,0,0,0,0,0,-0.213168055484763,0,-0.0452617891258386,0,0,0.0522198824628858,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.226406033226444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257354749131822,0.111810407920631,-3.46944695195361e-18,-0.174278743925386,0,0,0,0,-0.127483966574764,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.411207036791464,0,0,0,0,0,0,0,0
