,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X17.HK.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.258477720456979,0,0,0,0,0,0,0.145324794463266,0.0404727969729185,0,0,0,-0.198328672314813,0,0,0,0,0.352510199309192,0,0,0,0,0,0,0.20576357821218,0,0.0554847593718384,0,0.0989819566275623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.076025245613253,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0260389500244494,0,0,0.243247806580376,0,0,0.267185939394797,0,0,0,0.0985849112379385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108924424442622,0,0,0,0,0,0,-0.254695234573115,0.0954705859212846,0,0,0.177915998496524,0,0,0,0,0.101708075312161,0,0
X601939.CH.EQUITY,0.439502025806836,0,0,0,0,0.190454578183634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056960903718912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36053796418256,0,-0.153161630225243,0,0.0862872986115339,0,0,-0.0110096862228605,0,0,0,0
X601288.CH.EQUITY,0.508081074804657,0.0158547041040237,0.133662006197983,0,0.122291695408258,0.0656786520778019,0,0,0.03450723082204,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0752112195333623,0,0,0,0,0,0,0.0533770348890082,0,0,0,0.0780135083662797,0.185448567709698,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.116177150307815,0.188298688644497,0.139974821759427,0,0,0,-0.155943956276299,0,0,0,0.229107439956,0,0,0,0,0,0.590339168499,0,0,-0.0643173039869441,0,0,0.141062207002745,0,0,-0.166682762014301,0,0,0,0,0,0,0,0,0.0231322036249408,0,0,0,0,0,0,0,0,0,0.145587519360981,0,0,0.118124825042654,0
X601988.CH.EQUITY,0.0992634361643522,-8.67361737988404e-19,0.111944841946104,0.187906202533999,0.0249037438013997,0,0,-0.0153944959002574,0.160977694399205,0.0798543062394345,0.211075731488967,0,-0.401187380902565,0,0,0,0,0,0,0,0,0,0.108552191580899,0,0,0,0.0965902369940943,0,0,0,0,0.00261847443603373,0,0,0.036571720323353,0,0,0,0,0,0,0,0,0,0.0526518313007096,0,0,0,0,0
X600036.CH.EQUITY,0,0.372163143076225,0,0,0,0,0,0.034327207044983,-0.0112398910361305,0,0,0,0,0.288333718068793,0,-3.46944695195361e-18,0.0201779869655023,0,0,0,0,0,0,0.176251079845671,0,0,0,0,0,0,0,0.0927032601787338,0,-0.0399122573211997,0.000544414852262531,0,0,0,0,0,0.164788337113914,0,0,0,0,0,0.0163948660749154,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.161045733023804,0,0,-1.73472347597681e-18,0,-0.0488540248577646,0,-0.0494398178677093,0,0,0.274047644087428,0.273016870670787,0,0,0.143442440297359,0,0,0,0,0,0.0955166560884744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710634181499771,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.141717149362722,0.351981568329905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145538348431377,0,0,0,0,0,0,0.0788335206277784,0,0,0,0,0,-0.386994903688194,0.0430684727999744,0,0,0,0,0,0,0,0,0,0,0,0.333248861090693,0,-0.0234757040877817,0.160415273089591,0
X601166.CH.EQUITY,0.117395278010886,0,0,0,0,0.0437511592269946,0.499670100186778,0,0,0,0,0,0,0.0393398528429537,0,0.246709701499509,0,0,0,0,0,0,0,0,0,0,0,0.0835485788362528,0,0,0,0.0441059538412919,0,0.109042358942171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
