,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.182875862315486,0.23995185503931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430023914894097,0,0.0740862624310139,-0.41652787117762,0,0,0,0,0.685900646745338,0.133342376867457,0,-0.2105271162103,-0.0233469309797846,0,0.168811023966255,-0.0353080828832048,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.141722438518176,0,0.0028222857874295,0.0253064059606567,0,0,0,0.0755441311166148,0.0394652397063287,0,0,0.169196976236332,0,0,0,0,0.0223364135502776,0,0,0,0,0,0.0940350108353243,0,0,0,0,0,0,0,0,0,0,0.489722748812884,0,-0.0720911756080709,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.230515052468941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125056829799223,0,0,0,0,0,0,0,0,0.0470439205944895,0,0,-0.00548329402069656,0,0.374465986247272,0,0,0,0,-0.0182109583320648,0,0.0732243636301591,0,0,0,0,0.0438353647740934,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.241225610080787,0,0,0.116608830797915,0.0312478024602959,0,0,0.0953145732319687,0,0,0,0,0,0,0.137991665432514,0,0,-0.0342791815014412,0,0,0,0,0.0767573158396376,0,0,0,0,0,-0.127741260627636,0,0.0498025032385311,0,0,0,0.0530012333159744,0,0,0.0592909095610788,0.145384931193119,0,0,0,0,0.143440859401967,0
X5.HK.EQUITY,-0.187029489935066,-0.0909509779523592,0,0.103499281106138,0,0,0,0,0,0,0,0,0,0,0.2503291244264,0,0.335247453108388,0,0,0,0,0.163458448882975,0,0,0.292713344827755,-0.0418515906494273,0,0,-0.18421225716416,0,0,0,0,-0.170344268503371,0,0,0,0,0,0,0.23081271817686,-0.181401415314371,0.0257452355434728,0,0,-0.00845338429744663,0,0,-0.1170047320574,-0.0359982826157354
X601988.CH.EQUITY,0.196690669559744,0,0.0137944576236393,0.619042936233245,0,0,0,0,0,0,0.11253158358281,0,0.129488429887401,0,-0.140379814610479,0.0168520412230133,0.117618648681547,0,0,0,0.0298315361377033,0.0353443507814992,0,0,0,-0.0401226168497352,0,0,0.0165854290882793,0.0165008255597285,0,0,0,0,0,0,0,0.0280340279623629,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.719206241117014,0.0433479741589715,0,0,0,0,0,-0.173277310476776,0,0,0,-0.0980168008452586,0,0,0,0,0,0.121908410616957,0,0,0,0,0,0,0.0194213903146642,0,0,0.0469823506789968,0,0.0888943152254638,0,0,0,0,0,0,0,0,0,0.251485938239785,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0506865713673695,0,0,0,0,0,0.162365018965139,-0.0479105425377158,0.0857193214575185,0.189434938582913,0,0,0.125707878248249,0,0,0.224479300513249,0,0,0,0,0,0,0,0,0,0,0,0,-0.0300771973401213,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.104736473891103,0,0.125746924915733,1.73472347597681e-18,0,0,0,0,0,0,0,0.00647584509172452,0.28324040170636,0,0,0,0.0217325852211559,0,0,0,0,0.125796416216582,0,0,0,0,0,-0.00790873963546749,0,0,0,0,0,0,0,0,0.17443023167494,0,0.0568900936605935,0,0,0,0,0,0,0,0.0368669355455336,0,0
X601328.CH.EQUITY,0,0,0.0356214877516055,0.3418790875462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162092211497741,0.171722352550754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
