,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.0567153025675759,0,0.138737212710402,0.176390034222559,0,0.351766487354496,0,0,0,0,0.000598494574813645,0.131825654659017,0,0,0,0,0,0,0,0,0,0.0118800840906388,0,0,0,0,0.104030344526978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0
X601318.CH.EQUITY,0.209359393412174,0,0,0,0,0,0,0,0.217046705700316,0,0,0,-3.46944695195361e-18,0,0.0746853673426145,0.14422512551405,0,0,0,0.213000398491982,0,0,0,0,0,0,0,0,0,0.0778555590281011,-0.0608366633337582,0,0,0,0,0,0.0682630628084832,0,0,0,0,0,0,0,0,0,0,0.0720878018587572,0,0,0
X601939.CH.EQUITY,0.263709906353183,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0.42569182076458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191835289257528,0,0.106013515346579,0,0.00655333435124985,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.342774291911721,0,0.042317501977256,0,0,0.467259845511715,0,0,0,0,0,0,0,0,0.0359507712924108,0,0,0,2.77555756156289e-17,-0.0109428765270632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112833603616877,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.192714270608926,0,0.0548672812035853,0,0,0,0.318149149779574,0,0,0,0,0,0,0,0.0216255903562425,0.663635988139563,0,0,0,0.0460982980312713,0,0,0,0,0,0,0,0.0967438771833059,0,0,0,0,0,0,-0.218800585623152,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.136910724442189,0,0,0.0492720290231629,0,0,0,0,0.200915232913104,0,0,0,0.143545163787788,0,0,0,0,0,0.021118520373568,0,0.168413719851782,0,0,0,0.0278359763559152,0,0,0,0,0.0495117798852013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186363703076784,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.196679038862066,0,0,0.220237727020861,0,0,0,0,0.1779478669897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149711685723843,0,0.00384347375884828,0.158236013040136,0,0,0.105481527187914,0,0,0,0,0,-3.46944695195361e-18,0.0489929089659992,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.148255348279805,0,0,0,0,0,0,0,0.359129163610936,0.0249191551175905,0,0,0,0,0.18231900504041,0.271543090614991,0,0,0,0,0,0,0.266983358462852,0,0,0,0,0,0,0,0.0124247075473358,0,0,0,0,0,0,0,0,0,0,0,0.0745773236153303,0,0
X601628.CH.EQUITY,0.325237567498526,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0563778102021339,0.0260362554928776,0,0,0,0.118371188164019,0,0,0,0.0876579155747653,0,0.230500611131048,0,0,0,0,0.150182899307482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.163826306279542,0,0,0,0,0,0,0.194454225882352,-0.0639594096737859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080581357475466,0,-0.212393541232361,0,0,0,0,0,0,0,0.738538616144285,0,0,0,0,0,0.447497252684465,0,-0.182022847605816,0,0
