,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,macro_return_add
X601601.CH.EQUITY,0,0,0,0,-0.181865634971497,0,0,0,0.642279675946438,0,0,0,6.93889390390723e-18,0,-8.67361737988404e-19,0,0.0094385554124529,0,0,0,0,-0.0080526921270832,0.0616355000874406,0,0,0.0015072668186547,0,0.0612640554788559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675007160796159,0,0,-1.73472347597681e-18
X000002.CH.EQUITY,0,0,0,0,-4.79927059418104e-05,-0.07472254785513,0,0,0,0,0,0,-1.73472347597681e-18,0.271326751205125,0,0,0.103768845842036,0,0.262379361757,0,0,-0.133139079725527,0,0,0,0,0,0.166336950456976,0,0,0.316370401135254,0,0,0.379201589902327,0,-0.169158255689636,0,0,0,0,0,0,0,0.254118377110428,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0.0276140266931253,0,0.17544861650271,0.0238305962257384,0.00148924476860557,0,0,0,0,0,0,0,0,0,0,0,0.100237066897427,0.359775828723711,0,0,0,0,0,0,0,0,0.0169121723054096,0.435093878024272,0,0,0,0,0,0,0.190197205032667,0,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.0577197083845888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223957347184519,0,0,0.035080246680363,0.143239300098674,0.200046198577403,0.31056573953784,0,0,0,-0.0787630762243046,0,0,-0.0422478913240014,0.292668152094941,0,0,0,0,0,0.0806337125811101,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.465035936362206,0,0,0,0,0,-1.0842021724855e-19,0,3.46944695195361e-18,0,0,0,0,0,0.0851679847065797,0,0.0592571643069208,0.213366673954866,0.0152109147503257,0,0.0169717283569396,0,0,0,0,0,0,0,0,0,0,0.0984335109092918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0.266358960418473,0,0,0,0.143423828371245,0,0,0,0.0390123173961986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338362671522068,0,0,0.201588515000943,0,0,0,0.00662275071665392,0,0,0,0,0,0,0.0467592357193791,0,0,0,0
X2388.HK.EQUITY,-0.206398530219066,0.262401160132174,0,6.93889390390723e-18,0.474760703377589,-0.470313685204283,0,0,0,0,0,0,0,0,0,0.186447559569569,0.053971033966338,0.244452952210005,0,0,0.291788382995201,0,0,0,0,0,0,0.0910665846988688,0,-0.370087640400891,0,0,0,-0.169501724931291,0,0,0,0,0,0,0,0,0,-0.0703051666035228,0,-0.00213116685338199,0,-0.160504221396234,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147515141122982,0,0,0,0.0393642805353847,0,0,0,0.210897837032342,0,0,0.0566276360108792,0,0,0.224434055222371,0,0,0,0,0,0,0.154064286579942,0,0,0,0,0,0,0,-0.19267044179374,0,0,0,0,0,0
X267.HK.EQUITY,0.0656946765187735,0,0,0,0,0,0,0,-0.044515346914579,0,0.0247909648753777,0,0,0,0,0,0.0469482214311923,0.197769291215798,-0.258388378899611,0.0844088409750627,0,0,0,0,0.118722959180443,0,0,0.0147490740764702,0.0978288435829085,0,0,0,0,0,0,0,0,0,-0.147309758727333,0,0.129769823834994,-0.0044759345285561,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.102938733216702,0.163294148202093,0,0,0,0.194240419688175,0.0440917496293128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368167068853705,0,0,0,0,-1.38777878078145e-17,0.206231107851518,0,0,0,0,0,0.26246562836739,-0.0606749968534298
