ticker,Name
PFG UW Equity,Principal Financial Group Inc
AXP UN Equity,American Express Co
JPM UN Equity,JPMorgan Chase & Co
BAC UN Equity,Bank of America Corp
GPMT UN Equity,Granite Point Mortgage Trust Inc
TRV UN Equity,The Travelers Companies
SBRA UW Equity,Sabra Health Care REIT Inc
C UN Equity,Citigroup Inc
AIG UN Equity,American International Group Inc
PEB UN Equity,Pebblebrook Hotel Trust
BOH UN Equity,Bank of Hawaii Corp
CLDT UN Equity,Chatham Lodging Trust
AFL UN Equity,Aflac Inc
BHF UW Equity,Brighthouse Financial Inc
FCF UN Equity,First Commonwealth Financial Corp
GDOT UN Equity,Green Dot Corp
BK UN Equity,Bank of New York Mellon Corp
HMN UN Equity,Horace Mann Educators Corp
BRK B UN Equity,Berkshire Hathaway Inc
UBA UN Equity,Urstadt Biddle Properties Inc
HR UN Equity,Healthcare Realty Trust Inc
PRI UN Equity,Primerica Inc
GWB UN Equity,Great Western Bancorp Inc
COR UN Equity,CoreSite Realty Corp
CMA UN Equity,Comerica Inc
NMIH UQ Equity,NMI Holdings Inc
VBTX UQ Equity,Veritex Holdings Inc
AFG UN Equity,American Financial Group Inc/OH
AEL UN Equity,American Equity Investment Life Holding
PCH UW Equity,PotlatchDeltic Corp
RJF UN Equity,Raymond James Financial Inc
RLI UN Equity,RLI Corp
TPRE UN Equity,Third Point Reinsurance Ltd
SF UN Equity,Stifel Financial Corp
EFX UN Equity,Equifax Inc
PK UN Equity,Park Hotels & Resorts Inc
CHCT UN Equity,Community Healthcare Trust Inc
UHT UN Equity,Universal Health Realty Income Trust
BEN UN Equity,Franklin Resources Inc
WRI UN Equity,Weingarten Realty Investors
PEAK UN Equity,Healthpeak Properties Inc
JRVR UW Equity,James River Group Holdings Ltd
INN UN Equity,Summit Hotel Properties Inc
AAT UN Equity,American Assets Trust Inc
NXRT UN Equity,NexPoint Residential Trust Inc
KIM UN Equity,Kimco Realty Corp
LM UN Equity,Legg Mason Inc
JEF UN Equity,Jefferies Financial Group Inc
LNC UN Equity,Lincoln National Corp
L UN Equity,Loews Corp
WRB UN Equity,WR Berkley Corp
HST UN Equity,Host Hotels & Resorts Inc
MMC UN Equity,Marsh & McLennan Cos Inc
FRC UN Equity,First Republic Bank/CA
CATY UW Equity,Cathay General Bancorp
WLTW UW Equity,Willis Towers Watson PLC
SPGI UN Equity,S&P Global Inc
CBU UN Equity,Community Bank System Inc
CDR UN Equity,Cedar Realty Trust Inc
CHCO UW Equity,City Holding Co
COLB UW Equity,Columbia Banking System Inc
WFC UN Equity,Wells Fargo & Co
EGP UN Equity,EastGroup Properties Inc
EZPW UW Equity,EZCORP Inc
FNB UN Equity,FNB Corp/PA
FFBC UW Equity,First Financial Bancorp
FBP UN Equity,First BanCorp/Puerto Rico
PNC UN Equity,PNC Financial Services Group Inc/The
FMBI UW Equity,First Midwest Bancorp Inc/IL
PGR UN Equity,Progressive Corp/The
MMI UN Equity,Marcus & Millichap Inc
FULT UW Equity,Fulton Financial Corp
GBCI UW Equity,Glacier Bancorp Inc
HWC UW Equity,Hancock Whitney Corp
SCHW UN Equity,Charles Schwab Corp/The
TFC UN Equity,Truist Financial Corp
PSA UN Equity,Public Storage
INDB UW Equity,Independent Bank Corp
GL UN Equity,Globe Life Inc
UNM UN Equity,Unum Group
VTR UN Equity,Ventas Inc
VNO UN Equity,Vornado Realty Trust
KREF UN Equity,KKR Real Estate Finance Trust Inc
PRA UN Equity,ProAssurance Corp
WY UN Equity,Weyerhaeuser Co
MCY UN Equity,Mercury General Corp
IRET UN Equity,Investors Real Estate Trust
NBTB UW Equity,NBT Bancorp Inc
CMO UN Equity,Capstead Mortgage Corp
NNN UN Equity,National Retail Properties Inc
BXS UN Equity,BancorpSouth Bank
CBSH UW Equity,Commerce Bancshares Inc/MO
CUZ UN Equity,Cousins Properties Inc
TRMK UW Equity,Trustmark Corp
PEI UN Equity,Pennsylvania Real Estate Investment Trus
UMBF UW Equity,UMB Financial Corp
WABC UW Equity,Westamerica BanCorp
CINF UW Equity,Cincinnati Financial Corp
TCBI UW Equity,Texas Capital Bancshares Inc
PSB UN Equity,PS Business Parks Inc
PACW UW Equity,PacWest Bancorp
JOE UN Equity,St Joe Co/The
WETF UW Equity,WisdomTree Investments Inc
OFC UN Equity,Corporate Office Properties Trust
MTB UN Equity,M&T Bank Corp
FITB UW Equity,Fifth Third Bancorp
FHN UN Equity,First Horizon National Corp
GTY UN Equity,Getty Realty Corp
HBAN UW Equity,Huntington Bancshares Inc/OH
WELL UN Equity,Welltower Inc
SFNC UW Equity,Simmons First National Corp
NTRS UW Equity,Northern Trust Corp
SIGI UW Equity,Selective Insurance Group Inc
PBCT UW Equity,People's United Financial Inc
STC UN Equity,Stewart Information Services Corp
CNO UN Equity,CNO Financial Group Inc
SIVB UW Equity,SVB Financial Group
CASH UW Equity,Meta Financial Group Inc
XHR UN Equity,Xenia Hotels & Resorts Inc
SBSI UW Equity,Southside Bancshares Inc
KEY UN Equity,KeyCorp
STBA UW Equity,S&T Bancorp Inc
AMG UN Equity,Affiliated Managers Group Inc
STT UN Equity,State Street Corp
MKTX UW Equity,MarketAxess Holdings Inc
USB UN Equity,US Bancorp
JLL UN Equity,Jones Lang LaSalle Inc
TROW UW Equity,T Rowe Price Group Inc
SBAC UW Equity,SBA Communications Corp
TREE UW Equity,LendingTree Inc
TMP UA Equity,Tompkins Financial Corp
ZION UW Equity,Zions Bancorp NA
IVZ UN Equity,Invesco Ltd
TRST UW Equity,TrustCo Bank Corp NY
MS UN Equity,Morgan Stanley
UBSI UW Equity,United Bankshares Inc/WV
CB UN Equity,Chubb Ltd
UFCS UW Equity,United Fire Group Inc
KMPR UN Equity,Kemper Corp
ALL UN Equity,Allstate Corp/The
EQR UN Equity,Equity Residential
WBS UN Equity,Webster Financial Corp
SPG UN Equity,Simon Property Group Inc
WAFD UW Equity,Washington Federal Inc
AVB UN Equity,AvalonBay Communities Inc
PRU UN Equity,Prudential Financial Inc
WRLD UW Equity,World Acceptance Corp
AIV UN Equity,Apartment Investment and Management Co
EPRT UN Equity,Essential Properties Realty Trust Inc
SKT UN Equity,Tanger Factory Outlet Centers Inc
LTC UN Equity,LTC Properties Inc
COF UN Equity,Capital One Financial Corp
OHI UN Equity,Omega Healthcare Investors Inc
TCO UN Equity,Taubman Centers Inc
CFR UN Equity,Cullen/Frost Bankers Inc
FCFS UW Equity,FirstCash Inc
FHI UN Equity,Federated Hermes Inc
AKR UN Equity,Acadia Realty Trust
HIG UN Equity,Hartford Financial Services Group Inc/Th
IRT UN Equity,Independence Realty Trust Inc
PB UN Equity,Prosperity Bancshares Inc
IRM UN Equity,Iron Mountain Inc
RGA UN Equity,Reinsurance Group of America Inc
ETFC UW Equity,E*TRADE Financial Corp
BFS UN Equity,Saul Centers Inc
AMT UN Equity,American Tower Corp
BXP UN Equity,Boston Properties Inc
LXP UN Equity,Lexington Realty Trust
FFIN UW Equity,First Financial Bankshares Inc
WU UN Equity,Western Union Co/The
ONB UW Equity,Old National Bancorp/IN
HT UN Equity,Hersha Hospitality Trust
VLY UW Equity,Valley National Bancorp
MAA UN Equity,Mid-America Apartment Communities Inc
PLD UN Equity,Prologis Inc
SAFE UN Equity,Safehold Inc
OPB UW Equity,Opus Bank
BPFH UW Equity,Boston Private Financial Holdings Inc
RWT UN Equity,Redwood Trust Inc
GS UN Equity,Goldman Sachs Group Inc/The
MCO UN Equity,Moody's Corp
HIW UN Equity,Highwoods Properties Inc
SLM UW Equity,SLM Corp
ESS UN Equity,Essex Property Trust Inc
GEO UN Equity,GEO Group Inc/The
CME UW Equity,CME Group Inc
CLI UN Equity,Mack-Cali Realty Corp
BLK UN Equity,BlackRock Inc
O UN Equity,Realty Income Corp
NDAQ UW Equity,Nasdaq Inc
NWBI UW Equity,Northwest Bancshares Inc
AMBC UN Equity,Ambac Financial Group Inc
MET UN Equity,MetLife Inc
WSR UN Equity,Whitestone REIT
AMP UN Equity,Ameriprise Financial Inc
IBOC UW Equity,International Bancshares Corp
CBRE UN Equity,CBRE Group Inc
MA UN Equity,Mastercard Inc
LSI UN Equity,Life Storage Inc
ICE UN Equity,Intercontinental Exchange Inc
AIZ UN Equity,Assurant Inc
DCOM UW Equity,Dime Community Bancshares Inc
GNW UN Equity,Genworth Financial Inc
THG UN Equity,Hanover Insurance Group Inc/The
RF UN Equity,Regions Financial Corp
HOPE UW Equity,Hope Bancorp Inc
HAFC UW Equity,Hanmi Financial Corp
Y UN Equity,Alleghany Corp
DFS UN Equity,Discover Financial Services
AMSF UW Equity,AMERISAFE Inc
V UN Equity,Visa Inc
WTFC UW Equity,Wintrust Financial Corp
DRE UN Equity,Duke Realty Corp
ENVA UN Equity,Enova International Inc
FRT UN Equity,Federal Realty Investment Trust
KRC UN Equity,Kilroy Realty Corp
EV UN Equity,Eaton Vance Corp
UMPQ UW Equity,Umpqua Holdings Corp
ARR UN Equity,ARMOUR Residential REIT Inc
RPT UN Equity,RPT Realty
CXW UN Equity,CoreCivic Inc
OZK UW Equity,Bank OZK
SEIC UW Equity,SEI Investments Co
EPR UN Equity,EPR Properties
IVR UN Equity,Invesco Mortgage Capital Inc
BRKL UW Equity,Brookline Bancorp Inc
ADC UN Equity,Agree Realty Corp
PMT UN Equity,PennyMac Mortgage Investment Trust
ARI UN Equity,Apollo Commercial Real Estate Finance In
EWBC UW Equity,East West Bancorp Inc
MAC UN Equity,Macerich Co/The
ALEX UN Equity,Alexander & Baldwin Inc
NYCB UN Equity,New York Community Bancorp Inc
RNR UN Equity,RenaissanceRe Holdings Ltd
UCBI UW Equity,United Community Banks Inc/GA
ECPG UW Equity,Encore Capital Group Inc
RYN UN Equity,Rayonier Inc
ABCB UW Equity,Ameris Bancorp
GHL UN Equity,Greenhill & Co Inc
TCF UW Equity,TCF Financial Corp
RE UN Equity,Everest Re Group Ltd
NAVI UW Equity,Navient Corp
PNFP UW Equity,Pinnacle Financial Partners Inc
FR UN Equity,First Industrial Realty Trust Inc
CCI UN Equity,Crown Castle International Corp
FSP UA Equity,Franklin Street Properties Corp
RMAX UN Equity,RE/MAX Holdings Inc
SAFT UW Equity,Safety Insurance Group Inc
PFS UN Equity,Provident Financial Services Inc
PRAA UW Equity,PRA Group Inc
EQIX UW Equity,Equinix Inc
PIPR UN Equity,Piper Sandler Cos
WDR UN Equity,Waddell & Reed Financial Inc
DLR UN Equity,Digital Realty Trust Inc
SBNY UW Equity,Signature Bank/New York NY
ACC UN Equity,American Campus Communities Inc
EXR UN Equity,Extra Space Storage Inc
MPW UN Equity,Medical Properties Trust Inc
DRH UN Equity,DiamondRock Hospitality Co
CVBF UW Equity,CVB Financial Corp
HOMB UW Equity,Home BancShares Inc/AR
ASB UN Equity,Associated Banc-Corp
CIT UN Equity,CIT Group Inc
BANR UW Equity,Banner Corp
EHTH UW Equity,eHealth Inc
ORI UN Equity,Old Republic International Corp
IBKR UW Equity,Interactive Brokers Group Inc
EIG UN Equity,Employers Holdings Inc
MSCI UN Equity,MSCI Inc
FAF UN Equity,First American Financial Corp
UDR UN Equity,UDR Inc
INFO UN Equity,IHS Markit Ltd
LAMR UW Equity,Lamar Advertising Co
SLG UN Equity,SL Green Realty Corp
JBGS UN Equity,JBG SMITH Properties
UVE UN Equity,Universal Insurance Holdings Inc
STAR UN Equity,iStar Inc
BRO UN Equity,Brown & Brown Inc
CBOE UF Equity,Cboe Global Markets Inc
SYF UN Equity,Synchrony Financial
AHH UN Equity,Armada Hoffler Properties Inc
CTRE UW Equity,CareTrust REIT Inc
CPF UN Equity,Central Pacific Financial Corp
AJG UN Equity,Arthur J Gallagher & Co
AX UN Equity,Axos Financial Inc
FBC UN Equity,Flagstar Bancorp Inc
FSB UN Equity,Franklin Financial Network Inc
AON UN Equity,Aon PLC
CADE UN Equity,Cadence BanCorp
CFG UN Equity,Citizens Financial Group Inc
FG UN Equity,FGL Holdings
TBK UW Equity,Triumph Bancorp Inc
SFBS UW Equity,ServisFirst Bancshares Inc
CBL UN Equity,CBL & Associates Properties Inc
FCPT UN Equity,Four Corners Property Trust Inc
DEA UN Equity,Easterly Government Properties Inc
UE UN Equity,Urban Edge Properties
NYMT UW Equity,New York Mortgage Trust Inc
NSA UN Equity,National Storage Affiliates Trust
CUBI UN Equity,Customers Bancorp Inc
PPBI UW Equity,Pacific Premier Bancorp Inc
HFWA UW Equity,Heritage Financial Corp/WA
RLGY UN Equity,Realogy Holdings Corp
DEI UN Equity,Douglas Emmett Inc
ABTX UQ Equity,Allegiance Bancshares Inc
PFBC UW Equity,Preferred Bank/Los Angeles CA
CPT UN Equity,Camden Property Trust
STL UN Equity,Sterling Bancorp/DE
IIPR UN Equity,Innovative Industrial Properties Inc
JHG UN Equity,Janus Henderson Group PLC
EGBN UR Equity,Eagle Bancorp Inc
GNL UN Equity,Global Net Lease Inc
WPG UN Equity,Washington Prime Group Inc
BANC UN Equity,Banc of California Inc
HMST UW Equity,HomeStreet Inc
KRG UN Equity,Kite Realty Group Trust
OFG UN Equity,OFG Bancorp
ILPT UW Equity,Industrial Logistics Properties Trust
NBHC UN Equity,National Bank Holdings Corp
SRC UN Equity,Spirit Realty Capital Inc
SBCF UW Equity,Seacoast Banking Corp of Florida
EVR UN Equity,Evercore Inc
INTL UW Equity,INTL. FCStone Inc
CONE UW Equity,CyrusOne Inc
SNV UN Equity,Synovus Financial Corp
BHLB UN Equity,Berkshire Hills Bancorp Inc
REG UW Equity,Regency Centers Corp
ARE UN Equity,Alexandria Real Estate Equities Inc
ROIC UW Equity,Retail Opportunity Investments Corp
UNIT UW Equity,Uniti Group Inc
KNSL UW Equity,Kinsale Capital Group Inc
WRE UN Equity,Washington Real Estate Investment Trust
WD UN Equity,Walker & Dunlop Inc
SVC UW Equity,Service Properties Trust
DHC UW Equity,Diversified Healthcare Trust
OPI UW Equity,Office Properties Income Trust
BRX UN Equity,Brixmor Property Group Inc
UIHC UR Equity,United Insurance Holdings Corp
NFBK UW Equity,Northfield Bancorp Inc
HCI UN Equity,HCI Group Inc
VRTS UW Equity,Virtus Investment Partners Inc
RC UN Equity,Ready Capital Corp
RY CT Equity,Royal Bank of Canada
IFC CT Equity,Intact Financial Corp
