,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,-0.138685361936969,0,0,0,0,0,0,0,-0.075538582634198,0.582076567548897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.32553315408154,0,0,0,0,0.671678418887216,0.0275386007110407,0,0,-0.034491080665451,-0.169637597858414,0,-0.0644294174089818,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.142448540810481,0,0.00281811613009256,0,0.0256357387862781,0,0,0.039924447772028,0.0761176888108185,0,0.168788086696991,0,0,0,0,0,0.022405282371985,0,0,0,0,0,0.0965056959743854,0,0,0,0,0,0,0,0,0,0,0.492134789533495,0,0,0,-0.0725416628643151,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.202058566572763,0,0,0,0,0,0,0,0.0571273710722278,0,0.0417837302029874,0,0,0,0,0,0,0,0,0,0,0.277305096010416,0,0,0,0,0,0,0,0,0,0,0.0426674502381669,-0.101462616737222,0,0.28210045654907,-0.213057711753967,0,0.147204928143822,0,-0.0458303577389874,0,0,0,0,0,0,0,0.261306318986878,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.246743494185498,0,0,0,0,8.67361737988404e-19,0,0.0858395064782076,0,0,0,0,0,0,0.126477052200762,0,0,-0.0266062921686025,0,0,0,0.125067359012434,0,0,0,0,0,0,-0.0722562327005641,0,0,0,0,0,0.263920311262342,0,0,0.168307326002702,0,0,0,0,0.0834522747314354,0,0,0,-0.0201201730664343
X5.HK.EQUITY,-0.13835637414456,-0.136987597738203,0,0.110681616165162,0,0,0,0,0,0,0,0,0,0.237681662548029,0,0,0,0.238319716643396,0,0,0,0.0662919479638756,-6.93889390390723e-18,0,0.364760728404174,-0.0581821300206845,0,0,-0.0939293724015285,0,0,0,0,-0.234459737711398,0,0,0,0,0,0,0.251281088650382,0,0,-0.143029959801475,0,-0.0275696533221869,0,-0.0534436933040336,0,0,-0.0309337228124309,0
X601988.CH.EQUITY,0.232886292242702,0,0,0.572439866517428,0,0,0,0,0,0.120171206302553,0,0,0.130873584231805,-0.0924287267497671,0,0,0.00971452805862911,0.0989630955362823,0,0,0.0153447494772603,0,0,0,0,0,0,0,0.0218876032855239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478743814798455
X600036.CH.EQUITY,0,0.690388783720786,0.0500512807592396,0,0,0,0,0,-0.162201080615839,0,0,0,-0.121928003806271,0,0,0,0,0,0.0913602560905479,0,0,0,0,0,0,0.0653175562893118,0,0,0.050329345996322,0,0,0,0.0910596380407235,0,0,0,0,0,0,0,0.24099373621846,0,0,0,0,0,0.0327064114441673,0,0,0,0,0
X1299.HK.EQUITY,0,0.0333081159852163,0,0,0,0,0,0,0,-0.0626866545727555,0,0,0,0,0,0,-0.131330837213897,0.35806205879788,0.115128871018578,0.189355707573377,0,0,0.0727104763374684,0,0,0.185912437164299,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.069594216618659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100084026593616
X601628.CH.EQUITY,0,0.177407894208373,0,0,0.00984397046069525,0,0,0,0,0,0,0,0.00564283458066018,0,0.291817226618894,0,0,0,0,4.33680868994202e-19,0,0,0.148655949710819,0,0,0,0,0,-0.0526573724359497,0,0,0,0,0,0,0,0,0.114242105049259,0,0.0939772101529755,0,0,0,0,0,0,0,0,0.135053757147033,-4.33680868994202e-19,0,0
X601166.CH.EQUITY,0,0,0,-1.38777878078145e-17,0,0.311101278783931,0.0701428680973737,0,0.130054903202451,0,0,0,0,0,0.575166337562397,0,0,0,0,0,0,0,-0.27109777538846,0,-0.0159170693018017,0,0,0,0,0,0,0.378732455849794,0,0,0,0.228252008999329,0,0,0,0,-0.194283703499571,-0.178469186432625,0,0,0,0,0,-0.0453763824958059,0,0,0,-0.0852602429688298
