,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.0657976347599993,0,0,0,0,0,0,-0.143787054346566,0,0,0,0,0,0,0,0,0,-0.145439139419381,0.646333128842184,0,0.762754645322865,0,0.0410218685668393,0,-0.107889586187588,0,0,-0.150224180025136,0,0.00697909702382098,0,0,0,-0.0167255286471439,0,-0.303801138879591,0,-0.0834506574260814,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0.218623490019489,0.109025765291944,0,0,0.00495668577713502,0,0,0,0,0,0,0,0,0,0.260538645323981,0,0,0,0,0,0,0,0,0.112409902667218,0.0646858676747393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105762453593588,0,0,0,0.00955939455441476
X601939.CH.EQUITY,0,0,0,0.817477244065633,0,0,0.0385231867860772,0,0,0,0,0,0.029256332462489,0.0547490838515613,0,0,0.0462087650704037,0,0,0,0,0,0.00140754215680853,0,0,0,0,0,0.00586656574145432,0,0,0,0.0158830291196863,0,0,0.03325242127349,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.911608910216209,0,0,0,-0.0695082904205702,0,0,0,0,0,0,0,0,0,0,0.115849597413262,0,0,0,0,0,0,0,-0.0156157402809352,0.0566402978342244,0,0,0,0,0,0,0,0,0,-0.0933318216144342,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0474397863770143,0,0
X601988.CH.EQUITY,0,0,0,0.00425369029005936,0,0,-0.0627477879589098,0,0,0,0,0,0.473135011356517,0,0,0,0,0,0,-0.111374397700873,-0.0448647988421023,0,0,0,0,0,0,0,-0.145441883845348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382308217866019,0.139829110353799,0,0,0,0,0.537851900621423,0,0.0273384480984421,0.248967327762165
X600036.CH.EQUITY,0,0,0.330142336530832,0.0177385018786044,0,0,0,0,0.0136887848665257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747134963270305,0,0.13092195298764,0,0,0,0.450626348205096,0,0,0,0,0,0,0,0,-0.0409715053274282,0,0,0.0801876504544499,0,0.0151743675992917,0,0,0,0.0349993082711805,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.734862171060753,0,0,0,0.0691873459436628,0,0,0,0,0,0,0.11042408979743,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.0556450232759617,0,0,0,0,0,0,0,0,0.109603122433313,0,0.158775194263091
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.327133133729529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20227307302225,0,0,0,0,0.0512632222457129,0,0.238601031223453,0,0,0.124802628685558,0,0,0,0,0,0,0,0,0,0.0100480411148342,0,0,0.498543603861668,0,0,0,0.0333388806003331,-0.0865424010465944,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.28003959371518,0,0,0,0.0474568441662063,0,0,0,0,0,0.310828193860565,0,0,0,0,0.159968210495095,0,0,0.225643850568463,0.123189594321823,0.305241351969072,0,0.203393017543859,0,0,0,0,0,0,0,0,0.0583810896059092,0,1.38777878078145e-17,0,-0.0537633463896246,0,0.036627068559197,0,0,-0.302423693252711,0,0,0,0.107160520410148,0,-0.127146508739915
X601658.CH.Equity,0,0,0,0.226404837265513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257344494130133,0.111831149145811,0,-0.174305786770796,0,0,0,0,-0.127480830858814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411220685952372,0,0,0,1.0842021724855e-19,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0.157325859743519,0,0,0,0,0,0,0,0,0,0,0,-0.0632120225631634,0,0.0407236320660391,0,0,0,0,0,0,0.375484340003511,0,0,0.0632208610014679,0,0,0,0,0,0.153698854165497,0,0,0,0,0,0,0,0,0,0.12283787793572,0,0,0,0,0.0991711430746333,0.192818575341481
X600030.CH.EQUITY,0,0,0,0,0,0,0.143192034451332,0,0,0,0.024060844066387,0,0,0,0.0225801294005832,0.191682253600536,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.548806190740088,0,0,0,0,0,0,0,0.0198071293885499,0,0,0,0.0277657798748172,0,0,0,0,0,0,0.0429918328815009
X601166.CH.EQUITY,0,0,0.0224336560846041,0,0.317041694556998,0,0,0,0,0.020249413771096,0,0,0,0.179257471618681,0,0,0,0,0.0665125073342323,0,0,0,0.0512637694851733,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0220889313092855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537927321597118,0.255480414510091,0,0,0
X600000.CH.EQUITY,0,0,-1.38777878078145e-17,0.0469230354629397,0,0.0670783263043862,0,0.0375599602832144,0,0,0,0,0.384578776217282,0,0.165116601920865,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104217301054461,0.0161444085174565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.108703990891257,0,0,0,0,0,0,0,0,0,0.085991133995125,0,0,0,0,0,0,0,0,0.329882071209171,0,0,0,0,0,0,0,0.0130390748857607,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144979732155656,0,0,0,0.0487067164566531,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0.0363319840567802,0,0.00812895626299082,0.462581828763342,0,0,0,0,0,0,0,-0.0613898023873102,0,0,0,0,0.0318104457833554,0,0,0.242713795487043,0,0,0,0,-0.039967048186172,0,0.215579671656769,0,-0.00549162712134814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.0952920426830323,0,0,0,0.018263803269069,0,0,0,0,0,0,0,0,0,0,0.205300725749458,0,0,0,0.0348119275947193,0,0,0,0,0,0,0,0.0339657439264205,0.0325125428541984,0.118844989302232,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.055185390388465,0,0,0.0451521699629729,0.00201350068994681,0,0,0
X601319.CH.EQUITY,0,0,0,0.202978859899654,0,0,0.0823241820504619,0,0,0,0,0,0,0,0.0229730698297494,0,0.103579529754576,0,0,0.0628217911865736,0,-0.0161170315960817,0,0,0,0,0,0,0,0,0,0,-0.0132374671365861,0,0,0,0,0,0,0,0.337520301129352,0,0,0,0.0197397285742691,0,0,0.144095167886252,0,0,-0.107137459059538,-0.0438561160816562,0
