,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.241204927582905,0,0,0.318916386413758,0,0,0,0,0,0.2444875844315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107323452471834,-0.189701333728798,0,0,0,0,0.0434073528436973,0,0,0,0,0.0179339794798091,0,0,-0.165375298705341,0,-0.0208785554417101,-0.0360235862814273,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.149144382869287,0,0.00812846156529257,0,0.00469102616548439,0,0,0.172294283787862,0,0.0474699880790019,0,0,0,0,0,0,0,0.0583978035573061,0,0,0,0,0.0629254836625457,0,0,0,0,0,0,0,0,0,0,0.554006576503656,0,0,0.0352844885985496,-0.0758638550602329,0,0,0,-0.0300757999974247,0,0,0,-0.0385076827419521
X601939.CH.EQUITY,0.197873360648765,0,0,0,0,0,0,0,0,0.0285986832946267,0,0,0,0,0,0,0,0,0,0.0719934762053078,0,0,0,0,0.0207837286404883,0,0,0,0,0,0,0,0,0,0.0414818183845186,0.353569941887882,0,0,0,0,0.0319804754345571,0,0,0,0.0747621657368363,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.249990451825859,0,0,0,0,0.00938424275733682,0,0.0378805998256805,0,0,0,0,0,0,0,0.0767008721071179,0,0,0,0,0.211480644122901,0,0,0,0,0,0,0,-0.0474055666756004,0,0,0,0.0790991134034959,0,0.312437415341665,0,0.0669283445444606,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,-0.060581222742793,-0.112965300737702,0,0,0,0,0,0,0,0.057924282288349,0,0,0,0,0,0.264852047441161,0,0.34099426543746,0,0.162595517231561,0,0,0,0,0.32569529680702,0,-0.0653610481182238,0,-0.192046533146533,0,0,0,0,-0.152291574631479,0,0,0,0,0,0,0.0669744711241446,0,0.272841533817004,-0.147154317771508,0,0,0,-0.167973326534838,0,-6.93889390390723e-18,-0.02730561466356,0
X601988.CH.EQUITY,0.178275866827771,0,0,0.408045413933439,0,0,0,0,0,0.111648677880861,0,0,0.157477892028247,0,0,0,0,0,0.0305643622568388,0,0,0,0,0,0,0,0,0.0154000564208666,0.0213251177837326,0,0,0,0,0,0,0.12636617240349,0,0,0,0,0,0,0,0,0,0,0,-0.00652177320685843,0,0,0,0.137623090222852
X600036.CH.EQUITY,0,0.660668472335554,0.0291116404595152,0,0,0,0,0,-0.0360727481943968,0,0,0,-0.132732956150609,0,0,0,0,0,0.177602857548118,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.066673011873053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248011324633182,0,0,0.0232752510555,0,0,-0.104920874685781,0,0,0.19020200804518
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136954591699902,0,0,0,0.369096472982622,0.103681741733145,0,0.20286202948126,0,0,0,0.0310225796033061,0,0.219123646833662,0,0,0,0,0,0,0,0,0.052358536069338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102608456438817
X601628.CH.EQUITY,0,0.160896478917401,0,0,0,0,0,0,0,0,0,0,0.00327484354400473,0,0.274386505311352,0,0,0,0,0,0.00729773329691672,0,0,0.163264317619431,0,0,0,0,-0.0518108030517947,0,0,0,0,0,0,0,0,0.140087700272606,0,0.0989511325442908,0,0,0,0,0,0,0,0,0.109219926204995,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.325666809406693,0.245948071868236,0,0.0173176264167649,0,0,0,0,0,0.323915945553688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242399583276246,0,0,-0.0207014920574996,0,0.335046821023395,0,0,0,0,-0.139319777741223,0,-0.0916442133104009,0,0,0,0,0,0,0,0,-0.0441618237244598
X601328.CH.EQUITY,0,0.100045603357244,0.0978866457602696,0.380426402188956,0,0.0147325035752174,0,0,0,0,0,0,0,0,0,0,0,0,0.0176248585966335,0,0.0259456560734554,0.00665486824864957,0,0.0536545766990836,0,0,0,0.131598235081747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.174055213237363
