,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.221221164557644,0,0.123178638061071,0,0,0,0,0.246226891895101,0.0648370188513268,0,0.136467203305128,0,0,0,0,0,0,0.128422603308275,0,0,-0.0575171489850215,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.0345248662050951,0,0,0,0,0,0,0,0,0,0.0344603415645886,0,0,0,0,0.00736991734376656,0,0
X601939.CH.EQUITY,0.49725581974197,0,0,0,0,0,-0.0559475023008795,0,0,0.0325231594001574,0.21122484169904,0,0.200087546990228,0,0,0,0,0,0,0,0,0,0,0,0,-0.00902102429300352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.232647405651886,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200102035304846,0,0,0,0,0,0,0.152796658336926,0,0,0.0792160764881962,0,0.173848699257707,0.183460216666824,0,0,0,0,0,0
X601288.CH.EQUITY,0.34728475204818,0.0458654841773156,0,0,0.401561343669325,0,0,-0.0314094689868571,0,0,0.0625871811918697,0,0,0,0.114207058986494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210733672392565,0,0,0,0,0,0,0,0,0.0133895003233464,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0874803426759827,0,0.290227679393812,0,0,0,0,0,0,0.249427195562636,0,-5.55111512312578e-17,0.10029299101332,0,0,0,0,0.143589341110358,0,0,0,0,0,0,0.0676850580065666,0,-0.00853353675386499,0,0,0.0215069906210594,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.0447290941410058,0,0,0,0,0,0.0530115780598981,0,0,-0.00319875030261737,0,0
X600036.CH.EQUITY,0,0,0.0399671938427217,0,0,0,0.0229149245348951,0,0,0,0,0.427319681222172,0,0,0,0,0,0,0,0,0,0.0211588536413617,0,0,0,0.11063312531281,0,0,0,0,0,0,0,0,0,0,0,0.0575357317381412,0,0,0,0.0487353599630078,0,0,0,0,0,0,0,0.251690334996655,0,0,0
X1299.HK.EQUITY,0,0,0,0,-8.67361737988404e-19,0.0915249760526678,0,0,0,0,0,0,0,0,0,0,0,0,0.0106932505228042,0,0,0.0968652265595561,0,0,0,0,0.0430681760190875,0,0.175141815270701,0,0,0.106058852155026,0,0.214530364976112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148063322511986,0,0,0,0,0
X5.HK.EQUITY,0,-0.189036881036956,0,-0.0913790335130617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22210042124088,0,-0.794210527539398,0,-3.46944695195361e-18,0,0.485932141734573,0,0,0,0,0,0,0,0,0,0,0,0.413131198505202,0,0,0,0,0,0,0,0,0,0,0,-0.0938974135611049,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.194353465405693,0,0,0,0,0,0,0,0,0.219509292223751,0,0.0879958516765725,0,0.146279809364646,0,0,0,0.0564349308114491,0,0,0,0,0,0,0.0277767521954199,0,0,0,0,0.0562393016961787,0,0,0,0,0,0,0,0,0,0.0612115260521278,0,0
X601658.CH.Equity,0,0,-0.159613843510168,0.289026545871038,0,0,0,0.099686454120456,0.0139774576176376,0,0,0,0,0,-0.198853200200742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679778720408829,0,0,0,0,0,0,0,0,0,0,-0.0684310926929191,0,0,0,0,0,0.665717806986669,0,0,0,-0.11258306894848,0.00109425604751573,0,0
