,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.586928576740561,0,0.180483247090488,0.0258598481913537,0,0,0,0,0,0,0,0.0627629144766804,0,0,0,0,0.0275573928989785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.00157633880872683,0,0,0,0,0.0255352612944295,0,-0.0438298668446855,0.110188580921056,0,-0.0100557127655389,-0.021696863076221,0,0,0,0,0,0.0431807895853738
X601939.CH.EQUITY,0.129492124764967,0,0,0.576706560018234,0,0.0560770922869056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134962366077422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0073287830761039,0,0.0116669091127239
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0127580770071725,0,0,0,0,0,0,-2.16840434497101e-19,0.0856618070053879,0.295224657319176,0,0,0,0,0,0,0.141298559689515,0,0,0,0,3.46944695195361e-18,0,-3.46944695195361e-18,0.0481459597541977,0,0,0,0.0032242144431742,0,0.0667530434939961,0.192061172269156,0,0.0138952639575583,0,0,0,0.0199419352062412,0,0,0.0642714803056539,0,0,0
X601288.CH.EQUITY,0.116489880397914,0,0.00654931888093067,0,0,0.0640591318124843,0,0,0,0.0824877527461567,0,0.0366427499309546,0,0,0,0,0,0,0,0,0,0,0,0,0.15045339151071,0,0.296883312995179,0,0,0.153343944775076,0,0.0581785470737762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.263649326653252,0,0.388989813184335,0,0,0.094126474271907,0,0,0,0,0,0.160732428919326,0,0,-0.279548660810916,0,0,0,0,0,0.380093089220194,0,0,0,0.164434529160381,0,0,0,0,-0.13245766417509,0,0,0,0,0,0,0.0642820446084096,0,0,0,-0.401841203286129,1.73472347597681e-18,0,-0.138204220674063,0,-0.187905943949351,0
X601988.CH.EQUITY,0.116231016600699,0.0103625305700479,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0.584136980749718,0.0364999328523644,0,0,0,0,0.0119271693397948,0.14933149784155,0,0,0,0,0,0,0,0,0,0.0616086013217801,0,0,0,0,0,0,0,0,0,0.087082761617713,0,0
X600036.CH.EQUITY,0,0,0,0,-0.0282031403477805,0,0,0,0.0323500533434416,0,0,0,0,0,0,0,-0.0222122285852666,0.0377889775322325,0,0,0,0,0,0,0.757626800147192,-0.00619471912776918,0.0323273324135223,0,0,0.103270713534935,0,0,0,0,0,0,0,0,0,0,0,0,0.065383677985217,0.0704323210164341,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.234477752671003,0,0,0,0,0,0,0,0.171681701925387,0,0,0,0,0,0,0.124764687133121,0.0071122015441982,0,0,0,0,0,0,0.184743763805617,0.126575606702218,0,0,0,0,0.135957652309134,0,0,0,0,0,0,0,0,0,-0.112189268468204,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.218319022036216,0,0,0,0.0307741507663244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505686968609515,0,0,0,0,0,0,0,0,0,0,0,0,0.402711258608502,0.231693849701656,0,0,0,0.0293128476865222,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.171818777442006,0,0,0,0,0.115082512876628,0,0,0,0,0,0,0.25671833159093,0,0,0,0,0,0,0,0.224861576065185,0,0,0,0,0.0656262660840126,0,0,0,0,0.00608009821710569,0,-0.00585954419001299,0,0,0,0,0,0.198594299750744,0,0,0,0.00221857432403899,0,0,0,0.027853499685354,0,0,0,0
