,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,-0.0783249855588765,0,0,0,0,0.203146095821958,0,0,0,0,0,0,0,0,0.0348899474129194,0,0,-0.310012440298296,0,0,0,0,0,0,0,0,0,0,-0.338108703498125,0,0,0.0836663643364163,0,0.769819751018122,-0.185235766036717,0.267420921445284,0,0,0,0,0,0,-0.0134450480855287,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.175347550985819,0,0,0,0,0,0,0.0627320818244495,0,0,0,0,0,0,0,0,0,0,0.144266294569463,-6.93889390390723e-18,0,0,0,0.0624745911495604,0,0,0,0,0,0,0,0.455404859369305,0,0,-0.0533178059862831,0,0.0666358304372381,0,0,0,-0.0211301319063566,0,0.0271390750365582,0,0,-0.0610178753591996
X601939.CH.EQUITY,0.277768202743209,0,0,0,0,0.0143159018526175,0,0,0,0.0394522754851947,0,0,0,0,0,0,0,0,0,0,0,0.0907065433753144,0,0.042537603037923,0,0,0,0,0.19392323412187,0,0,0.0864963911253296,0,0,-0.106939235404011,0,0,0,0.403299128907476,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.151781128925495
X601288.CH.EQUITY,0,0,0,0,0,0.031865918114776,-0.0117922179774705,-0.175182262379337,0.0970717208055093,0,0.350249651592327,0.232627899585735,0,0,0,0,0.0632393279153243,0,0,0,-0.0362319351627575,0,0,0,0,0,0,0.0230281229403464,0,0,-0.601486625311467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277721981577179,0,0,0,-0.0985838623176861,0
X5.HK.EQUITY,-0.164873030048876,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0229821796262838,0,0,0,0,0.250130717393069,0,0.23604347835058,0,0.0912387576809848,0,0,0,0.482717636737984,0.00620197976359151,0,0,0,0,-0.252243954844531,0,0,0,0,0,0,-0.0101354208998568,0,0,0,-0.0995122229798085,0,0.191032875180303,0,0,0,-0.0866760475766297,0,-0.140531537915951,0,0,0
X601988.CH.EQUITY,0.171846172271388,0,0,0.513534160083828,0,0,0,0,0,0,0.127245104346687,0,0.035463280420871,0,0,0,0,0,0,0,0,0,0,0.01002264146453,0,0,0,0.130478797510131,0,0,0,0,0,0,0,0,0,0,0.223150639749785,0,0,0,0,0,0,0,0,0,0,0,-0.0101990548712568,0.0997525080218238
X600036.CH.EQUITY,0,0.648108386266883,-0.00387141757899409,0,0,0,0,0,-0.212284172021253,0.600673074032307,0,0,0,0,0,0,0,0,0,0.0815519497689462,0.0172304509794793,-0.0473599908679696,0,0,0,0,0,0.0466892741374929,0,0.101926447626764,0,0,0,0,-0.0671367289990776,0,0,0,-0.117627510175667,0,0,0,0.160917425599386,0,0,0.0100732756469238,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.042252380514383,0,0,0.0967491650600854,0,0,0,0,0,-0.10934921399495,0,-0.00827425149917301,0.127195324726997,0,0,0.217987421915454,0,0,0.040752322152588,0,0.124437960750449,0,0,0,0.029983934602015,0,0,0,0,0,0.221038336430661,0,0,0,0,0,0,0,-0.0778723253089657,0,0,0,0,0,0,0,0.20047328654054,0.0343419296293229,0,0,0
X601628.CH.EQUITY,0,0.0978796196111393,0,0.0619543893665613,0,0,0,0,0,0,0,0,0,0.290718550627792,0,0,0,0,0,0,0,0.117926523704714,0,0,0,0,0,0,0,-0.0352165888062966,0,0,0,0,0,0,0.0938536759192246,0.152082600100315,0,0,0,0,0,0,0,0,0,0.0982499741478142,0,0,0,-0.000294083613249197
X601328.CH.EQUITY,0,0,0.0202538590289227,0,0,0,0.236422439251968,0,0,0,0,0,0.24544783450057,0,0,0,0,0,0,0,0.271115004384509,0,0,0,0,0.147980736902703,0,0,0,0,0,0,0,-0.173751235440527,0,0,0,0,0,0,0,0,0,0,0.0703385328568389,0,0,0,0,0,0,-0.231623832370835
