,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.265253699954807,0.160312094682375,0,0,0,0,0,0,0,0,0,0,0.188507924736741,0,0,6.93889390390723e-18,0,0,0,0,0,0,-0.29707263390878,0,0,-0.190186179228447,0.853103976238027,0,0,-0.0384218977849679,0.0516908109267771,0,-0.0300558845836155,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,-0.092953936979904,0,0.281610386597948,0,0,0,0,0,0,0.110506523169665,0,0.147226053258098,0,0,0,0.137520243719398,0.00622503825972543,0,0,0,0,0,0,0,0.0198616136933658,0,0,-3.46944695195361e-18,0,0,0,0.125249368466802,0,0.0483269535569577,0.265404007152013,0,0,0,0,0,0,0,0,0,0,0,0,-0.134560862052198
X601939.CH.EQUITY,0.27149498025142,0,0,0,0.0847044349718008,0,0,0,0,0.159901959862189,0,0,0,0,0,0,0,0.0783433176908486,0,0,0,0,0,0,0,0,0,0,0.0602259196150835,0.0593756084394117,0,0,0,-0.223779847189488,-0.175489673911952,0,0,0.120523778078541,0.48096776194251,0,0,0,0,0,0,0.0707747829639481,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.354953987656633,0.093918804178524,0.0479459286971099,0.394173492971095,0,0,0,0.270588083627428,0.0235087115434398,0,0,0,0,0,0,0,-0.182128023695884,0,0,0,0,0,0,0,0,-0.606648771343694,0,0,0,0,0,0,0,0,0,0,0,0.408385677436677,0,0,0.126242352354411,0,0,0,0
X5.HK.EQUITY,-0.052743256568217,-0.152855652667477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622275477332719,0,0.225492256584905,-0.0426341412662099,0.223151566435767,0,0,0.103598992306413,0.187552223151559,0,0,0,0,0,0,0,-0.0540294714543734,0,0,0,0,-0.0713988690816582,0,0,0,0,0.0363115489052118,0,0,0,0,0,0,-0.0984977430517831,0.155331166072751,0,0
X601988.CH.EQUITY,-0.103758375239192,0,0,0,0.379465305583823,0,0,0,0,0,0,0,0,0,0.0679867781042977,0,0,0,0.445869810493107,0,0,0,0,-0.111204813092838,0,0,0,0,0,-0.332613079481213,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0781315408704457,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.391757897703061,-0.0685931891251215,0,-0.0338562319899105,0.0223437104190341,0,0,0,0.559833924612825,0,0.0936248031810741,0,0,0,0,8.67361737988404e-19,0,0,0,-0.100322357368391,0,0,0.270640904527203,0,0,0.105552549675313,0,0,0,0,0.0389867985335877,0,-0.301230449801829,0,0,0,0,0,0,0,0.124239771265197,0,0,0.139380590538286,-0.0385539112712456,0,0,0,0,0,0.0512660081547843
X1299.HK.EQUITY,0,0,0,0,0.18201732552249,0,0,0,0,0,0,-0.0783451053034847,0,0,0.0322205120208995,0,0,0,0,0,0,0,0,0,0,0.158933541270478,0,0,0.101930427343329,0,0.253636707903791,0,0,0.0589600576827506,0,0,0,-0.0350890180523517,0,0,0,-0.0928629245265428,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.00220204268801488,0.0354700544773243,0.0267359792004975,0,0,0,0,0,0,0.0870989942280009,0,0,0.430810975278547,0,0,0,0,0.0440816522363527,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415341682009445,0,0,0,0.131590413736425,0,0,0.0134163117479154,0.125114328834786,0,0,0,0,0,0.0645473267316814,0,0,0,0,0,-0.147585697093208
X601328.CH.EQUITY,0,0,0,0.0065991217886517,0,0,0.481663640316333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538361807520707,0,0.215815997317962,0,0.178429926728327,0.108558177502568,0,0,0,0,0,0,0,-0.17083123634424,0,0,0,0,0,-0.0561737892269219,0,0.102659633465687,0,0,-0.0291519105455327,0,0,0,0,0,-0.232583784253198
