,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.271705391568561,0.111768541060843,0,0.263841814216014,0,-0.130990944294769,0,0,0.0465330589679991,0.0867899978609082,0,0,-0.0491748950211568,0,0,0.069927733818594,0,0,0,0,0.040309810889423,0,0,0,0,0.143421748651828,-0.116494235686927,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,-0.0447831047032227,0,0,0,-0.05759217631432,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.149355063184584,0,0,0.277571087730124,0,0,0,0,0,0.0364686709985319,0,0,0,0,0,0,0,0,0,0,0.084570996120861,0,0,0,0,0,0,-0.158778116666851,0.321621837545361,0,0,0.11626328058442,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.476954377009302,0,0,0,0.104189517975797,0.0376148459882188,0,0.0742894889540726,0,0,0,0,0,0.168408322863126,0,0,0,0,0,0.0149274217185157,0.131563466452609,0.0209543383676995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31636485037352,0,0,0,-3.46944695195361e-18,0,0,-0.163230754903159,0,0,-0.026613610353836,0,0,0
X601288.CH.EQUITY,0.371564312612513,0,0.125620586319932,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00499921134867068,0,0,0,0,0,0,0,0,0,0,0,0,0.0185233726076206,0,-0.0537369268088896,0,0.0565158176202712,0.0473599032079175,0.055372635995749,0,0,0.309357134886345,0,0,0,0,0,0.165770425993175,0,0,-0.0442982324051154
X5.HK.EQUITY,0,-0.223299238982171,0,0,0,0,0,0,-0.375666590253045,0,0.207585421770627,0,0,0,0,0,0,0.0261239136833153,0,0.0237879466948741,0,0.658782972328736,0,0,0,0,-0.0178333416697191,0,0,0,0,0,0,0,0,0,0,0,0.0508173696087387,0,0.0804203915294414,0,0,0,0,0,0,0,0,0,-0.359113171591375,0
X601988.CH.EQUITY,0,0,0.21465008881146,0.207218812666063,0,0,0,0.0231826251520535,0,0.178867106006991,0.240057696026952,0,0,0,0,-0.0965416194929977,0,0,0,0,0,0,0.216543827306963,0,0,0.0695163871776241,0,-0.150453996800288,0,-0.042737194358584,0,0,0,0,0,0,0,0,0,0,0.0275847942258577,0,0,0,0,0,0,0,0,0.0294646372139979,0,0.120122277040567
X600036.CH.EQUITY,0,0.0902908257105622,0,0,0,0,0,0,0,0,0,0,0,0.18703536840873,0.0816300030373084,0,0,0,0.0449091130881457,0,0,0.0258467283289782,0,0,0,-0.0434294197272242,0,0,0,0,0,0.273457508855607,0,-0.0437415907531269,0,0,0,0,0,0.0583088127064183,0,0,0,0,0,0,0.274158971447729,0.157251631141578,0,0.136183735728987,0,0
X601628.CH.EQUITY,0,0.0751948959355447,0,0.435882229929406,0,0,0,0,0,0,0,0,0.121596024956293,0,0,0,0,0,0,0,0,0,0,0.0248196140601247,0,0.0214163930883238,0,0,0,0,0,0,0,0.0751491684653769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112150801517083,0,0.116508233527665
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0267813644283701,0,0,0,0.0155941892635665,0.161476104286092,0,0.100543668322808,0,0,0.193070449224856,0,0,0,0,0.419411279523073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666890194862185,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.214573244750635,0.0523029180660257,0,0,0,0,0,0,0,0.266621008587476,0,0,0,0,0,0,0,0,0,0,0.185302558251845,0,0,0,0,0,0.379460527523151,0,0.119685826335848,0,0,0,0,0,0,0,0,-0.0916102952958176,0,0,0,0,-0.0455455467583396,-0.00500896375720143,0,0,-0.158580904755315
