,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.236081005443247,0,0.138059317389339,0,0.0317211605075131,0,0,0.250272415044069,0.0690827377666537,0,0.0952888356525508,0,0,0,0,0,0,0,0.075797133987365,0,0,-0.0857497045211033,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.0634053102447967,0,0,0,0,0,0,0,0,0,0.0416292544568402,0.0264524987019717,0,0,0,0,0,0
X601939.CH.EQUITY,0.483690460523741,0,0,0,0,0,-0.0480023968425932,0,0,0.0165479780537638,0.19225544257991,0,0.229816486547289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150789821917365,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0805869534163651,0,0,0,0,0,0,0.211831663525676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.113484704146676,0,0,0.156845004583899,0,0.147433256622641,0.14110223321146,0,0,0,0,0,0
X601288.CH.EQUITY,0.346505626225289,0.0459030252517639,0,0,0.402133161639262,0,0,-0.0315471196460518,0,0,0.0627019950491551,0,0,0,0,0.114474610564264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210897350872636,0,0,0,0,0,0,0,0,0,0,0.0134514465411422,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0874513470956473,0,0.289772799789443,0,0,0,0,0,0,0.249449795694511,0,0,0.100288445086384,0,0,0,0,0,0.143485604401376,0,0.0690933545413954,0,0,0,0,0,-0.00853207414423035,0,0,0.0214988102633078,0,0,-1.38777878078145e-17,0,0,0,0,0,0.0445483450529628,0,0,0,0,0,0,0,0.0532825750459832,0,0,-0.00296097739216829,0,0
X600036.CH.EQUITY,0,0,0.021090221690153,0,0,0,0,0,0,0,0,0.411344444837843,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.126443798391761,0.0523347399657583,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0833242399998119,0.059642864826389,0.00130541562506508,0,0,0,0,0,0,0,0,0.264347201019873,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.09852649612587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998443896358728,0,0,0,0.0419307713851373,0,0.179236969856052,0,0,0.118133768477698,0,0.208422269975309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142167065698439,0,0,0,0,0
X5.HK.EQUITY,0,-0.195602630511909,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,-0.210712269461952,0,0.118993922145901,1.13959875419702,0,-0.778864540481737,0,0,0.508104550910803,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40062026205382,0,0,0,0,0,0,0,0.0126021320790052,0,-0.0856149107784547,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0907286854354006,0,0,0,0,0,0,0,0,0.0284472893102072,0,0,0.246279722069842,0,0.345023762991334,0,0,0.060238811597134,0,0,0,0,0,0,0,0,0,0,0,0.0125581825083746,0,0,0,0,0,0,0,0,0,0.0721548864173187,0,0
X601658.CH.Equity,0,0.1136818429773,-0.271803781619154,0.297902169638549,0,0,0,0.120391343790978,0,0,0,0,0,0,0,-0.205415998408999,0,0,0,0,0,0.0386923477419765,0,0,0,0,0,0,0.679196107759994,-0.0531156143918468,0,0,0,0,0,0,0,0,0,0,0,-0.12955356366081,0,0,0,0.72896157977107,0,0,0,-0.101050529587274,0.0595320733161261,0,0
