,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0598068193869727,0,0.196963585396955,0.042736589307068,0.0298054832384184,0,0,0,0,0,0,0,0,0,0,0.20771256320267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688212729334426,0.0353147292947138,0,0,0,0.00625198523802444,0,0.107189836807456,-0.0317032396601197,0,0
X601318.CH.EQUITY,0,0,0,0.160158710862822,0,0,0,0,0.127782707202466,0,0.0524808625847051,0,0.115886475540979,0,0,0,0,0.0668052951075042,0,0.262128777735777,0,0,0,0,0,0,0,0.0216795398621213,0.00122413583915005,0,0.135555217903577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318644062724319,0,0,0,0.0784335810908894
X601939.CH.EQUITY,0,0,0,0,0.126090927158308,0,0,0,0,0,0.0955910329919729,0,0,0.101426223160879,0,0,0,0,0,0,0.00131606107717218,-0.0303303992022483,0.535927136601972,0,0,0,0.167153173847059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.201327588985516,0,0,0,0,0.135926099216085,0.108131032708548,0,0,0,0,0.18334958093906,0.0943933064744904,0,0,0,0,0,0,0,0,0,0,0.26192774764017,0,0,0,1.73472347597681e-18,0.0714054383523905,0,0,0,0,0,0,0,0,0,0.0251562978977446,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.148117167534673,0,0.0666189046484487,0,0,0.119232281501673,0,0.337039719211733,0,0,0.0728974277036328,3.46944695195361e-18,0,-0.00388035075168864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11231270768806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472905725642826,0,0,0,0.0838197576536489,0,0,0,0,-0.0624743112675395,-0.0640506515220717
X601628.CH.EQUITY,0,0,0,0,0.0680678547368,0,-0.040464091411658,0,0,0,0,0.0839778004111,0,-0.0483175272760045,0,0,0,0,0,0,-0.0384624874982192,0.00674962597238694,0,0,0,0,0,0,0,0,0,0,0,0,0.696019413498018,-0.0194377267229947,0,0,0,0,0,0,0.0818518241939148,0,0,0,0.175254880808282,0,0,0,0,0,0.244878733719503
X1299.HK.EQUITY,0,0,-0.00618035166342266,0,0,0,0,-0.0536051854025848,0,0,0,0.208159041999289,0,0,0,0.0101576047280954,0,0,0,0,0,0,0,0,0,0.150655435095661,0,-0.0669869644143822,0,0,0,0.102622735948621,0,0,0,0,0,0,0,0.109313911984774,0,0,0.120648284443762,0.272876193659927,0.0482947885587702,0,0,0,0,0,0,0.0216618487973383,0
X601988.CH.EQUITY,0,0,0.0299911244838192,0.207907648732819,0.216473845099321,0,0,0,0,0,0,0,0.0210560827854378,0,0,0,0,0.240231160521051,0,0,0.0159587283741966,0,0.0188051578902363,0,0.122851163189427,0.163641336179962,0,0,-0.00834675986771342,0,0.16332141045507,0,0,0,0,0,0.0440286801199485,0,0,-0.0283743687152126,0,0,0,0,0,0,0,0.0368040651431592,0,0,0,0,0
X5.HK.EQUITY,0,0.0522979635613293,0,0,0,0.0461724621650089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123952960076236,0,0,0,0.105092515633763,0,0.121661360365656,0,0,0.00766677675308054,0,0,0,0,0,0,0,0.0447216529508001,0,0.273737635125112,0,-0.0583713583064549,0,0,0.158559116847323,0,0,0,0,0.0959323820150712,0,0,0,0
X601166.CH.EQUITY,0,0,0.0447676697238215,0.0234889371739051,0,0.00837403683752407,0,0,0,0,0.0274575514069202,0,0.125523962221424,0.0835914535290554,0,0,0,0,0,0,0,0,0,0,0.165128204393724,0,0,0.400648507197214,0,0,0,0,0,0,0.0344723753189394,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0
