,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.368632175389038,0,0.297489389599984,0.00314343369892974,0,0.172802246662499,0,0.128378950675994,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.107706547884283,0,0,0,0,0,0,0,0,0,0,0,0.104498810559676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212702757620123,0,0,0,0
X601939.CH.EQUITY,0.369708133867706,0,0,0,0,0,0,0,0,0,0,0.0757510015093444,0.307430356844925,0,0,0,0,0.102145086763816,0.0709120331634218,0,0,0,0,0,0,0,-0.106728002529959,-0.0122652857144801,0,0,0,0,0,0,0,0,0.0130875216440496,0,0,0,0,0,0,0,0,0,0.0298851045541609,0,0,0.0326425710312883,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0589403624058073,0,0,0,0,0.279113464753969,0,0,0,0,0,0,0,0,0,0,0,0,0.0398139369779153,0,0,0,0,0,0,0,0,0.0946199948898837,0,0,0,0,0,0.421717441267614,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.421455791993012,0.0478811498133411,0,0,0.332292857451472,0,0,0,0,0,0.107130606779804,0.010753056660852,0,0,0,0,0.0353337372383081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.264739981661905,0,0,0,0,0,0,0,0,0,0.0198517314910801,0,0,0,0,0.165384529638486,0.170939734772093,0,0,0,0,0,0,0,0,0,0,0.0668520639835291,0,0,0.024055832057868,0,0,0,0,0,0,0,0,0,0.180952195112615,0,0,0.0979453050854955,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710692247758728,0,0,0.0236171687211862,0,0,0,0,0,0,0,0,0.571616297861898,0.183445909014437,0,0,0,0,0,0,0,0,0,0.00183456669605559,0,0,0,0,0,0,0,0,0,0,0,0,0.40394702347796,0,-0.0634500967768019,-0.0661004061173218
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.135290265227586,0,0,0,0.502857252009464,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.112105477884534,0.11988454449174,0,0,0,0,0,0,0,0,0.10535273206999,0.135163919540469,0,0.149377700404073,0,0.0562261978949133,0,0,0,0,0,0,0,0,-0.0562748449954623,0,0.0454106783913208,0.0341110606835746
X1299.HK.EQUITY,0.028044290536909,0,0,0,0,0.039961404735656,0.0707903275597523,0,0.0709110812582562,0,0,0,0,0,0,0,0.347542652857519,0,0,0,0.222804591285982,0,0.193692053174567,0,0,0,0,0.0911660644464751,0,0,0.140277876837286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.132362513044049,0.0404334054540753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39807920357083,0,0.0522686852503551,0,0,0,0,0,0,0.136813870587358,0,0,0,0,0,0,0,0,0.0272767826469464,0,0,0,0,0,0,0,0,0,0,0.0361240317564068,0,0
X601658.CH.Equity,0,0,0,-0.138799863193506,0,0,-0.240401615935857,0,0,0,0,0,0,0.00171451296210831,0,0,-0.0454424428119168,0,0,0,0,0,0,0,0,0,0,0,0,0.412688217297995,0,0,0,0,0,0,0,0,-0.391340707171189,0.624949219729171,0.033689835273488,-0.163302224141525,0,0,0,0,0.68536516262503,0,0,0,0,0,-0.0791503067386669
