,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0426446394737426,0.236194814286642,0,0,0,0,0,0,0,0,0,0,0,-0.0630997616561694,0,0,0,-0.0345503885577632,0,1.38777878078145e-17,0,0,0,-0.27955423301355,0,0,0,0.123774886243321,0,0.578220807375438,-0.127964595793394,0.111944371959501,0,0,0,0,0,0,-0.0802330312901623,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0526749241923349,0,0.0699644100790224,0,0,0,0,0.0741018244122819,0,0,0,0,0,0,0,0,0,0,0.195415900249676,0,0,0,0,0,0,0,0.0286657904809527,0,0,0,0,0.31155831913198,0,0,-0.0125016316669607,0,0.201329308586726,0,0,0,0,0,0,0,0,-0.0510507567570983
X601939.CH.EQUITY,0.285858156606481,0,0,0,0,0.0109370888683172,0,0,0,0.0331251790868013,0,0,0,0,0,0,0,0.072779166125466,0,0,0,0.0412589631171248,0,0.0285289764862141,0,0,0,0,0.166087918453251,0.105895074693185,0,0,0,-0.127065750031553,0,0,0,0,0.425053197457564,0,0.0252788278855711,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.136692747041369
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.199732011222688,0.177610363552127,0.00955400616708842,0.381034902918591,0,0,0,0.139687962651994,0,0,0,0,0,-0.0765511152212684,0,0,0,0,0,0,0,0,0,-0.591662983648703,0,0,0,0,0,0,0,0,0,0,0.207002273220326,0,0.0194249145008516,0,0,0.236981415991649,0,0,0,-0.112772546372748,0
X5.HK.EQUITY,-0.204574208799144,0,0,0,0,0,0,0,0,0,0.0230838280964146,0,0,0,0,0.288803098412979,0,0,0,0.288545759592732,0.01669482959394,0,0,0.45430363719838,0,0,0.0503757230128129,0,0,0,0,0,-0.169049092911388,0,0,0,0,0,0,0,-0.141252637682595,0,0.217773300823352,0,0,-0.0386125239200611,-0.0999375932355982,0,-0.0995848815710973,0,0,0
X601988.CH.EQUITY,0,0,0.118888143913749,0.162681881072398,0,0,0.0234728930460213,0,0,0,0.216433253610367,0,0,0,0,0,0.0661588568634173,0.170054787132358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152525675440303,0,0,0,0,0.164535494212929,0.195117724915548,0,0,0,0,0,-0.0194548536044413,0.0516830938245974
X600036.CH.EQUITY,0,0.241420275753507,-0.0114114177764588,0,0,0,0,0,-0.10956591097303,0.0606535727313664,0,0,0.530902058844635,0,0,0,0,0.020119572299207,0,0,0.292389916116925,-0.107586867307757,0,0,0,0,0,0.0960021907555244,0,0,0,0,0.327287513918419,-0.154015588342276,0,0,0,0,0,0,0,0,0.108140091959553,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0617122340027326,0,0,0.181643853251482,0,0,0,0.019949374605967,0,0,0,-0.016153385086559,0.0197985752814452,0.15661241245656,0,0,0,0,0,0,0,0,0,0,0.18297043080164,0,0,0,0.0308684947650978,0,0.095461672971152,0,0,0,0,0,0,0,-0.00586379388301359,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0290761975572329,0.0561567639787462,0.0584555772944925,0,0,0,0,0,0,0.040366745197813,0,0,0.396609530747359,0,0,0,0,0,0,0,0.0502747413247836,0,0,0,0,0,0,0,0,0,0,-0.0644395771637501,0,0,0,0.121217097318203,0.178697039128392,0.0807462032458629,-0.0448648686507087,0,0,0,0,0,0,0,0,0,0,0,-0.130358573851206
X601328.CH.EQUITY,0,0,0.00970621839313124,0,0,0,0.456995858684592,0,0,0,0,0,0.0316288532893754,0,0,0,0,0,0,0,0.257955610556126,0,0.0244437020853706,0,0,0.165605657877878,0,0.102818726583625,0,0,0,0,0,0,0,-0.0938776375961054,0,0,0,0,0,0,0,0.109568869489572,0,0,0,-0.129880807267752,0,0,0,-0.222220893093725
