,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0173283398162861,0,0,0,0,0,0,0,0,0,0,0,0,-0.113985797291081,0.484466845283097,0.721965876148805,0.0222628403168135,0,0,0,0,0.194884952927125,-0.218188025805057,0,0,-0.302497450243779,0,0,0,0,0,-0.0262917498681265,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.132310486082818,0,0,0,0,0,0,0,0,0.00838416679772061,0,0,0,0,0.223587306894628,0,0,0,0,0,0,0,0,0.11889279509013,0.082590190464806,0,0,0,0,0,0,0.374820724606555,0,0,0,0,0,0,0,0,0.0584096478441211,0,0,0,0,-0.0134295871197234,0,0
X601939.CH.EQUITY,0,0,0,0.820324487382797,0,0,0.0330615750739971,0,0,0.0235547531128166,0,0,-0.0638083229682491,0,0,0.059720141751731,0,0.0721279437508485,0,0,0,0.000865860418634516,0,0,0,0,0,0.0602919969939373,0,0,0.0216746221664841,0,0,0,0,0,0,0,0,0,0,0,0.0218394364202004,0,0,0,0,0,0,0.0305469459350663,0,0,0
X601288.CH.EQUITY,0.0286187163930574,0,0.907273553616665,0,-0.0589488880244199,0,0,0,0,0,0,0,0,0,0.0183072902931182,0,0.0498503538906786,0.0470800027376999,0,0,0,0,0,0,0,0,0,0.0446719250478525,0,0,0,0,0,0,0,0,0,0,0,0,-0.139605441804125,0,0,0,0,0,0,0,0,0,-0.0715409159411909,-0.0225382793410576,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0199402788844433,0.127391692274135,0,0.293595573276074,0.119702828911092,0,0,0,0,0,0,0,0,0.0449133460145251,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262331232391599,0,0.248214629055608,0,0.18483971245767,0,0,0,0.197214971322342,0,0,0,0,0,0,0,0.118420854786146,0,0.127112569467577
X600036.CH.EQUITY,0,0,0.363996064822426,0,0,0,0,0,0.0309228758875064,-0.0226022078378015,0,0,0,0,0,0.138804745532559,0,0,0,0.0183935541280702,0,0,0,0,0,0,0,0.135247979848746,0.0751424430474892,0,0.213734040410031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711059363217559,0,0
X601988.CH.EQUITY,0,0,0,0,-0.0658065806858039,0,0,0,-1.73472347597681e-18,0,0,0,0,0.884905266407028,0,-0.00718260046958484,-0.0183284090220873,-0.325746993933835,0,0,-0.0201516059760725,0,0,0,0.39436124615112,0,0,0,0,0,-0.072297942379417,0,0,0,0,0,0,0,0,0,0,0,0,0.0591387392658049,0,0.0566549349879736,0,0,0,0,0.0761756310476028,-0.00309870365777848,0.0800354968396228
X1299.HK.EQUITY,0,0,0,0,0.161866540020697,0,0,0,0,0.270044665144787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.199016335166776,0,0.013834067525294,0.339296758408685,0.226940054517906,0.136806569701085,0,0.126158624545078,0,0,0,0,0.0699836175882998,0,0,0,0,0.101348007884449,0,0,-0.0910958648766198,0,0,0,0,0,0.101431548773587,-0.0234487861703702,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497121958726884,0,0,0,0,0.103257020350555,0,0,0.40406502347781,0.277011218464718,0,0,0,0,0,0,0,0,0,0,-0.0591148912879465,0,0,0,-0.176062691483496,0.0298006138555485,3.46944695195361e-18,0,0,0,0,0,0.208075505066443,0,-0.0717264819294706
X388.HK.EQUITY,0,0,0,0,0.300978223322309,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15205523307547,0,6.93889390390723e-18,0,0,0,0,0.412042839551096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222146254032045,-0.114929392984702,-0.15565303154865,0,0.0793699607699355,0,0,0,-0.137419295506586,0,0.0587632630427155
