,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.531990046958415,0.0542580995264726,0.0478769554403322,0.0366542287277781,0.0781983235342499,0,0,0,0,0,0,0.0372159838243692,0,0,0,0.000974120921438823,0.0719244177129922,0,0,0,0,0,0.0649127596518086,0,0,0,0,0,0,0,0,0,0,0,0,0.00168274019212002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0,0.0836612871915759,0,0,0.0600035450242928,0,0,0,0,0,0,0,0.229952850821648,0,0,0,0,0,0,0.0930813286257414,0,0.030632861821287,0,0,0,0,0,0,0,0,0,0.156517322861871,0,0,0.281909577842062,0,0,0,0.0125716770105174,0,0.0149652630242335,0,0,0,0,0,0
X601939.CH.EQUITY,0.466718501003486,0,0,0.183140718836061,0,0.111300337087288,0,0,0,0.0167374525271531,0.134341024677731,0,0,0,0,0,0,0,0,0,0,0,0.00112220559467951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00508254794226686,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.43041672544772,0,0.0773770168794831,0,0,0.0133036422725821,0,-0.0209899129840259,0,0.0778666470418642,0,0,0,0,0,0,0,0.201485010939039,0,0,0.151432456398203,0,0,0,0,0.0324212771778066,0,0,0.0896143530464563,0.0678275025260837,0,0,0,0,0,0,0,0,-0.0876760255572564,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.256731813435686,0,0,0,0,0,0,0,0,0,0,0.538903362469464,-0.114615160716998,0,0,0,0,0.205006219071507,-0.124358972606256,0,0.324459764489751,0,0,0,0.0533002344317052,0,-6.93889390390723e-18,0,0,0,0,0.0239397949799399,0,0,0,0,0,0,0,0,-0.615900124565677,0,-0.0127324098866937,0,-1.38777878078145e-17,-0.184704276059036,0
X601988.CH.EQUITY,0.0935505971908648,0,0.167396552001418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581133216007013,0,0,0,0.343187696508826,0,0.0785125615419064,0,0,0,0,0,0,0,0,0,0,0,0.0148126086856716,0,0,0,0,0,0.21950195073074,0,0,0,0,0,0,0,0.0510691241626697,0,0
X600036.CH.EQUITY,0.0288115713072523,0.118132670471373,0,0,0,0,0,0,0.0518508498059535,0,0.117076291728956,0,0.213216398027175,0,0,0,-0.0516916433295886,0,0.0683592290870333,0,0,0,0,0,0.334207566168366,0,0,0,0,0.114881433072187,0,0,0,0,-0.0459920456479238,0,0,0,0,0,0,0,0,0.0133015082103815,0,0,0,0,-0.0439004122430591,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0354010836697556,0,0,-0.0547486864077331,0,0,0,0.129124580429141,0,0,0,0,-0.0322916680131738,0,0,0,0.25635488317199,0,0,0.0851046607038114,0,0,0,0,0,0,0.00923188088854519,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.0298414335197629,0,0,0,0.284414292486936,0,0,0,0.12689472593603
X601628.CH.EQUITY,0,0.0307459660931809,0,0,1.35525271560688e-20,1.73472347597681e-18,0,0,0,0,0.0544851395290243,0,0.0875799615961391,0,0,0.0115547618872695,0,0,0,0,0,0,0,0,0.0454202805704822,0,0.106929044633409,0,0,0,0,0.23761191430636,0,0,0,0,0,0,0,0,0.0801132906871517,0.195108639043409,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0679054948786176,0,0,0,0,0.0898705013428034,0.00892631174402485,0,0,0,0,0.0928897500401188,0,0,0.0124115365542133,0,0,0,0,0.167114505776289,0.0251809221751676,0,0,0,0,0,0,0,0,0.0688428027789151,0,0,0,0,0,0.000484702065266454,0,0,0.190280517492008,0.238189173085893,0,0,0,0,0,0,0,0,0,0,0
