,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.142909777095952,0.14594967073738,0,0,0,0,0,0,0,0,-0.0373251500855334,0,0,0,0,0,-0.00718325400138378,0,-0.1297643282486,0,0,0.00950116517280153,-0.203306192117129,0,0.0569327703803618,0,0,0.634214573330365,0,-0.04259592203172,0.0552634406693621,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.153329291576454,0,0.115970494779758,1.73472347597681e-18,0,0,0,0.0267815953975875,0,0.000229345023172629,0,0,0,0.0676399671316465,0,0,0,0,0.0812243350263453,0,0,0,0.0271108304553683,0.0326477802839117,0.0558014437462954,0,0,0,0,0,0.342546550346063,0,0,0,0,0,0.0808084781671722,0,0.0368611002423256,0,0,-0.0715742584920916,0,0,0,-0.0340604995348931
X601939.CH.EQUITY,0.28620761038508,0,0,0,0.044214874711691,0,0,0,0,0,0,0,0,0,0,0,0,0.207430395190058,0,0,0,0,0,0,0,0,0,0,0,0.0641490427789272,0,0,0,-0.279602442322694,0,0,0,0,0.00905912936896901,0.458412560885502,0,0,0,0,0,0,0,0,0,0,0,0.00510326401397638
X601288.CH.EQUITY,0,0,0,0,0,0,-0.0698267049701275,-0.224858576372791,0.193887546436015,0,0.44716220096871,0,0,0,0.173624155695619,0,0,0,0,0,0,0,-0.0152912679861484,0,0,0,0,0,0,0,0,0,-0.460917691863731,0,0,0,0,0,0,0,0,0.24729874938358,0,0,0,0,0,0,0.0346314289490678,0,-0.0840758689047259,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458045170960833,0,0,0.490064051154924,0,0,0.0561988173079915,0.064929809316379,0,0,0,0,0,-0.0388454940125068,-0.0422053404235534,-0.23271649096151,0,0,0,0,0,0,0,0,0,-0.15339221002303,0,0.110134156451623,0,0,0,0,0,-0.105099860935324,0,0,0
X601988.CH.EQUITY,-0.291301723898737,0,0,0,0.384427909849983,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.082137231395129,0,0,0,0,-0.0192517271526701,0,0.676608999527288,0,0,0,0,-0.451278000347022,0,0,0,0,0,0,0,0,0,0,0.0914169482552203,0,0,0,0,0.0947441227657021,0,0,0,0,-0.0588007975761248,0
X600036.CH.EQUITY,0,0.40351262018641,-0.0530225779210595,0,-0.0384759906659478,0,0,0,-0.167136265504752,0.153995120605224,0,0.493020399392327,0,0,0,0,0,0,0,-0.128981251379052,0,0,0.265192402001408,0,-0.00944471964273092,0,0,0.0587222128209486,0,0,0.15618452922796,0,0,0,0,0,0,0,0,0,0,0,0.0864652150796423,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0517831282844178,0,0,0.190652164148207,0.013996910968759,0,0,0,0,0,-0.0208451717633436,0,0.0237029775010179,0.124952094727627,0,0,0,0.00723780100099588,0,0,0,0,0,0,0.205127687565764,0,0,0,0.0364954618552126,0,0.0537796540112668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,-8.67361737988404e-19,0.060150920785202,0.00715362177423053,0,0,0,0,0,0,0.0604984542415362,0,0,0.361746589566735,0,0,0,0,0,0.00584894685016464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115740719037945,0.191779329270338,0,-0.0275694336834991,0.0122225606518784,0,0,0,0,0,0,0,0,0,0,0,-0.185480548647145
X601328.CH.EQUITY,0,0,0.0227219311379638,0,0,0,0.0808669890951352,0,0,0,0,0.330511705358013,0,0,0,0,0,0,0,0,0,0,0.263447469093931,0,0,0.100101242293124,0,0.0539723772203529,0,0,0,0,0,0,0,0,0,-0.223329935277604,0,0,0,0,-0.0823915410478948,0.149927213591238,0,0,0,0,0,0,0,-0.367412827528244
