,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601328.CH.EQUITY,0.125147790222515,0,0,0.174781988562447,0.0396508599300867,0,0,0,0,0,0,0.0583136343111572,0,0,0.0345059409047184,0,0,0,0,0,0,0,0.259250553750681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748953675859285,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0.0176756963575406,-1.38777878078145e-17,0.0500352889546585,0,0,0,0.0529303693274773,0,0,0,0,0.491487777388871,0.172355621685192,0,0,0,0,0,0,0,0,0,0,0,0,0.00514856285686326,0,0,0.0613185860451704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0.0553183667186914,0,0,0.489786871621039,0,0,0,0,0,0,0,-0.0596419353675431,0,0,0,0,0.0272099461420849,0,0,0,0.170939735148103,0,0,0,-0.0770633438628146,0,0,0.211199414469103,0,-0.0238657773421222,0,0,0,0,0,0,0,0,0,0.040748658639166,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.101939788094151,0,0,0,0,0,0.0579583937341978,0,0,0,0,0,0,0,0,0,0.0667513794446488,0,0,0,0,0,0,0,0.0624415605127658,0.0890407975158119,0.125467204175644,0,0.204456579865088,0.130276985186242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04277119808605,0,0,0,0,0,-0.119507608294212
X000001.CH.EQUITY,0,0.0555790838460607,0,0,0.121866773353212,0.135124150776936,0,0,0.0417489762967468,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.11050189920022,0.06637673385696,0,0,0,0,0,0,0,0,0,0,0,0.197857785535013,0,0,0,0,0,0.104430838266862,0,0,0,0,0,0,0,0,0,0.0181744508393616,0,0,-0.0293943783349744,0
X601319.CH.EQUITY,0,0,0,0.277986171994998,0,0,0,0,0,0,0,0,0,0.00349864428951769,0,0,0.0809831323302497,0,0,0.131632758249382,0,0,0,0,0,0,0,0,0,0,0,0,-0.0797851425581663,0.0209911389305299,0,0,0,0,0,0,0.203131048273357,0,0.00906382405410455,0,0.119405010759844,0,0,0.15021833765266,0,0,-0.0700867562517736,-0.0491850905085021,0
X601601.CH.EQUITY,0,0.73274173453367,0,0,0,0,0,0,0,0,0.0228195383524326,0,0,0,0,0,0,0,0,0,0.0369229625270611,0.0709658645264162,0,0,0.122219703284776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349389132475219,0,0,0,0.129661751563104,-0.0878699420583823,0,0,0,0,0,0,0,0.0625222680609597,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.226148307316567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0953116420809384,0,0,0.155812896434886,0,0,0,0,0,0.146180118077171,0,0,0,0,0.270598850536437,0,0,0,0.122477972363696,0,0,0,0,-0.0532330357474023,0.071195826448566,0
X688.HK.EQUITY,0.159832952144616,0,0,0,0,0,0,0,0.0406121627062536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0896595118752209,0.643613953312941,0,0.029036969822489,0,0,0,0,0,0,0,0,0,0,0,0,0.0720807443985537,0,0,0,0,0,0,0.0138419388191112,0,0,0
X600016.CH.EQUITY,0,0,0.0390009781230268,0,0,0,0,0,-0.143373975257002,0,0,0,0.173920555490123,0.159172670042134,0,0,0,0,0,0,0,0,0,0,0,0,0.0564152100852386,0,0,0.171454242527693,0.163789398012244,0.0908795606851805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.350803735893948,0.118359429250378,0,0,0,0,0
