,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.14156071997897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139429658984394,0,0.0177614034947274,0.417776726433097,0,0.454661118957634,-0.220364361550404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0603799949316074
X601318.CH.EQUITY,0,0,0,0.0160237261461781,0,0,0,0,0,-0.0184478643750136,0,0,0.0184391689748458,0,0.0289785259380249,0,0,0,0.520695026005113,0,0,0,0,0,0,0,0,0,0.125892978672027,0,0,0,0,0,0,0.0689854670231589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.0629907714469678,0,0.787626301834568,0,0,8.67361737988404e-19,0.00772964140540124,0,0.047103188866001,0.0514287866221989,0,-0.0553882033789988,0.0122310531637737,0,0,0.0772935276716395,0,0,0,0,0.000928936487023144,0,0,0.0343951430343605,0,0,0,0,0,0,0,0,0,0,0,0,0.0831003717139347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00545937150180069
X601288.CH.EQUITY,0,0,0.971127086748156,0,-0.0184491590870229,0,0,-0.0867106537127967,0,0.0368236046993701,0,0,0,0,0,0.0207749056823973,0,0,0,0,0,0,0,0,0.0754206620589978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210184501356921,0,-0.0740872932230657,0,0,0,0,0.0197952186530593,0,0,0,0,-0.107194238848889,0,-0.0239518735870244
X601628.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,0,-0.0212594177820043,0.321908485951671,0,0.249425981745085,0,0,0,0,0,0,0.459563761991592,0,0,-1.73472347597681e-18,0,0,-0.0513329987092364,0,-5.55111512312578e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119958123727562,0,0,0,0,0,0,0.0154825399721318
X600036.CH.EQUITY,0,0,0,0.3307032121847,0,0,0,0,0.0476154599149596,0,0,0,0,0,0,0,0.0680484347476945,0.110228661491869,0,0,0,0,0,0,0.0737393349781527,0,0,0,0.144489056899373,0.120393255629863,0,0,0.0161562355769112,0,0,0,0,0,0,0,0,0,0,0,0.0512037780638954,0,0,0.0356097466847274,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0683102562862081,0,0,0,0,-0.0528652819798367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710710299258619,0,0,0,0,0.00186892075970759,0,0,0,0,-0.022026276285041,0,0,0,0,0,0,0,0,0,0,0,-0.133618148820284,0,0.998803549303743,0,0,0,0.000562430283989095
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.193148294948357,0,0,0,0,0,0.0170543973599644,0,0,0,0,0,0,0.321277722688563,0,0,0,0,0.0746795755040023,0,0,0,0,0.137424023255673,0,0,0,0.0306734395747307,0,0,0,0,0.0938050001820663,0,0.0452026349683267,0,-0.0302035778632163,0,0,0,0.206345606846606,0,-0.0359280549171041,0
X5.HK.EQUITY,0,0,0,0,-0.0428235352260283,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.00559672798915867,0,0,0,0,0.221341430599881,0,0.341765570391969,-0.125060488386733,0,0,0,0,0,0,0,0,0,0.0231136408658272,0,0,0,0,0.248228842650073,0,0,0,0,0,-0.272536259373904,0.249843226320257,0.050272302049393,-0.0392800736744936
X388.HK.EQUITY,0,0,0,0,0.220849016811218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126816824967358,0,0.254799140590709,0,0,0,0.114464528322455,-0.00872983494507289,0,0,0,0,0.129642020872698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.181392542414228,0,0,0,0,0.283955862578317
