,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.134382726723342,0.0260338933404032,0,0,0,0,0,0,0.0713409355792257,0,0,0,0,0,0,0,0,-0.0641447369698745,-0.185980476334363,0,0.0215638868415123,0,-0.197342249918751,0,0,0,0,0,0.627970379171785,0,0.178573406731266,0,0,0,0,-0.00977864638825501,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.119002488286391,0,0.168297561401482,0.0154177070482341,0,0,0,0,0.0505904980356215,0,0,0,0,0,0.00779105211439745,0.0872525012293766,0,0,0,0,0,0.0682859398661637,0,0.0424003319776079,0,0,0,0,0,0.293909086892603,0,0,0,0,0,0,0.0405525638175995,0,0,0.0158442928535789,0,0,0,0,0,0
X601939.CH.EQUITY,0.19840802216928,0,0,0,0,0,0,0,0,0.11932394061027,0,0,0,0,0,0,0,0.0941034327152813,0,0,0,0,0,0,0,0,0,0,0,0.0860318735834325,0,0,0,-0.130311418087788,0,0,0,0,0.468051393033759,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.0896779226586743,0,0,-0.427058647908447,0.176509843065667,0,0.568821779436472,0,0,0,0,0.40082529290954,0,0,0,0,0,0,0,0,-0.255975271966688,0,0,0,0,0,0,-0.74958239201506,0,0,0,0,0,0,-0.109005978813279,0,0,0.328690472791908,0,0,0,0,0,0.160348147341893,0,-0.253995644990323,-0.441839688977005,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449330885071157,0,0,0,0.502020533158656,0,0,0,0,0.0596258092690093,0.000849516308038561,0,0,-0.0666653582893454,0,0,-0.221107351055051,0,0,0,0,0,0,0,0,0,-0.16569125215699,0,0.108229278863567,0,0,0,0,0,-0.110614438218347,0,0,0
X601988.CH.EQUITY,-0.0742698031775702,0,0,0,0.382999482849051,0,0,0,0,0,0,0,0,0,0,0.0824335221191067,0,0,0,0,0,0.477673330791033,0,0,-0.0928276852905877,0,0.0579357205094327,0,0,-0.327636332907782,0,0,0,0,0,0,0,0,0,0,0.0204330304420797,0,0,0.0310731399991086,0,0,0,0,0,0,-0.0497830156859261,0
X600036.CH.EQUITY,-0.0324952193110419,0.656768777520405,-0.03844551035392,0,0,0,0,0,-0.102977095594158,0.3800561701818,0,0.223003419674704,0,0,0,0,0.0666087671223222,0.0255263126591717,0,0,-0.198000941842802,-0.190581075004863,0,0,0.157164460142318,0,0,0,0.0991864978402885,0,0.17418707759307,0,0,-0.239443849211206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0601962312971844,0,0,0.175203516813817,0.00441642300755064,0,0,0,0,0,-0.0236164984123975,0,0,0.00621958958218066,0.0944678450080297,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.220218122974823,0,0,0,0.00849873449088964,0,0,0.156103557722789,0,0,0,0,0,0,-0.00433332893683851,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0367168714959608,0,0,0,0,0,0,0,0.0697153696235136,0,0,0.355825768086412,0,0,0,0,0,0,0.0112245995248507,0.0221631888192515,0,0,0,0,0,0,0,0,-0.0043532732121746,0,0,0,0,0.184454132792128,0,0.129910836360551,-1.73472347597681e-18,0,0,0,0,0.0107733734190681,0,0,0,0,0,0,0,-0.146515262221406
X601328.CH.EQUITY,0,0,0.0227649498810995,0,0,0,0.0799922407609455,0,0,0,0,0.333553116884932,0,0,0,0,0,0,0,0,0,0,0,0,0.25372384755419,0.100014134665667,0,0,0.0531057052539455,0,0,0,0,0,0,0,-0.22229333215894,0,0,0,0,0,-0.0810151695362361,0,0.150362867410638,0,0,0,0,0,0,-0.371628732710349
