,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.279470822843253,0,0.257483833745631,0,0,0,0,0.0595767344334375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890886906250516,0,0,0,0,0,0,0,0,0,0.0028874639167185,0,0,0,0.0835951353043572,0,0.0833240822267113,0,0,0,0,0,0
X601318.CH.EQUITY,0.118976962527232,0,0,0,0,0,0,0,0.182634392035483,0,0,0,0,0,0,0,0.165495754892695,0,0,0,0,0,0,0,0.0752187512438862,0,0,0,0,0,-0.0516990059304147,0.153122575675322,0,0,0.148600440771385,0,-8.67361737988404e-19,0,0,0,0.0457796114638469,0,0,0.027781981204331,0,0,0.0551800958899158,0,0.135259187629652,0,0,0,0
X601939.CH.EQUITY,0.219540901011844,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.0189509361298987,0.265526458016248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423623887261673,0,0.1997957655884,0,0,0,0,0,0,0,0,0.182107346722988,0,0,0,0.0410451152701958,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.287465172755386,0,0.091770609167078,0,0,0.274370047340985,0,0,0,0,0,0,0,0,0.0533827805994724,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175834437631565,0,0,0,0,0,0,0.113311373748419,0,0,0,0
X5.HK.EQUITY,0.0259494260138378,0,0,0,0,0,0,-0.0463517553041295,0,0,0,0,0,0,0,0,0,0,0.386537614419025,0,0.130391717771108,0,0,0,0,-0.0877365020936908,0,0,0,0,0.580588844348805,0,0,0,0,0,0,0,0,0.0582429649812138,0,0,0,0,0,0,0,-0.172306707251159,0,0,0,-0.0306260621854788,0
X601988.CH.EQUITY,0.445109148524351,0,0,0,0,0,0,0,0.0137948548589069,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.0701525081636818,0,0,0,0.0258254151637256,0,0,0,0,0,0,0,0,0,0.160830410281582,0,0.0234981655982448,0,0,0,0,0,0,0,0,0,0,0,0,0.241675925433218,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.225263285496377,-0.0262366067867888,0,0,0,0,0.0958331080391973,0,0,0.54943920322793,0,0,0,0,0,0,0,0,0,0,0.0391824767929617,0,0,0,0,0,0,0.0588486350206952,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.031905671413559,0,0,0,0.0357327121773997
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0735846177089297,0,0,0,0.413771963006531,0,0,0,0.115536435376713,0,0.0512126116900841,0,0,0,0,0,0,-0.0336953319769827,0.397780963422614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.219689198620069,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0249905647623287,0,0,0,0,0,0,0,-0.0797757086661397,0,0.0187149868605301,0,0.199302821172708,0,0,0,0,0,0.254502554187618,0,0,0,0,0,0.0567265696134867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821029848715807,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.10543845708275,0,0,0,0.275261124000731,-0.265762467806367,0,0.20823832469772,-0.258627218059322,0,0,0,0,0,0,0,0.527265198369164,0,0,0,0,0,0,0,0.0585642757996065,0,0,0,0,0,0,0,-0.0672855138774785,0,-1.07980333562135,0,0,0,1.34479591936031,-0.183105940751511,0,0,0,0,0,0,0
