,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.365854091145374,0,0.294259677896509,0.003764255128349,0,0.181054341485652,0,0.126410185496514,0,0,0,0,0,0,0,0,0,0,-0.114494544198881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104962662012707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212025180045866,0,0,0,0
X601939.CH.EQUITY,0.317520995865524,0,0,0,0,0,0,0,0.0583574322383647,0,0,0.0937101679544508,0.330570713747541,0,0,0,0,0.0931549775759144,0.0852967113195769,0,0,0,0,0,0,0,-0.116872186488917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129912645166682,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.155981879398989,0,0.114023862521182,0,0.0668758960094502,0.21618385165475,0,0,0,0,0,0,0,0,0,0,0,0.0243967993777455,0,0,0,0,0,0,0,0,0,0,0.0747682147036347,0,0,0,0.0820755752751366,0.230360831893101,0,0,0,0,0,0.00224282969347154,-3.46944695195361e-18,0,0,0,0,0,0
X601288.CH.EQUITY,0.402970713414435,0,0,0,0.414333126103976,0,0,0,0,0,0.0606735584060671,8.67361737988404e-19,0,0,0,0,0.0746696066015277,0,0,0,0,0,0,0,0,0,0,0,0.0362062461603643,0,0,0,8.67361737988404e-19,0,0,-0.0132060165959641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.25512903613028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19485582593002,0,0.192393669691744,0,0,0,0,0,0,0,0,0.0050010594452966,0.100005226253716,0,0,0,0.018336192225624,0,0,0,0,0,0,0,0,0.13333859567875,0,0,0.0851442577427248,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,-0.219598402951054,0,0,0,0.0759991018135668,0,0,0,0,0,0.207656840450644,0,-0.0931048756931359,0.122181864394889,0,0,0.538198099463768,0,9.79288875958932e-05,0,0,0,0.524074660484637,0,-0.521122969891423,0,0,0,0.317214701542805,0,0,0,0,0,0,0,-0.10054667890161,0,0.0918214972913767,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.177661562881464,-0.0660151419505219
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.237830797870264,0,0,0,0.281271885067925,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0188944807554171,0,0,0,2.77555756156289e-17,0.194688157387701,0,0,8.67361737988404e-19,0,0,0,0.0270818219288317,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.290887666066806,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.041972499737838,0.0173379342374183,0,0,0,0,0,0,0,0,0,0.14021235886565,0,0,0.166638052009698,0,0.0573651884975328,0,0,0,0,0,0.100869514111836,0,0,0,0,0,0,0.184485497598808,0,0,0,0,0,0.0105727132513962,0,0,0,0,0,0,0,0,0.177950253135732,0,0,0
X601628.CH.EQUITY,0.0440704939145209,0.0432863464416863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139178911174751,0,0,0,0.218689319555449,0,0.157633581298815,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0772171011070312,0,-0.0216388757824315,0.158016542271439,0,0,0,0,0,0,0,0,0,0,0.0483121515566656,0,0
X601658.CH.Equity,0,0,0,-0.00376633219525905,0,0,0,0,0,0,0,0,0,0.0719337381524152,0,-0.235687145852576,-0.351233673739837,0,0,0,0,0,0,0,0,0,0,0,0,0.177235781102923,0,0,0.207787467849285,0,0,0,0,0,0,0.425581393306454,0.0741852690711346,-1.73472347597681e-18,0,0,-0.120081277746546,0,0.456484461055312,0,0,0,0,0,-0.144200032287147
