,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,-6.93889390390723e-18,0.0548411667977901,0,0.132108960099551,0.172594395096844,0,0.353284082999156,0,0,0,0,0,0.126671289640486,0,0,0,0,0,0,0,0,0,0.0230094249805602,0,0,0,0,0.107686830090709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.257020246723948,0,0,0,0,0,0,0,0.201872397953917,0,0,0,0,0,0.0860313269243535,0.207099493056006,0,0.218175245355187,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.0602639718779314,0,0,0,0,0,0.0451195790401559,0.00639504968076453,0,0,0,0,0,0,0,0.0420205315398121,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.269877169264552,0,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0.415293849422669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184533522972725,0,0.109173395028374,0,0,0.0130102166533033,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.344329837686299,0,0.0229070796299564,0,0,0.490815464750218,0,0,0,0,0.00447106042741529,0,0,0,0.0329258672847535,0,0,-0.0235693941701892,0,0,0,0,0.0094820360685881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103693646704742,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.103956948194885,0,0,0,0,0.190985319442417,0,0,0,0,0,0,0,0,0,0.734255149951028,-6.93889390390723e-18,0,0,0.161210682844051,0,0,0,0,0,0,0.12372068624711,0,0,0.10343483950443,0,0,0,0,0,-0.22214372872919,-0.126587444929013,0,0,0,0,0,0,0,0,-1.73472347597681e-18
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0800560023289303,0,0.271035871244408,0,0,0,0.0790264580115084,0,0,0,0.413482793905961,0,0,0,0,0.00358064493402718,0,0,0.0536648116422368,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0113729970701939,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.135629812815608,0,0,0.276184272512047,0,0,0,0,0.143059889048744,0,0,0,0,0,0,0,0,0,0,0.023713986236167,0,0,0.148688510064762,0,0.0571604410280123,0.153259982143609,0,0,0,0,0,0.032261068692133,0,0,0,0,0,0,0,0,0.0379376384616542,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.110438470697947,0,0,0,0.151639669747089,0,0,0,0,0.274473643682508,0,0.10612090192563,0,0,0,0,0,0,0.00361963814591247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.389402520305812,0.110858471823055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142271206087116,0,0.154294221856091,0,0,0,0.118547259553854,-0.0300063940556059,0,0,0,0,0.203172550306669,0,0,0,0,0.0782132000076241,-0.0637964498414327,0,0.0143608370990299,0,0,0,0,0.018492252896723,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.20463394192321,0,0,0,0,0,0.219225593683522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134274900879606,0,0,0,0,0,0,0,0,0.73404521476115,0,0,0,0,0,0.464288155768626,0,-0.206833088383745,0,0,0
